"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?"	"orphaned?"	"numImages"	"online?"
"PSU-Seaweed Collection"	"e4c5d8b1-6134-4654-be05-9162c098337b"	"OCCURRENCE"	"true"	"485"	"0"	"c24d27a2-e6ba-4427-bab3-7ab8bf33729d"	"IPT_INSTALLATION"	"80c3ad34-82b5-457d-bb9b-1d6e1b84fae6"	"Princess Maha Chakri Sirindhorn Natural History Museum  (PSU Museum, Prince of Songkla University, Thailand)"	"ASEAN Centre for Biodiversity"	"Philippines"	"2017-12-04"	"DWC_ARCHIVE"	"http://www.nhm.psu.ac.th/nhmpsuipt/archive.do?r=psu_seaweed"	"2022-03-14"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"PSU-Seagrass Collection"	"9315c874-84a1-4248-a939-3c573b7c6d3f"	"OCCURRENCE"	"true"	"466"	"0"	"c24d27a2-e6ba-4427-bab3-7ab8bf33729d"	"IPT_INSTALLATION"	"80c3ad34-82b5-457d-bb9b-1d6e1b84fae6"	"Princess Maha Chakri Sirindhorn Natural History Museum  (PSU Museum, Prince of Songkla University, Thailand)"	"ASEAN Centre for Biodiversity"	"Philippines"	"2016-09-02"	"DWC_ARCHIVE"	"http://www.nhm.psu.ac.th/nhmpsuipt/archive.do?r=psu_seagrass"	"2022-03-15"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"PSUZC-Reptile Collection"	"60a27375-7686-4f2d-bead-788af30a654f"	"OCCURRENCE"	"true"	"363"	"0"	"c24d27a2-e6ba-4427-bab3-7ab8bf33729d"	"IPT_INSTALLATION"	"80c3ad34-82b5-457d-bb9b-1d6e1b84fae6"	"Princess Maha Chakri Sirindhorn Natural History Museum  (PSU Museum, Prince of Songkla University, Thailand)"	"ASEAN Centre for Biodiversity"	"Philippines"	"2016-03-09"	"DWC_ARCHIVE"	"http://www.nhm.psu.ac.th/nhmpsuipt/archive.do?r=psu_reptile"	"2022-03-11"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"PSUZC-Mammal Collection"	"f9f67808-1e18-4175-9ff9-cd4b876ef90b"	"OCCURRENCE"	"true"	"464"	"0"	"c24d27a2-e6ba-4427-bab3-7ab8bf33729d"	"IPT_INSTALLATION"	"80c3ad34-82b5-457d-bb9b-1d6e1b84fae6"	"Princess Maha Chakri Sirindhorn Natural History Museum  (PSU Museum, Prince of Songkla University, Thailand)"	"ASEAN Centre for Biodiversity"	"Philippines"	"2015-06-18"	"DWC_ARCHIVE"	"http://www.nhm.psu.ac.th/nhmpsuipt/archive.do?r=psu_mammal"	"2022-03-11"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"PSUZC-Rodents Collection"	"b8fb7fcc-75cd-46d3-8ea6-5a43b2ed7e04"	"OCCURRENCE"	"true"	"175"	"0"	"c24d27a2-e6ba-4427-bab3-7ab8bf33729d"	"IPT_INSTALLATION"	"80c3ad34-82b5-457d-bb9b-1d6e1b84fae6"	"Princess Maha Chakri Sirindhorn Natural History Museum  (PSU Museum, Prince of Songkla University, Thailand)"	"ASEAN Centre for Biodiversity"	"Philippines"	"2014-12-25"	"DWC_ARCHIVE"	"http://www.nhm.psu.ac.th/nhmpsuipt/archive.do?r=psu_rodent"	"2022-03-11"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"iZOO Belum Forest Species Occurrences"	"d20dfc7c-3800-4afd-8b82-44c0b5a62d91"	"OCCURRENCE"	"true"	"0"	"0"	"d4b44de6-e9db-493c-bbbb-5ef06395544a"	"IPT_INSTALLATION"	"63a08e67-8d4e-4653-82d7-c133b136527f"	"Bioinformatics Research Group, Biological Science Department, Faculty of Bioscience & Bioengineering"	"ASEAN Centre for Biodiversity"	"Philippines"	"2014-10-14"	"DWC_ARCHIVE"	"http://birg4.fbb.utm.my:8080/ipt/archive.do?r=belum_reserved_forest"	"2022-03-11"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"iZOO fauna dataset"	"939f317a-c8fa-40a3-ac8b-636ad7c548c8"	"CHECKLIST"	"true"	"0"	"0"	"d4b44de6-e9db-493c-bbbb-5ef06395544a"	"IPT_INSTALLATION"	"63a08e67-8d4e-4653-82d7-c133b136527f"	"Bioinformatics Research Group, Biological Science Department, Faculty of Bioscience & Bioengineering"	"ASEAN Centre for Biodiversity"	"Philippines"	"2014-09-29"	"DWC_ARCHIVE"	"http://birg4.fbb.utm.my:8080/ipt/archive.do?r=izoo_fauna_dataset"	"2022-03-11"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Malaysian Mangrove"	"930f5101-b8bf-46fa-9e90-bf39e8ba0fe1"	"CHECKLIST"	"true"	"0"	"334"	"d4b44de6-e9db-493c-bbbb-5ef06395544a"	"IPT_INSTALLATION"	"63a08e67-8d4e-4653-82d7-c133b136527f"	"Bioinformatics Research Group, Biological Science Department, Faculty of Bioscience & Bioengineering"	"ASEAN Centre for Biodiversity"	"Philippines"	"2013-12-08"	"DWC_ARCHIVE"	"http://birg4.fbb.utm.my:8080/ipt/archive.do?r=peninsular_malaysia_mangrove_forest"	"2022-03-11"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"PSUZC-Amphibians Collection"	"3caf2aad-a970-4905-872c-b4cd014f48bd"	"OCCURRENCE"	"true"	"1322"	"0"	"c24d27a2-e6ba-4427-bab3-7ab8bf33729d"	"IPT_INSTALLATION"	"80c3ad34-82b5-457d-bb9b-1d6e1b84fae6"	"Princess Maha Chakri Sirindhorn Natural History Museum  (PSU Museum, Prince of Songkla University, Thailand)"	"ASEAN Centre for Biodiversity"	"Philippines"	"2013-09-30"	"DWC_ARCHIVE"	"http://www.nhm.psu.ac.th/nhmpsuipt/archive.do?r=psu_amphibian"	"2022-03-11"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Malaysian Moss"	"0b5c058d-67a9-40d1-b5de-f799a1ac7e96"	"CHECKLIST"	"true"	"0"	"7"	"d4b44de6-e9db-493c-bbbb-5ef06395544a"	"IPT_INSTALLATION"	"63a08e67-8d4e-4653-82d7-c133b136527f"	"Bioinformatics Research Group, Biological Science Department, Faculty of Bioscience & Bioengineering"	"ASEAN Centre for Biodiversity"	"Philippines"	"2012-04-26"	"DWC_ARCHIVE"	"http://birg4.fbb.utm.my:8080/ipt/archive.do?r=moss"	"2022-03-11"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
