"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?"	"orphaned?"	"numImages"	"online?"
"Littlewood Avifauna"	"7a8044b5-a33f-49f3-9a61-8a55f2777efc"	"OCCURRENCE"	"true"	"0"	"0"	"19893c10-381e-4534-9bb8-6c37d03ad29e"	"HTTP_INSTALLATION"	"3fe3f5ac-41ec-4306-b190-e887b4600757"	"Littlewood"	"Australia"	"Australia"	"2022-02-15"	"DWC_ARCHIVE"	"https://biocache.ala.org.au/archives/gbif/dr357/dr357.zip"	"2022-03-16"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Fish catch from 1996/97 Voyage 2 WASTE (WOCE Antarctic Southern Transect Expedition)"	"c9d82695-217a-4598-ab72-039349c2e502"	"OCCURRENCE"	"true"	"0"	"0"	"19893c10-381e-4534-9bb8-6c37d03ad29e"	"HTTP_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2022-02-15"	"DWC_ARCHIVE"	"https://biocache.ala.org.au/archives/gbif/dr479/dr479.zip"	"2022-03-16"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Preventing extinction for New England endemic plants"	"c1a25d63-312e-4114-b97c-5385d9ceb7c3"	"OCCURRENCE"	"true"	"0"	"0"	"19893c10-381e-4534-9bb8-6c37d03ad29e"	"HTTP_INSTALLATION"	"a1ce99fb-e1a5-4ca9-a3e6-cb512abd4bae"	"University of New England"	"Australia"	"Australia"	"2022-01-27"	"DWC_ARCHIVE"	"https://biocache.ala.org.au/archives/gbif/dr18292/dr18292.zip"	"2022-03-10"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Qweeds - Queensland"	"e3abd7a9-99ab-41e6-9511-73024d8c9a4e"	"OCCURRENCE"	"true"	"0"	"0"	"19893c10-381e-4534-9bb8-6c37d03ad29e"	"HTTP_INSTALLATION"	"18aad1e7-0738-439c-92be-44a3288eb7c3"	"Queensland Government - Department of Agriculture and Fisheries"	"Australia"	"Australia"	"2022-01-27"	"DWC_ARCHIVE"	"https://biocache.ala.org.au/archives/gbif/dr18218/dr18218.zip"	"2022-03-10"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Sample summary and analysis of biopsy samples collected during the Antarctic blue whale voyage 2013"	"25d73670-8b5c-4813-aadb-37b65022602b"	"OCCURRENCE"	"true"	"0"	"0"	"1cbabffe-9073-4007-ba1e-40ebcda6e302"	"IPT_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2018-10-16"	"DWC_ARCHIVE"	"https://biocache.ala.org.au/archives/gbif/dr16246/dr16246.zip"	"2022-03-10"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Reef Life Survey - Survey Records"	"e8443518-d916-47aa-9ae9-405333745b66"	"OCCURRENCE"	"true"	"72307"	"0"	"19893c10-381e-4534-9bb8-6c37d03ad29e"	"HTTP_INSTALLATION"	"3c5e4331-7f2f-4a8d-aa56-81ece7014fc8"	"Atlas of Living Australia"	"Australia"	"Australia"	"2017-09-21"	"DWC_ARCHIVE"	"https://biocache.ala.org.au/archives/gbif/dr687/dr687.zip"	"2022-03-16"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Eremaea"	"b05a19cf-dcf2-4ef9-bbbb-ad0ecbd2917c"	"OCCURRENCE"	"true"	"3291911"	"0"	"19893c10-381e-4534-9bb8-6c37d03ad29e"	"HTTP_INSTALLATION"	"633f217c-c007-48dc-86ed-f8fdae6fd0d8"	"Eremaea"	"Australia"	"Australia"	"2017-06-14"	"DWC_ARCHIVE"	"http://ala-starr.it.csiro.au/archives/dr350/dr350_ror_dwca.zip"	"2022-03-14"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"QLD DERM Coastal Bird Atlas (Trial)"	"1084c169-c39a-4749-94aa-32159777d828"	"OCCURRENCE"	"true"	"60510"	"0"	"19893c10-381e-4534-9bb8-6c37d03ad29e"	"HTTP_INSTALLATION"	"ee9a9cbf-d62d-4d6d-a46a-769e0b1714d1"	"Queensland Department of Environment and Resource Management"	"Australia"	"Australia"	"2012-03-27"	"DWC_ARCHIVE"	"http://ala-starr.it.csiro.au/archives/dr380/dr380_ror_dwca.zip"	"2022-03-11"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Cetacean Sightings Survey and Southern Ocean Cetacean Program - BROKE-West"	"7f56df30-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"228"	"0"	"8569325a-0cf5-45cf-a1b3-8f2abef355dd"	"HTTP_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2011-06-22"	"DWC_ARCHIVE"	"https://biocache.ala.org.au/archives/gbif/dr476/dr476.zip"	"2022-03-16"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Eremaea"	"884cb99c-95a0-4dac-94dd-d57dc509c560"	"OCCURRENCE"	"true"	"0"	"0"	"19893c10-381e-4534-9bb8-6c37d03ad29e"	"HTTP_INSTALLATION"	"633f217c-c007-48dc-86ed-f8fdae6fd0d8"	"Eremaea"	"Australia"	"Australia"	"2011-02-18"	"DWC_ARCHIVE"	"https://biocache.ala.org.au/archives/gbif/dr350/dr350.zip"	"2022-03-16"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
