"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?"	"orphaned?"	"numImages"	"online?"
"Chronicle of Nature - Phenology of Plants of Kerzhenskiy State Nature Biosphere Reserve"	"87061956-303e-4cec-8340-0129e203c62a"	"OCCURRENCE"	"true"	"0"	"0"	"92a00840-efe1-4b82-9a1d-c655b34c8fce"	"EARTHCAPE_INSTALLATION"	"f3d2831c-77e8-4ca2-862a-7ddb81321134"	"Kerzhenskiy State Nature Biosphere Reserve"	"Finland"	"Finland"	"2020-11-16"	"DWC_ARCHIVE"	"https://zenodo.org/record/4275866/files/dataset-09a80d23-03cd-4729-b4ba-547b4b6b03c3-dwca.zip"	"2022-03-10"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Fungi collection of the Botanical Museum of the University of Oulu"	"9d8ff248-3f6d-4180-a7f5-3570c489cf72"	"OCCURRENCE"	"true"	"1172"	"0"	"605ce908-f762-11e1-a439-00145eb45e9a"	"TAPIR_INSTALLATION"	"d1146fd8-35d2-4264-a569-8f88cc29d0c8"	"University of Oulu"	"Finland"	"Finland"	"2015-02-18"	"TAPIR"	"http://gbif.oulu.fi/tapirlink/tapir.php/fungi"	"2022-03-11"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Distribution of vascular plants in Kyrgyzstan (Helsinki collections)"	"b12d913a-6fa7-46c6-9229-f8b6af125b99"	"OCCURRENCE"	"true"	"0"	"0"	"b4cce1a2-e458-49ed-884c-b6714258bba5"	"HTTP_INSTALLATION"	"e5585950-488e-11db-a1c2-b8a03c50a862"	"Finnish Museum of Natural History"	"Finland"	"Finland"	"2012-10-24"	"DWC_ARCHIVE"	"https://ia701504.us.archive.org/3/items/DistributionRecordsOfVascularPlantsInKyrgyzstan/50879bfa294aa.zip"	"2022-03-11"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Coleoptera collection of Uunio Saalas"	"68a8dad9-2229-4775-90d3-b90b6927e406"	"OCCURRENCE"	"true"	"16276"	"0"	"605ce908-f762-11e1-a439-00145eb45e9a"	"TAPIR_INSTALLATION"	"d1146fd8-35d2-4264-a569-8f88cc29d0c8"	"University of Oulu"	"Finland"	"Finland"	"2011-08-19"	"TAPIR"	"http://gbif.oulu.fi/tapirlink/tapir.php/coll-saalas"	"2022-03-12"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Type specimens of invertebrate collection at University of Oulu Zoological Museum"	"4ee3ee64-8ca4-4d5e-871e-09f437ae86df"	"OCCURRENCE"	"true"	"92"	"0"	"605ce908-f762-11e1-a439-00145eb45e9a"	"TAPIR_INSTALLATION"	"d1146fd8-35d2-4264-a569-8f88cc29d0c8"	"University of Oulu"	"Finland"	"Finland"	"2011-04-20"	"TAPIR"	"http://gbif.oulu.fi/tapirlink/tapir.php/invertebrate-types"	"2022-03-12"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Bryophyta collection of the Botanical Museum of the University of Oulu"	"135fe78c-6fbb-4586-8d43-214b503dc593"	"OCCURRENCE"	"true"	"35278"	"0"	"605ce908-f762-11e1-a439-00145eb45e9a"	"TAPIR_INSTALLATION"	"d1146fd8-35d2-4264-a569-8f88cc29d0c8"	"University of Oulu"	"Finland"	"Finland"	"2011-04-07"	"TAPIR"	"http://gbif.oulu.fi/tapirlink/tapir.php/bryophyta"	"2022-03-12"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"European Moth Nights"	"867b3fb8-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"29876"	"0"	"60213426-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"2f462930-4d96-11d8-b290-b8a03c50a862"	"Department of Forest Sciences"	"Finland"	"Finland"	"2007-10-19"	"DIGIR"	"http://www.bioshare.net/DigirProvider/"	"2022-03-17"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Lepidoptera Observations from New Zealand by Donald Hobern"	"84eb976a-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"886"	"0"	"60213426-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"2f462930-4d96-11d8-b290-b8a03c50a862"	"Department of Forest Sciences"	"Finland"	"Finland"	"2007-04-03"	"DIGIR"	"http://www.bioshare.net/DigirProvider/"	"2022-03-04"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"European Lepidoptera Observations by Donald Hobern"	"84ecc4aa-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"2410"	"0"	"60213426-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"2f462930-4d96-11d8-b290-b8a03c50a862"	"Department of Forest Sciences"	"Finland"	"Finland"	"2007-04-03"	"DIGIR"	"http://www.bioshare.net/DigirProvider/"	"2022-03-04"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Animal observations"	"84f4df14-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"39"	"0"	"60213426-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"2f462930-4d96-11d8-b290-b8a03c50a862"	"Department of Forest Sciences"	"Finland"	"Finland"	"2007-04-03"	"DIGIR"	"http://www.bioshare.net/DigirProvider/"	"2022-03-04"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
