"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?"	"orphaned?"	"numImages"	"online?"
"pins"	"ff01c14e-06ce-47b6-8ea0-316cfb8fcff7"	"OCCURRENCE"	"true"	"20755"	"0"	"54cb3991-3327-4873-90b1-6c84dd8c59f6"	"IPT_INSTALLATION"	"3b5161b7-9831-4444-9822-a60df4df107d"	"IRD - Institute of Research for Development"	"France"	"France"	"2012-12-12"	"DWC_ARCHIVE"	"http://vmirdgbif-proto.mpl.ird.fr:8080/ipt/archive.do?r=pins"	"2022-03-11"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"arim"	"4b3541f2-92e0-4cc6-bb10-a2a2ffe61c60"	"OCCURRENCE"	"true"	"21694"	"0"	"54cb3991-3327-4873-90b1-6c84dd8c59f6"	"IPT_INSTALLATION"	"3b5161b7-9831-4444-9822-a60df4df107d"	"IRD - Institute of Research for Development"	"France"	"France"	"2012-11-26"	"DWC_ARCHIVE"	"http://vmirdgbif-proto.mpl.ird.fr:8080/ipt/archive.do?r=arim"	"2022-03-11"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"observe_tuna_bycatch_ecoscope"	"54bae6ef-8b4e-4ad3-8729-c4296299e5c7"	"OCCURRENCE"	"true"	"49999"	"0"	"54cb3991-3327-4873-90b1-6c84dd8c59f6"	"IPT_INSTALLATION"	"3b5161b7-9831-4444-9822-a60df4df107d"	"IRD - Institute of Research for Development"	"France"	"France"	"2011-07-21"	"DWC_ARCHIVE"	"http://vmirdgbif-proto.mpl.ird.fr:8080/ipt/archive.do?r=observe_tuna_bycatch"	"2022-03-12"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"observe_tuna_ecoscope"	"fca6b467-9d35-493a-9a43-56b096814536"	"OCCURRENCE"	"true"	"15515"	"0"	"54cb3991-3327-4873-90b1-6c84dd8c59f6"	"IPT_INSTALLATION"	"3b5161b7-9831-4444-9822-a60df4df107d"	"IRD - Institute of Research for Development"	"France"	"France"	"2011-07-21"	"DWC_ARCHIVE"	"http://vmirdgbif-proto.mpl.ird.fr:8080/ipt/archive.do?r=observe_tuna"	"2022-03-12"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Quadrige"	"aeeff4d1-a1e0-454e-ae87-2748138279d3"	"OCCURRENCE"	"true"	"281250"	"0"	"791e3715-7452-4dd0-a906-db21a3852427"	"IPT_INSTALLATION"	"61e40671-1a75-4bcd-9a0d-63515057d39d"	"IFREMER -  French Research Institute for Exploitation of the Sea"	"France"	"France"	"2011-03-29"	"DWC_ARCHIVE"	"http://www.gbif.fr:8080/ipt/archive.do?r=quadrige"	"2022-03-12"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Actualisation de la cartographie des Ptéridophytes de France et d'Europe occidentale"	"2aaf8ea9-0460-41d2-a651-3583479947c6"	"OCCURRENCE"	"true"	"8881"	"0"	"6066845e-f762-11e1-a439-00145eb45e9a"	"TAPIR_INSTALLATION"	"b2dbd210-90c2-11df-86a3-b8a03c50a862"	"Tela Botanica"	"France"	"France"	"2011-03-04"	"TAPIR"	"http://api.tela-botanica.org/tapirlink/tapir.php/pterido"	"2022-03-12"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Cartographie des Leguminosae (Fabaceae) en France"	"cbd241aa-a115-4856-af66-fac5cb90f2cc"	"OCCURRENCE"	"true"	"39957"	"0"	"6066845e-f762-11e1-a439-00145eb45e9a"	"TAPIR_INSTALLATION"	"b2dbd210-90c2-11df-86a3-b8a03c50a862"	"Tela Botanica"	"France"	"France"	"2011-03-04"	"TAPIR"	"http://api.tela-botanica.org/tapirlink/tapir.php/legumino"	"2022-03-12"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Carnet en Ligne"	"baa86fb2-7346-4507-a34f-44e4c1bd0d57"	"OCCURRENCE"	"true"	"335075"	"0"	"6066845e-f762-11e1-a439-00145eb45e9a"	"TAPIR_INSTALLATION"	"b2dbd210-90c2-11df-86a3-b8a03c50a862"	"Tela Botanica"	"France"	"France"	"2011-03-04"	"TAPIR"	"http://api.tela-botanica.org/tapirlink/tapir.php/cel"	"2022-03-12"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Phytochorologie des départements français"	"2d680d46-d783-4ea7-94b1-2556cd653e36"	"OCCURRENCE"	"true"	"223486"	"0"	"6066845e-f762-11e1-a439-00145eb45e9a"	"TAPIR_INSTALLATION"	"b2dbd210-90c2-11df-86a3-b8a03c50a862"	"Tela Botanica"	"France"	"France"	"2011-03-04"	"TAPIR"	"http://api.tela-botanica.org/tapirlink/tapir.php/chorodep"	"2022-03-12"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"ecoscope_observation_database"	"0e3d6f05-a287-4ffd-852d-4e17db22d810"	"OCCURRENCE"	"true"	"89874"	"0"	"54cb3991-3327-4873-90b1-6c84dd8c59f6"	"IPT_INSTALLATION"	"3b5161b7-9831-4444-9822-a60df4df107d"	"IRD - Institute of Research for Development"	"France"	"France"	"2011-02-22"	"DWC_ARCHIVE"	"http://vmirdgbif-proto.mpl.ird.fr:8080/ipt/archive.do?r=ecoscope_observation_database"	"2022-03-12"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Ifremer BIOCEAN database (Deep Sea Benthic Fauna)"	"96309e26-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"59928"	"0"	"6024ba74-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"61e40671-1a75-4bcd-9a0d-63515057d39d"	"IFREMER -  French Research Institute for Exploitation of the Sea"	"France"	"France"	"2009-02-24"	"DIGIR"	"http://www.ifremer.fr/digir/DiGIR.php"	"2022-03-13"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"COMARGIS: Information System on Continental Margin Ecosystems"	"9631e56a-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"6232"	"0"	"6024ba74-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"61e40671-1a75-4bcd-9a0d-63515057d39d"	"IFREMER -  French Research Institute for Exploitation of the Sea"	"France"	"France"	"2009-02-24"	"DIGIR"	"http://www.ifremer.fr/digir/DiGIR.php"	"2022-03-13"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
