"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?"	"orphaned?"	"numImages"	"online?"
"The Ichthyology Collection at the Staatliches Museum für Naturkunde Stuttgart"	"d150dd98-855c-4828-a2ff-148036b00c92"	"OCCURRENCE"	"true"	"20531"	"0"	"85dea8e7-243d-490f-bf15-5b4c24e7a48a"	"BIOCASE_INSTALLATION"	"99ea0c90-61e5-11dc-a64c-b8a03c50a862"	"Staatliches Museum für Naturkunde Stuttgart"	"Germany"	"Germany"	"2020-09-28"	"BIOCASE_XML_ARCHIVE"	"https://biocase.smns-bw.org/downloads/GFBIOichthyologycoll/The%20Ichthyology%20Collection%20at%20the%20Staatliches%20Museum%20fur%20Naturkunde%20Stuttgart.ABCD_2.06.zip"	"2022-03-12"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"The Golden wasps collection (Chrysididae) at the Staatliches Museum für Naturkunde Stuttgart"	"f2c88ec8-50fc-472f-8b90-ae548d04b09e"	"OCCURRENCE"	"true"	"818"	"0"	"85dea8e7-243d-490f-bf15-5b4c24e7a48a"	"BIOCASE_INSTALLATION"	"99ea0c90-61e5-11dc-a64c-b8a03c50a862"	"Staatliches Museum für Naturkunde Stuttgart"	"Germany"	"Germany"	"2020-09-28"	"BIOCASE_XML_ARCHIVE"	"https://biocase.smns-bw.org/downloads/goldenwaspscoll/The%20Golden%20wasps%20collection%20%28Chrysididae%29%20at%20the%20Staatliches%20Museum%20fur%20Naturkunde%20Stuttgart.ABCD_2.06.zip"	"2022-03-12"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Collection tropical liverworts serving as vectors for symbiotic fungi at the Staatliches Museum für Naturkunde Stuttgart"	"0668c2cd-87a2-44e7-b6d5-18023fc6a83e"	"OCCURRENCE"	"true"	"1315"	"0"	"85dea8e7-243d-490f-bf15-5b4c24e7a48a"	"BIOCASE_INSTALLATION"	"99ea0c90-61e5-11dc-a64c-b8a03c50a862"	"Staatliches Museum für Naturkunde Stuttgart"	"Germany"	"Germany"	"2020-09-28"	"BIOCASE_XML_ARCHIVE"	"https://biocase.smns-bw.org/downloads/ecuadorianliverwortscoll/Collection%20tropical%20liverworts%20serving%20as%20vectors%20for%20symbiotic%20fungi%20at%20the%20Staatliches%20Museum%20fur%20Naturkunde%20Stuttgart.ABCD_2.06.zip"	"2022-03-12"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"The ARAMOB Collection at the Staatliches Museum für Naturkunde Stuttgart"	"ce47cb9e-ecc5-4ed9-b5e8-9aa4d45fd456"	"OCCURRENCE"	"true"	"3438"	"0"	"85dea8e7-243d-490f-bf15-5b4c24e7a48a"	"BIOCASE_INSTALLATION"	"99ea0c90-61e5-11dc-a64c-b8a03c50a862"	"Staatliches Museum für Naturkunde Stuttgart"	"Germany"	"Germany"	"2020-09-28"	"BIOCASE_XML_ARCHIVE"	"https://biocase.smns-bw.org/downloads/aramob/The%20ARAMOB%20Collection%20at%20the%20Staatliches%20Museum%20fur%20Naturkunde%20Stuttgart.ABCD_2.06.zip"	"2022-03-12"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"The Fossil Lower Vertebrates Collection at the Staatliches Museum für Naturkunde Stuttgart"	"94acdc4f-95c1-4009-8612-656ae99d0943"	"OCCURRENCE"	"true"	"4177"	"0"	"85dea8e7-243d-490f-bf15-5b4c24e7a48a"	"BIOCASE_INSTALLATION"	"99ea0c90-61e5-11dc-a64c-b8a03c50a862"	"Staatliches Museum für Naturkunde Stuttgart"	"Germany"	"Germany"	"2020-09-28"	"BIOCASE_XML_ARCHIVE"	"https://biocase.smns-bw.org/downloads/GFBIOlowervertebratescoll/The%20Fossil%20Lower%20Vertebrates%20Collection%20at%20the%20Staatliches%20Museum%20fur%20Naturkunde%20Stuttgart.ABCD_2.06.zip"	"2022-03-12"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Naturhistorisches Museum Mainz, Schmetterlingssammlung Rodenkirchen"	"596cf56d-f47c-46df-84e7-7ef5aa47508d"	"OCCURRENCE"	"true"	"4534"	"0"	"60454014-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"33aecde5-7e13-4272-9cb7-f4f3b0eb820c"	"Naturhistorisches Museum Mainz"	"Germany"	"Germany"	"2017-10-11"	"DWC_ARCHIVE"	"https://ww3.bgbm.org/biocase/downloads/NaturkundemuseumMainz4/Naturhistorisches%20Museum%20Mainz%2C%20Schmetterlingssammlung%20Rodenkirchen.DwCA.zip"	"2022-03-14"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Mecklenburg-Brandenburg Plant Collection 2008"	"70367165-bf36-4b44-88b7-cd803ea093c7"	"OCCURRENCE"	"true"	"8"	"0"	"ccdd9a0a-26a8-4db7-9d35-c10020305622"	"BIOCASE_INSTALLATION"	"57254bd0-8256-11d8-b7ed-b8a03c50a862"	"Botanic Garden and Botanical Museum Berlin"	"Germany"	"Germany"	"2017-05-17"	"BIOCASE"	"https://data-rebind.bgbm.org/rebind/biocase/request.xql"	"2022-03-14"	"NORMAL"	"FALSE"	"YES"	"0"	"FALSE"
"Trends in upward shift of alpine plants"	"bec990f5-e8d4-422b-b049-3883a5b24896"	"OCCURRENCE"	"true"	"360"	"0"	"ccdd9a0a-26a8-4db7-9d35-c10020305622"	"BIOCASE_INSTALLATION"	"57254bd0-8256-11d8-b7ed-b8a03c50a862"	"Botanic Garden and Botanical Museum Berlin"	"Germany"	"Germany"	"2017-05-17"	"BIOCASE"	"https://data-rebind.bgbm.org/rebind/biocase/request.xql"	"2022-03-14"	"NORMAL"	"FALSE"	"YES"	"0"	"FALSE"
"Berlin-Brandenburg Plant Collection 2004"	"aba8cc4c-fba5-44f1-be2a-60c3592dc105"	"OCCURRENCE"	"true"	"197"	"0"	"ccdd9a0a-26a8-4db7-9d35-c10020305622"	"BIOCASE_INSTALLATION"	"57254bd0-8256-11d8-b7ed-b8a03c50a862"	"Botanic Garden and Botanical Museum Berlin"	"Germany"	"Germany"	"2017-05-17"	"BIOCASE"	"https://data-rebind.bgbm.org/rebind/biocase/request.xql"	"2022-03-14"	"NORMAL"	"FALSE"	"YES"	"0"	"FALSE"
"Berlin-Brandenburg Plant Collection 2005"	"1f7fa6e8-2e65-45ba-bc13-9ab6c707d13b"	"OCCURRENCE"	"true"	"240"	"0"	"ccdd9a0a-26a8-4db7-9d35-c10020305622"	"BIOCASE_INSTALLATION"	"57254bd0-8256-11d8-b7ed-b8a03c50a862"	"Botanic Garden and Botanical Museum Berlin"	"Germany"	"Germany"	"2017-05-17"	"BIOCASE"	"https://data-rebind.bgbm.org/rebind/biocase/request.xql"	"2022-03-14"	"NORMAL"	"FALSE"	"YES"	"0"	"FALSE"
"Berlin-Brandenburg Plant Collection 2006"	"a65e824b-9189-491e-8e7d-8473570d1905"	"OCCURRENCE"	"true"	"286"	"0"	"ccdd9a0a-26a8-4db7-9d35-c10020305622"	"BIOCASE_INSTALLATION"	"57254bd0-8256-11d8-b7ed-b8a03c50a862"	"Botanic Garden and Botanical Museum Berlin"	"Germany"	"Germany"	"2017-05-17"	"BIOCASE"	"https://data-rebind.bgbm.org/rebind/biocase/request.xql"	"2022-03-14"	"NORMAL"	"FALSE"	"YES"	"0"	"FALSE"
"Greece Kardharas Plant Collection"	"54853adf-7939-4b1d-8507-893c76cabe2e"	"OCCURRENCE"	"true"	"20"	"0"	"ccdd9a0a-26a8-4db7-9d35-c10020305622"	"BIOCASE_INSTALLATION"	"57254bd0-8256-11d8-b7ed-b8a03c50a862"	"Botanic Garden and Botanical Museum Berlin"	"Germany"	"Germany"	"2017-05-17"	"BIOCASE"	"https://data-rebind.bgbm.org/rebind/biocase/request.xql"	"2022-03-14"	"NORMAL"	"FALSE"	"YES"	"0"	"FALSE"
"Greece Plant Collection Menalon"	"a9aec242-8efb-4d5b-ad26-4dd4db12b754"	"OCCURRENCE"	"true"	"94"	"0"	"ccdd9a0a-26a8-4db7-9d35-c10020305622"	"BIOCASE_INSTALLATION"	"57254bd0-8256-11d8-b7ed-b8a03c50a862"	"Botanic Garden and Botanical Museum Berlin"	"Germany"	"Germany"	"2017-05-17"	"BIOCASE"	"https://data-rebind.bgbm.org/rebind/biocase/request.xql"	"2022-03-14"	"NORMAL"	"FALSE"	"YES"	"0"	"FALSE"
