"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?"	"orphaned?"	"numImages"	"online?"
"Endangered species list of Fungi in Japan 2020"	"9bac0c5b-7161-409b-ab96-c3bf3f7d7ac1"	"CHECKLIST"	"true"	"0"	"246"	"82d6992a-b20b-4e74-b6ac-6b971b2c485d"	"IPT_INSTALLATION"	"4fd82480-ea1c-11da-8db4-b8a03c50a862"	"National Museum of Nature and Science, Japan"	"Japan"	"Japan"	"2020-07-15"	"DWC_ARCHIVE"	"http://science-net.kahaku.go.jp/ipt2/archive.do?r=redlistfungijapan2020"	"2022-03-12"	"NOT_MODIFIED"	"FALSE"	"YES"	"0"	"FALSE"
"Sipunculan Specimens of the Yamagata Prefectural Museum"	"7021e80f-cfa7-4c39-ab83-b4478ced695b"	"OCCURRENCE"	"true"	"1"	"0"	"82d6992a-b20b-4e74-b6ac-6b971b2c485d"	"IPT_INSTALLATION"	"4fd82480-ea1c-11da-8db4-b8a03c50a862"	"National Museum of Nature and Science, Japan"	"Japan"	"Japan"	"2020-03-16"	"DWC_ARCHIVE"	"http://science-net.kahaku.go.jp/ipt2/archive.do?r=snet-1024-119"	"2022-03-13"	"NOT_MODIFIED"	"FALSE"	"YES"	"0"	"FALSE"
"Porifera Specimens of the Yamagata Prefectural Museum"	"dba02a97-3fbc-41a8-991d-72c522c72fad"	"OCCURRENCE"	"true"	"1"	"0"	"82d6992a-b20b-4e74-b6ac-6b971b2c485d"	"IPT_INSTALLATION"	"4fd82480-ea1c-11da-8db4-b8a03c50a862"	"National Museum of Nature and Science, Japan"	"Japan"	"Japan"	"2020-03-16"	"DWC_ARCHIVE"	"http://science-net.kahaku.go.jp/ipt2/archive.do?r=snet-1024-118"	"2022-03-13"	"NOT_MODIFIED"	"FALSE"	"YES"	"0"	"FALSE"
"Myriapod Specimens of the Yamagata Prefectural Museum"	"6d15c108-3d25-43a8-904f-8e631f71ec43"	"OCCURRENCE"	"true"	"1"	"0"	"82d6992a-b20b-4e74-b6ac-6b971b2c485d"	"IPT_INSTALLATION"	"4fd82480-ea1c-11da-8db4-b8a03c50a862"	"National Museum of Nature and Science, Japan"	"Japan"	"Japan"	"2020-03-16"	"DWC_ARCHIVE"	"http://science-net.kahaku.go.jp/ipt2/archive.do?r=snet-1024-116"	"2022-03-13"	"NOT_MODIFIED"	"FALSE"	"YES"	"0"	"FALSE"
"Bryozoa Specimens of the Yamagata Prefectural Museum"	"70497758-6c0f-4c25-b5ce-d1a448d088c6"	"OCCURRENCE"	"true"	"1"	"0"	"82d6992a-b20b-4e74-b6ac-6b971b2c485d"	"IPT_INSTALLATION"	"4fd82480-ea1c-11da-8db4-b8a03c50a862"	"National Museum of Nature and Science, Japan"	"Japan"	"Japan"	"2020-03-16"	"DWC_ARCHIVE"	"http://science-net.kahaku.go.jp/ipt2/archive.do?r=snet-1024-113"	"2022-03-13"	"NOT_MODIFIED"	"FALSE"	"YES"	"0"	"FALSE"
"Cnidarian Specimens of the Yamagata Prefectural Museum"	"4868fe29-3ad6-41b7-825d-f39233b37fbd"	"OCCURRENCE"	"true"	"13"	"0"	"82d6992a-b20b-4e74-b6ac-6b971b2c485d"	"IPT_INSTALLATION"	"4fd82480-ea1c-11da-8db4-b8a03c50a862"	"National Museum of Nature and Science, Japan"	"Japan"	"Japan"	"2020-03-16"	"DWC_ARCHIVE"	"http://science-net.kahaku.go.jp/ipt2/archive.do?r=snet-1024-110"	"2022-03-13"	"NOT_MODIFIED"	"FALSE"	"YES"	"0"	"FALSE"
"Brachiopoda Specimens of the Yamagata Prefectural Museum"	"77b01b3f-8d47-4e97-b719-91a983893c84"	"OCCURRENCE"	"true"	"18"	"0"	"82d6992a-b20b-4e74-b6ac-6b971b2c485d"	"IPT_INSTALLATION"	"4fd82480-ea1c-11da-8db4-b8a03c50a862"	"National Museum of Nature and Science, Japan"	"Japan"	"Japan"	"2020-03-16"	"DWC_ARCHIVE"	"http://science-net.kahaku.go.jp/ipt2/archive.do?r=snet-1024-109"	"2022-03-13"	"NOT_MODIFIED"	"FALSE"	"YES"	"0"	"FALSE"
"Ascidian Specimens of the Yamagata Prefectural Museum"	"0c802932-0f37-4cdf-8dff-73c62e79912c"	"OCCURRENCE"	"true"	"7"	"0"	"82d6992a-b20b-4e74-b6ac-6b971b2c485d"	"IPT_INSTALLATION"	"4fd82480-ea1c-11da-8db4-b8a03c50a862"	"National Museum of Nature and Science, Japan"	"Japan"	"Japan"	"2020-03-16"	"DWC_ARCHIVE"	"http://science-net.kahaku.go.jp/ipt2/archive.do?r=snet-1024-107"	"2022-03-13"	"NOT_MODIFIED"	"FALSE"	"YES"	"0"	"FALSE"
"Annelid Specimens of the Yamagata Prefectural Museum"	"51bef1c2-e984-4eb1-aa9a-5a62d67e47a2"	"OCCURRENCE"	"true"	"2"	"0"	"82d6992a-b20b-4e74-b6ac-6b971b2c485d"	"IPT_INSTALLATION"	"4fd82480-ea1c-11da-8db4-b8a03c50a862"	"National Museum of Nature and Science, Japan"	"Japan"	"Japan"	"2020-03-16"	"DWC_ARCHIVE"	"http://science-net.kahaku.go.jp/ipt2/archive.do?r=snet-1024-106"	"2022-03-13"	"NOT_MODIFIED"	"FALSE"	"YES"	"0"	"FALSE"
"Bird Specimens of The Cattle Museum"	"7c509321-47c2-4ded-a6eb-621cbf03c389"	"OCCURRENCE"	"true"	"66"	"0"	"82d6992a-b20b-4e74-b6ac-6b971b2c485d"	"IPT_INSTALLATION"	"4fd82480-ea1c-11da-8db4-b8a03c50a862"	"National Museum of Nature and Science, Japan"	"Japan"	"Japan"	"2020-03-10"	"DWC_ARCHIVE"	"http://science-net.kahaku.go.jp/ipt2/archive.do?r=snet-1195-102"	"2022-03-13"	"NOT_MODIFIED"	"FALSE"	"YES"	"0"	"FALSE"
"Asahikawa Educational College herbarium"	"ed32afa1-8e49-4129-876e-aeabf305641d"	"OCCURRENCE"	"true"	"3139"	"0"	"82d6992a-b20b-4e74-b6ac-6b971b2c485d"	"IPT_INSTALLATION"	"4fd82480-ea1c-11da-8db4-b8a03c50a862"	"National Museum of Nature and Science, Japan"	"Japan"	"Japan"	"2020-03-05"	"DWC_ARCHIVE"	"http://science-net.kahaku.go.jp/ipt2/archive.do?r=snet-1197-101"	"2022-03-13"	"NOT_MODIFIED"	"FALSE"	"YES"	"0"	"FALSE"
"Tertiary vertebrate collection at Osama Museum of Natural History"	"50e6f611-fbaf-4dd3-809b-a053bf2efb5c"	"OCCURRENCE"	"true"	"167"	"0"	"82d6992a-b20b-4e74-b6ac-6b971b2c485d"	"IPT_INSTALLATION"	"4fd82480-ea1c-11da-8db4-b8a03c50a862"	"National Museum of Nature and Science, Japan"	"Japan"	"Japan"	"2020-03-05"	"DWC_ARCHIVE"	"http://science-net.kahaku.go.jp/ipt2/archive.do?r=snet-1190-112"	"2022-03-13"	"NOT_MODIFIED"	"FALSE"	"YES"	"0"	"FALSE"
"Hymenoptera Specimens of Yamaguchi prefectural Yamaguchi Museum"	"e32a58dc-deb6-44d2-b4c2-4e5ca7165eeb"	"OCCURRENCE"	"true"	"589"	"0"	"82d6992a-b20b-4e74-b6ac-6b971b2c485d"	"IPT_INSTALLATION"	"4fd82480-ea1c-11da-8db4-b8a03c50a862"	"National Museum of Nature and Science, Japan"	"Japan"	"Japan"	"2020-03-05"	"DWC_ARCHIVE"	"http://science-net.kahaku.go.jp/ipt2/archive.do?r=snet-1119-106"	"2022-03-13"	"NOT_MODIFIED"	"FALSE"	"YES"	"0"	"FALSE"
"Hemiptera Specimens of Yamaguchi prefectural Yamaguchi Museum"	"eb17608f-f047-4742-b079-ea02f94d9521"	"OCCURRENCE"	"true"	"607"	"0"	"82d6992a-b20b-4e74-b6ac-6b971b2c485d"	"IPT_INSTALLATION"	"4fd82480-ea1c-11da-8db4-b8a03c50a862"	"National Museum of Nature and Science, Japan"	"Japan"	"Japan"	"2020-03-05"	"DWC_ARCHIVE"	"http://science-net.kahaku.go.jp/ipt2/archive.do?r=snet-1119-105"	"2022-03-13"	"NOT_MODIFIED"	"FALSE"	"YES"	"0"	"FALSE"
"Diptera Specimens of Yamaguchi prefectural Yamaguchi Museum"	"eaa402fc-d235-400e-84af-1051603320af"	"OCCURRENCE"	"true"	"3620"	"0"	"82d6992a-b20b-4e74-b6ac-6b971b2c485d"	"IPT_INSTALLATION"	"4fd82480-ea1c-11da-8db4-b8a03c50a862"	"National Museum of Nature and Science, Japan"	"Japan"	"Japan"	"2020-03-05"	"DWC_ARCHIVE"	"http://science-net.kahaku.go.jp/ipt2/archive.do?r=snet-1119-104"	"2022-03-13"	"NOT_MODIFIED"	"FALSE"	"YES"	"0"	"FALSE"
"Odonata Specimens of Yamaguchi prefectural Yamaguchi Museum"	"74091aa7-9892-4720-bde4-9dbb28cbc276"	"OCCURRENCE"	"true"	"1480"	"0"	"82d6992a-b20b-4e74-b6ac-6b971b2c485d"	"IPT_INSTALLATION"	"4fd82480-ea1c-11da-8db4-b8a03c50a862"	"National Museum of Nature and Science, Japan"	"Japan"	"Japan"	"2020-03-05"	"DWC_ARCHIVE"	"http://science-net.kahaku.go.jp/ipt2/archive.do?r=snet-1119-103"	"2022-03-13"	"NOT_MODIFIED"	"FALSE"	"YES"	"0"	"FALSE"
"Fossil specimens of Toyama Science Museum"	"78172eb7-f7af-4a11-8041-1c31967c4a77"	"OCCURRENCE"	"true"	"1000"	"0"	"82d6992a-b20b-4e74-b6ac-6b971b2c485d"	"IPT_INSTALLATION"	"4fd82480-ea1c-11da-8db4-b8a03c50a862"	"National Museum of Nature and Science, Japan"	"Japan"	"Japan"	"2020-03-05"	"DWC_ARCHIVE"	"http://science-net.kahaku.go.jp/ipt2/archive.do?r=snet-1073-111"	"2022-03-13"	"NOT_MODIFIED"	"FALSE"	"YES"	"0"	"FALSE"
"Amphibian specimens of Toyama Science Museum"	"86940f03-6d8b-401d-a1f2-3175a46d5406"	"OCCURRENCE"	"true"	"2108"	"0"	"82d6992a-b20b-4e74-b6ac-6b971b2c485d"	"IPT_INSTALLATION"	"4fd82480-ea1c-11da-8db4-b8a03c50a862"	"National Museum of Nature and Science, Japan"	"Japan"	"Japan"	"2020-03-05"	"DWC_ARCHIVE"	"http://science-net.kahaku.go.jp/ipt2/archive.do?r=snet-1073-110"	"2022-03-13"	"NOT_MODIFIED"	"FALSE"	"YES"	"0"	"FALSE"
"Ferns and Lycophytes Specimens of Kawasaki Municipal Science Museum"	"1be86384-0073-4a50-a82f-7ca99bde3df8"	"OCCURRENCE"	"true"	"4632"	"0"	"82d6992a-b20b-4e74-b6ac-6b971b2c485d"	"IPT_INSTALLATION"	"4fd82480-ea1c-11da-8db4-b8a03c50a862"	"National Museum of Nature and Science, Japan"	"Japan"	"Japan"	"2020-03-05"	"DWC_ARCHIVE"	"http://science-net.kahaku.go.jp/ipt2/archive.do?r=snet-1055-105"	"2022-03-13"	"NOT_MODIFIED"	"FALSE"	"YES"	"0"	"FALSE"
"Araneae collection of Kanagawa Prefectural Museum of Natural History"	"39ca3bfa-2888-49ba-b4f7-f128701ddf38"	"OCCURRENCE"	"true"	"300"	"0"	"82d6992a-b20b-4e74-b6ac-6b971b2c485d"	"IPT_INSTALLATION"	"4fd82480-ea1c-11da-8db4-b8a03c50a862"	"National Museum of Nature and Science, Japan"	"Japan"	"Japan"	"2020-03-05"	"DWC_ARCHIVE"	"http://science-net.kahaku.go.jp/ipt2/archive.do?r=snet-1054-115"	"2022-03-13"	"NOT_MODIFIED"	"FALSE"	"YES"	"0"	"FALSE"
"Fossil specimens of Iwate Prefectural Museum"	"9ed0fa79-fe38-4754-aa5b-599d35192ab9"	"OCCURRENCE"	"true"	"239"	"0"	"82d6992a-b20b-4e74-b6ac-6b971b2c485d"	"IPT_INSTALLATION"	"4fd82480-ea1c-11da-8db4-b8a03c50a862"	"National Museum of Nature and Science, Japan"	"Japan"	"Japan"	"2020-03-05"	"DWC_ARCHIVE"	"http://science-net.kahaku.go.jp/ipt2/archive.do?r=snet-1019-108"	"2022-03-13"	"NOT_MODIFIED"	"FALSE"	"YES"	"0"	"FALSE"
"Plant Specimens of The Cattle Museum"	"10d4ea8d-9feb-44ba-961c-ddbb8732fa8f"	"OCCURRENCE"	"true"	"223"	"0"	"82d6992a-b20b-4e74-b6ac-6b971b2c485d"	"IPT_INSTALLATION"	"4fd82480-ea1c-11da-8db4-b8a03c50a862"	"National Museum of Nature and Science, Japan"	"Japan"	"Japan"	"2019-05-17"	"DWC_ARCHIVE"	"http://science-net.kahaku.go.jp/ipt2/archive.do?r=snet-1195-101"	"2022-03-13"	"NOT_MODIFIED"	"FALSE"	"YES"	"0"	"FALSE"
