"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?"	"orphaned?"	"numImages"	"online?"
"Specimen references on the Verbenaceae family held by the TAN Herbarium"	"61132471-7cf5-4e6a-9b06-5b90cf50b9fe"	"OCCURRENCE"	"true"	"1280"	"0"	"7b1a0765-a289-49df-8091-52861d4d2746"	"IPT_INSTALLATION"	"7bec6457-78d6-416f-a185-00ae45e1d9a0"	"Parc Botanique et Zoologique de Tsimbazaza (P.B.Z.T.)"	"Madagascar"	"Madagascar"	"2019-10-15"	"DWC_ARCHIVE"	"http://ipt.madbif.mg/archive.do?r=tan_verbenaceae"	"2022-03-13"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Specimen references on the Sapotaceae family held by the TAN Herbarium"	"bddfce7e-8a19-4ee3-825c-b3d6e9e2220d"	"OCCURRENCE"	"true"	"382"	"0"	"7b1a0765-a289-49df-8091-52861d4d2746"	"IPT_INSTALLATION"	"7bec6457-78d6-416f-a185-00ae45e1d9a0"	"Parc Botanique et Zoologique de Tsimbazaza (P.B.Z.T.)"	"Madagascar"	"Madagascar"	"2019-10-08"	"DWC_ARCHIVE"	"http://ipt.madbif.mg/archive.do?r=tan_sapotaceae"	"2022-03-13"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Database about reference specimens for medicinal plants, in the Verbenaceae family, owned by CNARP"	"0942490a-f0b8-4111-ae73-379a04da4186"	"OCCURRENCE"	"true"	"33"	"0"	"7b1a0765-a289-49df-8091-52861d4d2746"	"IPT_INSTALLATION"	"d1202a9b-7db3-4fc3-964b-c99d7f37702a"	"CNARP"	"Madagascar"	"Madagascar"	"2019-07-01"	"DWC_ARCHIVE"	"http://ipt.madbif.mg/archive.do?r=verbenaceae_cnarp"	"2022-03-13"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Database about reference specimens for medicinal plants, in the Sapotaceae family, owned by CNARP"	"65174786-b679-46f1-b5a4-34f466e9241a"	"OCCURRENCE"	"true"	"162"	"0"	"7b1a0765-a289-49df-8091-52861d4d2746"	"IPT_INSTALLATION"	"d1202a9b-7db3-4fc3-964b-c99d7f37702a"	"CNARP"	"Madagascar"	"Madagascar"	"2019-06-28"	"DWC_ARCHIVE"	"http://ipt.madbif.mg/archive.do?r=sapotaceae_cnarp"	"2022-03-13"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Database about reference specimens for medicinal plants, in the Moraceae family, owned by CNARP"	"269348c6-8dd2-4d59-84ae-27c82b47c2c0"	"OCCURRENCE"	"true"	"253"	"0"	"7b1a0765-a289-49df-8091-52861d4d2746"	"IPT_INSTALLATION"	"d1202a9b-7db3-4fc3-964b-c99d7f37702a"	"CNARP"	"Madagascar"	"Madagascar"	"2019-06-10"	"DWC_ARCHIVE"	"http://ipt.madbif.mg/archive.do?r=moraceae_cnarp"	"2022-03-13"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Book by Jean Bosser: Graminées des pâturages et des cultures à Madagascar, 1969"	"0497a051-ccd6-4699-9bce-9170562cba65"	"CHECKLIST"	"true"	"0"	"477"	"7b1a0765-a289-49df-8091-52861d4d2746"	"IPT_INSTALLATION"	"27b44945-6a9a-4d3d-a19e-81b5335592d2"	"Kew Madagascar Conservation Centre - Royal Botanic Gardens Kew"	"Madagascar"	"Madagascar"	"2019-02-04"	"DWC_ARCHIVE"	"http://ipt.madbif.mg/archive.do?r=booser_poaceae_checklist"	"2022-03-14"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Research database of Madagascar grasses compiled by Maria Vorontsova"	"15d76f87-6d16-4948-b4d5-f7d50a168aa6"	"OCCURRENCE"	"true"	"2407"	"0"	"7b1a0765-a289-49df-8091-52861d4d2746"	"IPT_INSTALLATION"	"27b44945-6a9a-4d3d-a19e-81b5335592d2"	"Kew Madagascar Conservation Centre - Royal Botanic Gardens Kew"	"Madagascar"	"Madagascar"	"2019-01-30"	"DWC_ARCHIVE"	"http://ipt.madbif.mg/archive.do?r=research_maria_vorontsova"	"2022-03-14"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"All herbarium specimens of grasses held at TAN herbarium"	"9d68dae3-0851-4277-a7d5-ab997758a10d"	"OCCURRENCE"	"true"	"5146"	"0"	"7b1a0765-a289-49df-8091-52861d4d2746"	"IPT_INSTALLATION"	"27b44945-6a9a-4d3d-a19e-81b5335592d2"	"Kew Madagascar Conservation Centre - Royal Botanic Gardens Kew"	"Madagascar"	"Madagascar"	"2019-01-29"	"DWC_ARCHIVE"	"http://ipt.madbif.mg/archive.do?r=tan_collection"	"2022-03-14"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"pbzt_insect_biodiversity"	"af7ff8ba-8ab2-4f50-951e-5fb4df0c7f8f"	"OCCURRENCE"	"true"	"647"	"0"	"7b1a0765-a289-49df-8091-52861d4d2746"	"IPT_INSTALLATION"	"8feb568b-f026-4d58-93b7-a2b56dc946f8"	"Madagascar Biodiversity Center, Parc Botanique et Zoologique des Tsimbazaza"	"Madagascar"	"Madagascar"	"2018-12-03"	"DWC_ARCHIVE"	"http://ipt.madbif.mg/archive.do?r=pbzt_insect_biodiversity"	"2022-03-14"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"database_dyctio"	"c8e45ee9-c12d-4cf9-8055-15b3d9a1e628"	"OCCURRENCE"	"true"	"315"	"0"	"7b1a0765-a289-49df-8091-52861d4d2746"	"IPT_INSTALLATION"	"8feb568b-f026-4d58-93b7-a2b56dc946f8"	"Madagascar Biodiversity Center, Parc Botanique et Zoologique des Tsimbazaza"	"Madagascar"	"Madagascar"	"2018-12-03"	"DWC_ARCHIVE"	"http://ipt.madbif.mg/archive.do?r=database_dyctio"	"2022-03-14"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
