"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?"	"orphaned?"	"numImages"	"online?"
"A new genus of Bambusicolaceae (Pleosporales) on Corylus avellana (Fagales) from Italy"	"ca49d2fd-1abf-4fc1-815e-f1b53cc8ea11"	"CHECKLIST"	"false"	"0"	"0"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2021-08-05"					"FALSE"	"YES"	"0"	"FALSE"
"A new genus of Bambusicolaceae (Pleosporales) on Corylus avellana (Fagales) from Italy"	"2e9743e0-2458-4116-848f-16cb330c9b98"	"CHECKLIST"	"false"	"0"	"0"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2021-08-05"					"FALSE"	"YES"	"0"	"FALSE"
"A new genus of Bambusicolaceae (Pleosporales) on Corylus avellana (Fagales) from Italy"	"c0f9c5e1-5dae-45a4-9871-e7523f4755b9"	"CHECKLIST"	"false"	"0"	"0"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2021-08-05"					"FALSE"	"YES"	"0"	"FALSE"
"A new genus of Bambusicolaceae (Pleosporales) on Corylus avellana (Fagales) from Italy"	"f22e621a-dd7f-4b12-ae4b-3acc07c00c48"	"CHECKLIST"	"false"	"0"	"0"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2021-08-05"					"FALSE"	"YES"	"0"	"FALSE"
"A new genus of Bambusicolaceae (Pleosporales) on Corylus avellana (Fagales) from Italy"	"adca64e3-e352-48b4-9105-689958956aa5"	"CHECKLIST"	"false"	"0"	"0"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2021-08-05"					"FALSE"	"YES"	"0"	"FALSE"
"A new genus of Bambusicolaceae (Pleosporales) on Corylus avellana (Fagales) from Italy"	"93da33bd-9b15-40ec-ac93-1814d5c6acc9"	"CHECKLIST"	"false"	"0"	"0"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2021-08-05"					"FALSE"	"YES"	"0"	"FALSE"
"A new genus of Bambusicolaceae (Pleosporales) on Corylus avellana (Fagales) from Italy"	"c9da6876-ce60-4cfc-bec6-031775f2992e"	"CHECKLIST"	"false"	"0"	"0"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2021-08-05"					"FALSE"	"YES"	"0"	"FALSE"
"Chronicle of Nature - Phenology of Plants of Voronezhsky Nature Biosphere Reserve"	"c609ab21-6794-4f72-a19d-91d2e6f3ae5c"	"OCCURRENCE"	"false"	"0"	"0"	"92a00840-efe1-4b82-9a1d-c655b34c8fce"	"EARTHCAPE_INSTALLATION"	"e56a7137-e0b9-491b-99ae-1dd03b8b0292"	"VORONEZHSKY STATE NATURE BIOSPHERE RESERVE NAMED AFTER V. PESKOV"		"unknown or invalid"	"2019-10-01"					"FALSE"	"YES"	"0"	"FALSE"
"Mammals of Iwokrama Rainforest"	"081304be-3a8b-436d-a9b4-185b6cdda870"	"CHECKLIST"	"true"	"0"	"262"	"992d49ea-1a93-4cc4-8247-06b55680d7a3"	"IPT_INSTALLATION"	"e7cc89db-d984-4b46-bf67-fb2ffdcf1e22"	"Environmental Protection Agency"		"unknown or invalid"	"2019-05-16"	"DWC_ARCHIVE"	"http://132.148.241.236:8080/ipt/archive.do?r=mammals_of_iwokrama"	"2022-03-13"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Butterflies of the Rupununi"	"2dc54d17-6a79-425d-a1e3-82dc0b607dfb"	"OCCURRENCE"	"true"	"2608"	"0"	"992d49ea-1a93-4cc4-8247-06b55680d7a3"	"IPT_INSTALLATION"	"e7cc89db-d984-4b46-bf67-fb2ffdcf1e22"	"Environmental Protection Agency"		"unknown or invalid"	"2019-05-11"	"DWC_ARCHIVE"	"http://132.148.241.236:8080/ipt/archive.do?r=tyyju"	"2022-03-13"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Butterflies of the North Rupununi"	"f18fc494-4700-4c2a-ab27-16ecabed7806"	"OCCURRENCE"	"true"	"2699"	"0"	"992d49ea-1a93-4cc4-8247-06b55680d7a3"	"IPT_INSTALLATION"	"e7cc89db-d984-4b46-bf67-fb2ffdcf1e22"	"Environmental Protection Agency"		"unknown or invalid"	"2019-05-11"	"DWC_ARCHIVE"	"http://132.148.241.236:8080/ipt/archive.do?r=64ghjjj"	"2022-03-13"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Freshwater biodiversity of the Eastern Highlands of Zimbabwe: Assessing conservation priorities using primary species-occurrence data"	"1160e07d-3285-403e-8770-8426ef450bbf"	"OCCURRENCE"	"true"	"1971"	"0"	"a1650468-2c39-4747-85d7-1fb04dd6649f"	"IPT_INSTALLATION"	"5f2df235-914f-4cc9-b247-08fb981e8b8a"	"Natural History Museum of Zimbabwe"		"unknown or invalid"	"2019-04-13"	"DWC_ARCHIVE"	"http://www.nhmbyo.co.zw/ipt/archive.do?r=freshwater_occurence"	"2022-03-14"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Reptiles and Amphibians of Iwokrama Rainforest"	"63fb1e7e-9b49-4d57-8079-77b411420e4d"	"CHECKLIST"	"true"	"0"	"251"	"992d49ea-1a93-4cc4-8247-06b55680d7a3"	"IPT_INSTALLATION"	"e7cc89db-d984-4b46-bf67-fb2ffdcf1e22"	"Environmental Protection Agency"		"unknown or invalid"	"2019-03-06"	"DWC_ARCHIVE"	"http://132.148.241.236:8080/ipt/archive.do?r=reptiles_and_amphibians_of_iwokrama"	"2022-03-14"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Plants of Iwokrama Rainforest"	"04daaebb-6917-4c73-a664-8f017819c841"	"CHECKLIST"	"true"	"0"	"2162"	"992d49ea-1a93-4cc4-8247-06b55680d7a3"	"IPT_INSTALLATION"	"e7cc89db-d984-4b46-bf67-fb2ffdcf1e22"	"Environmental Protection Agency"		"unknown or invalid"	"2019-03-06"	"DWC_ARCHIVE"	"http://132.148.241.236:8080/ipt/archive.do?r=plants_of_iwokrama"	"2022-03-14"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Freshwater Fishes of Iwokrama Rainforest"	"d4f59460-4248-4d5b-91e9-641d803f5890"	"CHECKLIST"	"true"	"0"	"644"	"992d49ea-1a93-4cc4-8247-06b55680d7a3"	"IPT_INSTALLATION"	"e7cc89db-d984-4b46-bf67-fb2ffdcf1e22"	"Environmental Protection Agency"		"unknown or invalid"	"2019-03-01"	"DWC_ARCHIVE"	"http://132.148.241.236:8080/ipt/archive.do?r=freshwater_fishes_of_iwokrama"	"2022-03-14"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Freshwater Fishes of Guyana"	"55bd456d-4836-4d20-9861-9cd574a32654"	"OCCURRENCE"	"true"	"1480"	"0"	"992d49ea-1a93-4cc4-8247-06b55680d7a3"	"IPT_INSTALLATION"	"e7cc89db-d984-4b46-bf67-fb2ffdcf1e22"	"Environmental Protection Agency"		"unknown or invalid"	"2019-02-21"	"DWC_ARCHIVE"	"http://132.148.241.236:8080/ipt/archive.do?r=guyana_epa_fishes_dataset"	"2022-03-14"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Edible Insects Collection of the Natural History Museum Bulawayo (NMZB), Zimbabwe Occurrence dataset"	"e386d77e-4713-4289-bd01-6d0115c718ed"	"OCCURRENCE"	"true"	"1195"	"0"	"a1650468-2c39-4747-85d7-1fb04dd6649f"	"IPT_INSTALLATION"	"5f2df235-914f-4cc9-b247-08fb981e8b8a"	"Natural History Museum of Zimbabwe"		"unknown or invalid"	"2018-11-03"	"DWC_ARCHIVE"	"http://www.nhmbyo.co.zw/ipt/archive.do?r=edibleinsects"	"2022-03-14"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Mobilizing specimen data on bats and rodents from Zimbabwe"	"cc7a62c8-cd0e-4e89-a1ee-71b52e72b061"	"CHECKLIST"	"true"	"0"	"169"	"a1650468-2c39-4747-85d7-1fb04dd6649f"	"IPT_INSTALLATION"	"5f2df235-914f-4cc9-b247-08fb981e8b8a"	"Natural History Museum of Zimbabwe"		"unknown or invalid"	"2018-07-06"	"DWC_ARCHIVE"	"http://www.nhmbyo.co.zw/ipt/archive.do?r=checklist_of_bats_housed_at_the_natural_history_museum_of_zimbabwe"	"2022-03-14"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
