"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?"	"orphaned?"	"numImages"	"online?"
"Bird Species Occurrence in Ramsar Site of Kilombero Valley Floodplains of Tanzania."	"18799ce9-1a66-40fc-ad18-5ac54cd3417b"	"OCCURRENCE"	"true"	"8463"	"0"	"d1b0ac70-3b77-4c2c-9071-daf65bb9fa79"	"IPT_INSTALLATION"	"a8864fd2-f4f9-40b1-bd9d-a8767e12b9ab"	"Sokoine University of Agriculture, Department of Ecosystems and Conservation"	"Tanzania, United Republic of"	"Tanzania, United Republic of"	"2018-05-14"	"DWC_ARCHIVE"	"http://www.edms.sua.ac.tz/ipt/archive.do?r=kilo"	"2022-03-14"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Endemic plant species of Amani Nature Reserve in Eastern Arc Mountains of Tanzania"	"ba9b66a3-2d11-4193-922e-ace4d5909239"	"OCCURRENCE"	"true"	"16"	"0"	"d1b0ac70-3b77-4c2c-9071-daf65bb9fa79"	"IPT_INSTALLATION"	"a8864fd2-f4f9-40b1-bd9d-a8767e12b9ab"	"Sokoine University of Agriculture, Department of Ecosystems and Conservation"	"Tanzania, United Republic of"	"Tanzania, United Republic of"	"2018-05-06"	"DWC_ARCHIVE"	"http://www.edms.sua.ac.tz/ipt/archive.do?r=amani"	"2022-03-14"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Endemic plant species of Udzungwa Mountains National Park in Eastern Arc of Tanzania"	"78b696d9-8f0d-41ab-9c23-1c3547da411d"	"OCCURRENCE"	"true"	"17"	"0"	"d1b0ac70-3b77-4c2c-9071-daf65bb9fa79"	"IPT_INSTALLATION"	"a8864fd2-f4f9-40b1-bd9d-a8767e12b9ab"	"Sokoine University of Agriculture, Department of Ecosystems and Conservation"	"Tanzania, United Republic of"	"Tanzania, United Republic of"	"2018-05-06"	"DWC_ARCHIVE"	"http://www.edms.sua.ac.tz/ipt/archive.do?r=udz"	"2022-03-14"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Endemic plant species of Mkingu Nature Reserve in Eastern Arc Mountains of Tanzania"	"c791b255-a184-4600-b828-ef9d4092a212"	"OCCURRENCE"	"true"	"19"	"0"	"d1b0ac70-3b77-4c2c-9071-daf65bb9fa79"	"IPT_INSTALLATION"	"a8864fd2-f4f9-40b1-bd9d-a8767e12b9ab"	"Sokoine University of Agriculture, Department of Ecosystems and Conservation"	"Tanzania, United Republic of"	"Tanzania, United Republic of"	"2018-05-05"	"DWC_ARCHIVE"	"http://www.edms.sua.ac.tz/ipt/archive.do?r=mnr"	"2022-03-14"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"List of the Uluguru Mountains Endemic Vascular Plants"	"b929ccda-03b1-4166-9e5b-34588339d61d"	"OCCURRENCE"	"true"	"68"	"0"	"d1b0ac70-3b77-4c2c-9071-daf65bb9fa79"	"IPT_INSTALLATION"	"a8864fd2-f4f9-40b1-bd9d-a8767e12b9ab"	"Sokoine University of Agriculture, Department of Ecosystems and Conservation"	"Tanzania, United Republic of"	"Tanzania, United Republic of"	"2018-05-05"	"DWC_ARCHIVE"	"http://www.edms.sua.ac.tz/ipt/archive.do?r=unr2018"	"2022-03-14"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"A Checklist of Tree Species in the Miombo Woodlands of Western Tanzania"	"31be84fe-e5a1-4ac1-aa28-cd360a5554d6"	"CHECKLIST"	"true"	"0"	"61"	"d1b0ac70-3b77-4c2c-9071-daf65bb9fa79"	"IPT_INSTALLATION"	"a8864fd2-f4f9-40b1-bd9d-a8767e12b9ab"	"Sokoine University of Agriculture, Department of Ecosystems and Conservation"	"Tanzania, United Republic of"	"Tanzania, United Republic of"	"2018-04-07"	"DWC_ARCHIVE"	"http://www.edms.sua.ac.tz/ipt/archive.do?r=jgi"	"2022-03-14"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"The Occurrence Data of Tree species for Coastal Forest of Tanzania."	"53ba0073-4eda-44a7-8ebd-b59219b3613a"	"OCCURRENCE"	"true"	"81"	"0"	"d1b0ac70-3b77-4c2c-9071-daf65bb9fa79"	"IPT_INSTALLATION"	"a8864fd2-f4f9-40b1-bd9d-a8767e12b9ab"	"Sokoine University of Agriculture, Department of Ecosystems and Conservation"	"Tanzania, United Republic of"	"Tanzania, United Republic of"	"2018-04-07"	"DWC_ARCHIVE"	"http://www.edms.sua.ac.tz/ipt/archive.do?r=coa"	"2022-03-14"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Occurrence data of tree species for crystalline Mountain Forest of Tanzania."	"5e5d014b-2bd1-45b2-a266-af3064370085"	"OCCURRENCE"	"true"	"2084"	"0"	"d1b0ac70-3b77-4c2c-9071-daf65bb9fa79"	"IPT_INSTALLATION"	"a8864fd2-f4f9-40b1-bd9d-a8767e12b9ab"	"Sokoine University of Agriculture, Department of Ecosystems and Conservation"	"Tanzania, United Republic of"	"Tanzania, United Republic of"	"2018-03-30"	"DWC_ARCHIVE"	"http://www.edms.sua.ac.tz/ipt/archive.do?r=crm"	"2022-03-14"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Tree Species Occurrence Data of Accacia Commiphora Woodland of Tanzania."	"253fa82c-65ec-4f92-8892-c54b864dfd68"	"OCCURRENCE"	"true"	"2164"	"0"	"d1b0ac70-3b77-4c2c-9071-daf65bb9fa79"	"IPT_INSTALLATION"	"a8864fd2-f4f9-40b1-bd9d-a8767e12b9ab"	"Sokoine University of Agriculture, Department of Ecosystems and Conservation"	"Tanzania, United Republic of"	"Tanzania, United Republic of"	"2018-03-29"	"DWC_ARCHIVE"	"http://www.edms.sua.ac.tz/ipt/archive.do?r=acsua"	"2022-03-14"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Tree species Occurrence Data of Coastal Miombo in Western Tanzania."	"4405aa78-0622-4f21-a37c-75a0dbe7ca7b"	"OCCURRENCE"	"true"	"4174"	"0"	"d1b0ac70-3b77-4c2c-9071-daf65bb9fa79"	"IPT_INSTALLATION"	"a8864fd2-f4f9-40b1-bd9d-a8767e12b9ab"	"Sokoine University of Agriculture, Department of Ecosystems and Conservation"	"Tanzania, United Republic of"	"Tanzania, United Republic of"	"2018-03-29"	"DWC_ARCHIVE"	"http://www.edms.sua.ac.tz/ipt/archive.do?r=csua"	"2022-03-14"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Tree Species Occurrence in Miombo Woodland of Tanzania."	"7fa4ed8c-e879-465f-acd2-2e65f398cc96"	"OCCURRENCE"	"true"	"16336"	"0"	"d1b0ac70-3b77-4c2c-9071-daf65bb9fa79"	"IPT_INSTALLATION"	"a8864fd2-f4f9-40b1-bd9d-a8767e12b9ab"	"Sokoine University of Agriculture, Department of Ecosystems and Conservation"	"Tanzania, United Republic of"	"Tanzania, United Republic of"	"2018-03-29"	"DWC_ARCHIVE"	"http://www.edms.sua.ac.tz/ipt/archive.do?r=reddsua"	"2022-03-14"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Zanzibar Fruit Plant Species Checklist"	"1a2aa387-e93f-40d3-8a5a-d6d5d54884b4"	"CHECKLIST"	"true"	"0"	"0"	"47149b31-0645-43dd-b4db-bc652d9329c2"	"IPT_INSTALLATION"	"3c1ff1ce-cc3b-4637-b86f-2766ca452c89"	"University of Dar es Salaam, Department of Botany"	"Tanzania, United Republic of"	"Tanzania, United Republic of"	"2012-09-05"	"DWC_ARCHIVE"	"http://www.tanbif.or.tz/ipt/archive.do?r=zanzibarplants"	"2022-03-11"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"University of Dar es Salaam, Botany Department Plant Species"	"9bf16572-a62e-4a87-80b5-4847ca7ff31f"	"OCCURRENCE"	"true"	"0"	"0"	"47149b31-0645-43dd-b4db-bc652d9329c2"	"IPT_INSTALLATION"	"00aa4e95-ff37-445f-99a8-636afe047a59"	"University of Dar es Salaam, Department of Zoology"	"Tanzania, United Republic of"	"Tanzania, United Republic of"	"2012-04-02"	"DWC_ARCHIVE"	"http://www.tanbif.or.tz/ipt/archive.do?r=udsm_botany_plant_data"	"2022-03-11"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"tanzania_plant_sepecimens"	"ac7b4266-e725-4088-a767-bb6d33c2c631"	"CHECKLIST"	"true"	"0"	"0"	"47149b31-0645-43dd-b4db-bc652d9329c2"	"IPT_INSTALLATION"	"76905ca0-1e21-11de-9ca0-cd203b273f5d"	"TanBIF"	"Tanzania, United Republic of"	"Tanzania, United Republic of"	"2011-10-12"	"DWC_ARCHIVE"	"http://www.tanbif.or.tz/ipt/archive.do?r=tanzania_plant_sepecimens"	"2022-03-12"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Specie List of Mammals in Tanzania"	"d3a00072-72b7-4894-96c4-ecd008892eb4"	"OCCURRENCE"	"true"	"0"	"0"	"47149b31-0645-43dd-b4db-bc652d9329c2"	"IPT_INSTALLATION"	"76905ca0-1e21-11de-9ca0-cd203b273f5d"	"TanBIF"	"Tanzania, United Republic of"	"Tanzania, United Republic of"	"2011-10-06"	"DWC_ARCHIVE"	"http://www.tanbif.or.tz/ipt/archive.do?r=specie_list_of_mammals_in_tanzania"	"2022-03-12"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"birds_of_tanzania"	"39131abf-97ea-41f2-9649-2e2e9c1a5d50"	"CHECKLIST"	"true"	"0"	"0"	"47149b31-0645-43dd-b4db-bc652d9329c2"	"IPT_INSTALLATION"	"76905ca0-1e21-11de-9ca0-cd203b273f5d"	"TanBIF"	"Tanzania, United Republic of"	"Tanzania, United Republic of"	"2011-08-15"	"DWC_ARCHIVE"	"http://www.tanbif.or.tz/ipt/archive.do?r=birds_of_tanzania"	"2022-03-12"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
