"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?"	"orphaned?"	"numImages"	"online?"
"Scottish Beaver Trial observations, Knapdale, 2009-2014"	"11a24c97-653b-4e4c-a524-a4c06ffab25f"	"OCCURRENCE"	"true"	"3255"	"0"	"99552c70-f762-11e1-a439-00145eb45e9a"	"HTTP_INSTALLATION"	"6797f699-5d0d-4e81-b269-c709c0de63fd"	"Scottish Beavers"	"United Kingdom"	"United Kingdom of Great Britain and Northern Ireland"	"2017-11-15"	"DWC_ARCHIVE"	"https://registry.nbnatlas.org/archives/dr1553/dr1553.zip"	"2022-03-14"	"NOT_MODIFIED"	"FALSE"	"YES"	"0"	"FALSE"
"North Merseyside Local Species Data (DEFRA Grant 23169)"	"e351951e-32da-46d6-b61c-e9816d39e0d4"	"OCCURRENCE"	"true"	"43928"	"0"	"99552c70-f762-11e1-a439-00145eb45e9a"	"HTTP_INSTALLATION"	"1ed074ff-5644-461a-90db-5da4d7656f3f"	"Merseyside BioBank"	"United Kingdom"	"United Kingdom of Great Britain and Northern Ireland"	"2017-06-16"	"DWC_ARCHIVE"	"https://registry.nbnatlas.org/archives/dr1472/dr1472.zip"	"2022-03-14"	"NOT_MODIFIED"	"FALSE"	"YES"	"0"	"FALSE"
"2017 North Devon Area of Outstanding Natural Beauty (AONB) Combe Martin Devon Bioblitz"	"c01ddb0f-b7e4-4723-b630-7e0c2217230e"	"OCCURRENCE"	"true"	"243"	"0"	"99552c70-f762-11e1-a439-00145eb45e9a"	"HTTP_INSTALLATION"	"f6b48504-1651-4a49-a88d-c2bc6178694d"	"Marine Biological Association"	"United Kingdom"	"United Kingdom of Great Britain and Northern Ireland"	"2017-06-16"	"DWC_ARCHIVE"	"https://registry.nbnatlas.org/archives/dr1484/dr1484.zip"	"2022-03-14"	"NOT_MODIFIED"	"FALSE"	"YES"	"0"	"FALSE"
"Odonata records from Kent's County Dragonfly Recorders (1976-2005)"	"2b91dc29-e06a-4e2e-a85b-e7781b4f5d0d"	"OCCURRENCE"	"true"	"21242"	"0"	"99552c70-f762-11e1-a439-00145eb45e9a"	"HTTP_INSTALLATION"	"2f5fc870-9411-4925-9f72-0020ecc13cdb"	"Kent & Medway Biological Records Centre"	"United Kingdom"	"United Kingdom of Great Britain and Northern Ireland"	"2017-05-09"	"DWC_ARCHIVE"	"https://registry.nbnatlas.org/archives/dr1172/dr1172.zip"	"2022-03-14"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Environment Agency England and Wales (2012) Non-native Species records v1"	"b56e76a0-2adb-4168-8d46-156a4fe7f10e"	"OCCURRENCE"	"true"	"49339"	"0"	"99552c70-f762-11e1-a439-00145eb45e9a"	"HTTP_INSTALLATION"	"392ef839-10ae-4f22-a1ee-a45e535162b4"	"Environment Agency"	"United Kingdom"	"United Kingdom of Great Britain and Northern Ireland"	"2017-05-09"	"DWC_ARCHIVE"	"https://registry.nbnatlas.org/archives/dr832/dr832.zip"	"2022-03-14"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Chough sightings data, Northern Ireland, 2007-2010"	"b1eed6c5-304b-41d3-bdbf-fa4052eb341e"	"OCCURRENCE"	"true"	"228"	"0"	"99552c70-f762-11e1-a439-00145eb45e9a"	"HTTP_INSTALLATION"	"c71f0513-c95a-4e98-abad-0c222b87ec66"	"Royal Society for the Protection of Birds"	"United Kingdom"	"United Kingdom of Great Britain and Northern Ireland"	"2017-05-09"	"DWC_ARCHIVE"	"https://registry.nbnatlas.org/archives/dr1291/dr1291.zip"	"2022-03-14"	"NOT_MODIFIED"	"FALSE"	"YES"	"0"	"FALSE"
"RSPB Big Garden Birdwatch winter sightings in the UK in 2009"	"912ac7b3-f473-435b-97d1-20b6ed0a6208"	"OCCURRENCE"	"true"	"2126593"	"0"	"99552c70-f762-11e1-a439-00145eb45e9a"	"HTTP_INSTALLATION"	"c71f0513-c95a-4e98-abad-0c222b87ec66"	"Royal Society for the Protection of Birds"	"United Kingdom"	"United Kingdom of Great Britain and Northern Ireland"	"2017-05-09"	"DWC_ARCHIVE"	"https://registry.nbnatlas.org/archives/dr477/dr477.zip"	"2022-03-14"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Global compendium of Aedes aegypti occurrence"	"d4eb19bc-fdce-415f-9a61-49b036009840"	"OCCURRENCE"	"true"	"19929"	"0"	"645445d5-177a-475d-b2fe-69d3f6c89498"	"HTTP_INSTALLATION"	"92f51af1-e917-49bc-a8ed-014ed3a77bec"	"Institute of Biodiversity, Animal Health and Comparative Medicine, College of Medical, Veterinary and Life Sciences, University of Glasgow"	"United Kingdom"	"United Kingdom of Great Britain and Northern Ireland"	"2016-04-14"	"DWC_ARCHIVE"	"https://dl.dropboxusercontent.com/u/639486/Aedes_aegypti.zip"	"2022-03-16"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Global compendium of Aedes albopictus occurrence"	"33614778-513a-4ec0-814d-125021cca5fe"	"OCCURRENCE"	"true"	"22137"	"0"	"645445d5-177a-475d-b2fe-69d3f6c89498"	"HTTP_INSTALLATION"	"92f51af1-e917-49bc-a8ed-014ed3a77bec"	"Institute of Biodiversity, Animal Health and Comparative Medicine, College of Medical, Veterinary and Life Sciences, University of Glasgow"	"United Kingdom"	"United Kingdom of Great Britain and Northern Ireland"	"2016-04-13"	"DWC_ARCHIVE"	"https://dl.dropboxusercontent.com/u/639486/Aedes_albopictus.zip"	"2022-03-16"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Recovery of the medicinal leech Hirudo medicinalis in Scotland - Phase II"	"14c06f91-8937-472a-b59e-10cf7f8942d4"	"OCCURRENCE"	"true"	"352"	"0"	"99552c70-f762-11e1-a439-00145eb45e9a"	"HTTP_INSTALLATION"	"98ba8467-5081-4d15-b168-32d893e18b76"	"NatureScot"	"United Kingdom"	"United Kingdom of Great Britain and Northern Ireland"	"2012-09-01"	"DWC_ARCHIVE"	"https://registry.nbnatlas.org/archives/dr311/dr311.zip"	"2022-03-11"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"CATE Araceae"	"cb1a57be-c69c-4ebe-a41a-21dd723d7b48"	"CHECKLIST"	"true"	"0"	"8850"	"996e30f8-f762-11e1-a439-00145eb45e9a"	"HTTP_INSTALLATION"	"061b4f20-f241-11da-a328-b8a03c50a862"	"Royal Botanic Gardens, Kew"	"United Kingdom"	"United Kingdom of Great Britain and Northern Ireland"	"2011-02-04"	"DWC_ARCHIVE"	"http://araceae.e-monocot.org/dwca.zip"	"2022-03-12"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Floral Reflectance Database"	"9655f9f0-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"0"	"0"	"60179d6c-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3c552c40-1fda-11de-a7f3-b8a03c50a862"	"Queen Mary University of London"	"United Kingdom"	"United Kingdom of Great Britain and Northern Ireland"	"2009-04-21"	"DIGIR"	"http://saf1.web-stu.dcs.qmul.ac.uk/digir/www/DiGIR.php"	"2022-03-13"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
