"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?"	"orphaned?"	"numImages"	"online?"
"The Lepidopterists' Society Season Summary"	"2e6298fb-d9d7-4915-b69d-890b5aaf91df"	"OCCURRENCE"	"true"	"112538"	"0"	"2c733a9d-363d-4d66-9aef-3e0f7bc44bec"	"SYMBIOTA_INSTALLATION"	"4cd08c7c-fd56-48d0-ab05-aac38aa4457e"	"The Lepidopterists' Society Season Summary"	"United States"	"United States of America"	"2019-12-10"	"DWC_ARCHIVE"	"https://scan-bugs.org:443/portal/content/dwca/LEPSOC-LEPSOC_DwC-A.zip"	"2022-03-13"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Olga Lakela Herbarium, University of Minnesota Duluth"	"0df1ebee-0ce6-4fe1-9cd7-ee959670a880"	"OCCURRENCE"	"true"	"49302"	"0"	"998fa743-e3d2-41bd-8cd3-754e22581224"	"SYMBIOTA_INSTALLATION"	"927f1e70-cf74-11d8-bf68-b8a03c50a862"	"University of Minnesota Bell Museum"	"United States"	"United States of America"	"2019-06-17"	"DWC_ARCHIVE"	"https://bellatlas.umn.edu:443/content/dwca/UMD-OLO_DwC-A.zip"	"2022-03-13"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Spectacled bear database for Peru"	"375eb3fe-af43-4d37-815a-d8bd891e8ca5"	"OCCURRENCE"	"true"	"973"	"0"	"60085a92-6bba-4b2c-aa21-3e3b5d736da1"	"IPT_INSTALLATION"	"1e36575b-aaaf-4171-b226-846f766a516d"	"Department of Environmental Conservation, University of Massachusetts - Amherst"	"United States"	"United States of America"	"2018-11-02"	"DWC_ARCHIVE"	"http://128.119.112.22:8088/ipt/archive.do?r=spectacled_bear_peru_compilation"	"2022-03-14"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"USGS South Florida Fish and Invertebrate Assessment Network Braun Blanquet"	"8728ca0b-4943-4dd0-8161-b9d820f06221"	"OCCURRENCE"	"true"	"111209"	"0"	"a9c3f3b6-1f98-49c3-ba50-7e6aa1c9de59"	"IPT_INSTALLATION"	"c3ad790a-d426-4ac1-8e32-da61f81f0117"	"United States Geological Survey"	"United States"	"United States of America"	"2016-06-15"	"DWC_ARCHIVE"	"https://www1.usgs.gov/obis-usa/ipt/archive.do?r=usgs_southflorida_fian_braunblanquet"	"2022-03-15"	"NOT_MODIFIED"	"FALSE"	"YES"	"0"	"FALSE"
"Oregon State University Herpetological Collection"	"02242d2f-b43f-44d1-8e53-4c51af461f5b"	"OCCURRENCE"	"true"	"58475"	"0"	"656f171b-fe5f-4ac2-a395-7bf5a30ff672"	"IPT_INSTALLATION"	"ac5e8480-3714-11da-bc2e-b8a03c50a862"	"Oregon State University"	"United States"	"United States of America"	"2015-02-20"	"DWC_ARCHIVE"	"http://pontos.fwl.oregonstate.edu:8080/ipt/archive.do?r=oregonstate_herps"	"2022-03-11"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Taxonomy in Flux Checklist"	"d7435f14-dfc9-4aaa-bef3-5d1ed22d65bf"	"CHECKLIST"	"true"	"0"	"13218"	"995eed50-f762-11e1-a439-00145eb45e9a"	"HTTP_INSTALLATION"	"4c05ab8a-89b2-4b5f-9a90-14c0c2c7fd37"	"Florida International University"	"United States"	"United States of America"	"2013-08-07"	"DWC_ARCHIVE"	"https://dl.dropboxusercontent.com/u/457027/ipt-data/resources/tif/dwca.zip"	"2022-03-11"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Oregon State Ichthyology Collection"	"b8ed9b7c-5b73-4e6d-a6e1-b0911a09f947"	"OCCURRENCE"	"true"	"19425"	"0"	"656f171b-fe5f-4ac2-a395-7bf5a30ff672"	"IPT_INSTALLATION"	"ac5e8480-3714-11da-bc2e-b8a03c50a862"	"Oregon State University"	"United States"	"United States of America"	"2013-07-03"	"DWC_ARCHIVE"	"http://pontos.fwl.oregonstate.edu:8080/ipt/archive.do?r=oregonstate_fish"	"2022-03-11"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"3i - Deltocephalinae Database"	"039c8737-cad1-406b-aaf0-a390d018a95a"	"CHECKLIST"	"true"	"0"	"0"	"99541e5c-f762-11e1-a439-00145eb45e9a"	"HTTP_INSTALLATION"	"fd0038d0-3e7b-11d9-8439-b8a03c50a862"	"Illinois Natural History Survey"	"United States"	"United States of America"	"2012-01-26"	"DWC_ARCHIVE"	"http://ctap.inhs.uiuc.edu/dmitriev/Export/DwCArchive_Delt.zip"	"2022-03-11"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"3i - Cicadellinae Database"	"26bca1b5-3ef6-4e97-9672-0058c79185fb"	"CHECKLIST"	"true"	"0"	"0"	"99541e5c-f762-11e1-a439-00145eb45e9a"	"HTTP_INSTALLATION"	"fd0038d0-3e7b-11d9-8439-b8a03c50a862"	"Illinois Natural History Survey"	"United States"	"United States of America"	"2012-01-03"	"DWC_ARCHIVE"	"http://ctap.inhs.uiuc.edu/dmitriev/Export/DwCArchive_Cicadellinae.zip"	"2022-03-11"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Botanical Research Intitute of Texas"	"7e36d9b6-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"7323"	"0"	"5ffe5e10-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"c4cbb860-e9c7-11da-8113-b8a03c50a862"	"Botanical Research Institute of Texas"	"United States"	"United States of America"	"2011-04-07"	"DIGIR"	"http://digir.andesamazon.org/digir/DiGIR.php"	"2022-03-12"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"3i - Typhlocybinae Database"	"e402255a-aed1-4701-9b96-14368e1b5d6b"	"CHECKLIST"	"true"	"0"	"0"	"99541e5c-f762-11e1-a439-00145eb45e9a"	"HTTP_INSTALLATION"	"fd0038d0-3e7b-11d9-8439-b8a03c50a862"	"Illinois Natural History Survey"	"United States"	"United States of America"	"2011-03-07"	"DWC_ARCHIVE"	"http://ctap.inhs.uiuc.edu/dmitriev/DwCArchive.zip"	"2022-03-12"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
