"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?"	"orphaned?"	"numImages"	"online?"
"Littlewood Avifauna"	"7a8044b5-a33f-49f3-9a61-8a55f2777efc"	"OCCURRENCE"	"true"	"0"	"0"	"19893c10-381e-4534-9bb8-6c37d03ad29e"	"HTTP_INSTALLATION"	"3fe3f5ac-41ec-4306-b190-e887b4600757"	"Littlewood"	"Australia"	"Australia"	"2022-02-15"	"DWC_ARCHIVE"	"https://biocache.ala.org.au/archives/gbif/dr357/dr357.zip"	"2022-03-16"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Fish catch from 1996/97 Voyage 2 WASTE (WOCE Antarctic Southern Transect Expedition)"	"c9d82695-217a-4598-ab72-039349c2e502"	"OCCURRENCE"	"true"	"0"	"0"	"19893c10-381e-4534-9bb8-6c37d03ad29e"	"HTTP_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2022-02-15"	"DWC_ARCHIVE"	"https://biocache.ala.org.au/archives/gbif/dr479/dr479.zip"	"2022-03-16"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Preventing extinction for New England endemic plants"	"c1a25d63-312e-4114-b97c-5385d9ceb7c3"	"OCCURRENCE"	"true"	"0"	"0"	"19893c10-381e-4534-9bb8-6c37d03ad29e"	"HTTP_INSTALLATION"	"a1ce99fb-e1a5-4ca9-a3e6-cb512abd4bae"	"University of New England"	"Australia"	"Australia"	"2022-01-27"	"DWC_ARCHIVE"	"https://biocache.ala.org.au/archives/gbif/dr18292/dr18292.zip"	"2022-03-10"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Qweeds - Queensland"	"e3abd7a9-99ab-41e6-9511-73024d8c9a4e"	"OCCURRENCE"	"true"	"0"	"0"	"19893c10-381e-4534-9bb8-6c37d03ad29e"	"HTTP_INSTALLATION"	"18aad1e7-0738-439c-92be-44a3288eb7c3"	"Queensland Government - Department of Agriculture and Fisheries"	"Australia"	"Australia"	"2022-01-27"	"DWC_ARCHIVE"	"https://biocache.ala.org.au/archives/gbif/dr18218/dr18218.zip"	"2022-03-10"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"A new genus of Bambusicolaceae (Pleosporales) on Corylus avellana (Fagales) from Italy"	"ca49d2fd-1abf-4fc1-815e-f1b53cc8ea11"	"CHECKLIST"	"false"	"0"	"0"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2021-08-05"					"FALSE"	"YES"	"0"	"FALSE"
"A new genus of Bambusicolaceae (Pleosporales) on Corylus avellana (Fagales) from Italy"	"2e9743e0-2458-4116-848f-16cb330c9b98"	"CHECKLIST"	"false"	"0"	"0"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2021-08-05"					"FALSE"	"YES"	"0"	"FALSE"
"A new genus of Bambusicolaceae (Pleosporales) on Corylus avellana (Fagales) from Italy"	"c0f9c5e1-5dae-45a4-9871-e7523f4755b9"	"CHECKLIST"	"false"	"0"	"0"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2021-08-05"					"FALSE"	"YES"	"0"	"FALSE"
"A new genus of Bambusicolaceae (Pleosporales) on Corylus avellana (Fagales) from Italy"	"f22e621a-dd7f-4b12-ae4b-3acc07c00c48"	"CHECKLIST"	"false"	"0"	"0"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2021-08-05"					"FALSE"	"YES"	"0"	"FALSE"
"A new genus of Bambusicolaceae (Pleosporales) on Corylus avellana (Fagales) from Italy"	"adca64e3-e352-48b4-9105-689958956aa5"	"CHECKLIST"	"false"	"0"	"0"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2021-08-05"					"FALSE"	"YES"	"0"	"FALSE"
"A new genus of Bambusicolaceae (Pleosporales) on Corylus avellana (Fagales) from Italy"	"93da33bd-9b15-40ec-ac93-1814d5c6acc9"	"CHECKLIST"	"false"	"0"	"0"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2021-08-05"					"FALSE"	"YES"	"0"	"FALSE"
