"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?(YES/NO)"	"orphaned?(YES/NO)"
"Philippines Museum Collections"	"99fab784-1bd0-4e41-9039-a9f0f41b63f1"	"OCCURRENCE"	"true"	"0"	"0"	"286d31fd-2be5-4df7-be2d-20448e158c81"	"IPT_INSTALLATION"	"a30d7f59-d3d4-4e89-97dc-de9cf837f591"	"ASEAN Centre for Biodiversity (ACB)"	"ASEAN Centre for Biodiversity"	"Philippines"	"2016-07-18"	"DWC_ARCHIVE"	"http://bim-mirror.aseanbiodiversity.org:8080/ipt/archive.do?r=rgonzalez_museum"	"2017-06-07"	"ABORT"	"FALSE"	"YES"
"Tawi Tawi, Philippines Reef Fishes"	"7f30b6c4-bdd7-4dc0-b32e-699a8d96dc47"	"CHECKLIST"	"true"	"135"	"214"	"286d31fd-2be5-4df7-be2d-20448e158c81"	"IPT_INSTALLATION"	"a30d7f59-d3d4-4e89-97dc-de9cf837f591"	"ASEAN Centre for Biodiversity (ACB)"	"ASEAN Centre for Biodiversity"	"Philippines"	"2016-07-18"	"DWC_ARCHIVE"	"http://bim-mirror.aseanbiodiversity.org:8080/ipt/archive.do?r=tawitawi_reeffishes"	"2017-06-07"	"ABORT"	"FALSE"	"YES"
"Negros Cave Frog Observation"	"b09d988e-8a4f-4600-8f64-bff18fe3d957"	"OCCURRENCE"	"true"	"6"	"0"	"286d31fd-2be5-4df7-be2d-20448e158c81"	"IPT_INSTALLATION"	"a30d7f59-d3d4-4e89-97dc-de9cf837f591"	"ASEAN Centre for Biodiversity (ACB)"	"ASEAN Centre for Biodiversity"	"Philippines"	"2016-07-18"	"DWC_ARCHIVE"	"http://bim-mirror.aseanbiodiversity.org:8080/ipt/archive.do?r=occurfrogs"	"2017-06-07"	"ABORT"	"FALSE"	"YES"
"ICCEM CLSU-RSA Pantabangan Fauna"	"0ed9457a-a076-46db-943b-ec0031f13628"	"CHECKLIST"	"true"	"0"	"0"	"286d31fd-2be5-4df7-be2d-20448e158c81"	"IPT_INSTALLATION"	"a30d7f59-d3d4-4e89-97dc-de9cf837f591"	"ASEAN Centre for Biodiversity (ACB)"	"ASEAN Centre for Biodiversity"	"Philippines"	"2016-07-18"	"DWC_ARCHIVE"	"http://bim-mirror.aseanbiodiversity.org:8080/ipt/archive.do?r=iccemclsu-rsa_pantabangan_fauna"	"2017-06-07"	"ABORT"	"FALSE"	"YES"
"Flora of Agusan Marsh"	"85db3c29-4e6a-4bc9-928e-65df166d6df3"	"CHECKLIST"	"true"	"0"	"0"	"286d31fd-2be5-4df7-be2d-20448e158c81"	"IPT_INSTALLATION"	"a30d7f59-d3d4-4e89-97dc-de9cf837f591"	"ASEAN Centre for Biodiversity (ACB)"	"ASEAN Centre for Biodiversity"	"Philippines"	"2016-07-18"	"DWC_ARCHIVE"	"http://bim-mirror.aseanbiodiversity.org:8080/ipt/archive.do?r=flora_of_agusanmarsh"	"2017-06-07"	"ABORT"	"FALSE"	"YES"
"Fauna for Borneo"	"d5c4dd1a-060f-4f58-8acc-e1bb6bfb74e7"	"CHECKLIST"	"true"	"0"	"117"	"286d31fd-2be5-4df7-be2d-20448e158c81"	"IPT_INSTALLATION"	"a30d7f59-d3d4-4e89-97dc-de9cf837f591"	"ASEAN Centre for Biodiversity (ACB)"	"ASEAN Centre for Biodiversity"	"Philippines"	"2016-07-13"	"DWC_ARCHIVE"	"http://bim-mirror.aseanbiodiversity.org:8080/ipt/archive.do?r=fauna_for_borneo"	"2017-06-07"	"ABORT"	"FALSE"	"YES"
"Camiguin, Philippines Fauna"	"608c444e-d7c1-4107-93b5-ceaf2303b53e"	"OCCURRENCE"	"true"	"18"	"0"	"286d31fd-2be5-4df7-be2d-20448e158c81"	"IPT_INSTALLATION"	"a30d7f59-d3d4-4e89-97dc-de9cf837f591"	"ASEAN Centre for Biodiversity (ACB)"	"ASEAN Centre for Biodiversity"	"Philippines"	"2016-07-13"	"DWC_ARCHIVE"	"http://bim-mirror.aseanbiodiversity.org:8080/ipt/archive.do?r=camiguin_fauna"	"2017-06-07"	"ABORT"	"FALSE"	"YES"
"MMFR Zingiberaceae Botanical"	"af32ab2e-7be6-42ca-a570-ad79fe0e32bb"	"OCCURRENCE"	"true"	"109"	"0"	"286d31fd-2be5-4df7-be2d-20448e158c81"	"IPT_INSTALLATION"	"a30d7f59-d3d4-4e89-97dc-de9cf837f591"	"ASEAN Centre for Biodiversity (ACB)"	"ASEAN Centre for Biodiversity"	"Philippines"	"2016-07-13"	"DWC_ARCHIVE"	"http://bim-mirror.aseanbiodiversity.org:8080/ipt/archive.do?r=mmfrph_zingi"	"2017-06-07"	"ABORT"	"FALSE"	"YES"
"IPAS Kitanglad"	"9e853a94-bf3f-4e68-8bcf-0772312089e9"	"OCCURRENCE"	"true"	"186"	"0"	"286d31fd-2be5-4df7-be2d-20448e158c81"	"IPT_INSTALLATION"	"a30d7f59-d3d4-4e89-97dc-de9cf837f591"	"ASEAN Centre for Biodiversity (ACB)"	"ASEAN Centre for Biodiversity"	"Philippines"	"2016-07-13"	"DWC_ARCHIVE"	"http://bim-mirror.aseanbiodiversity.org:8080/ipt/archive.do?r=ipaskitanglad"	"2017-06-07"	"ABORT"	"FALSE"	"YES"
"Mt. Hamiguitan RWS Avifauna"	"e56afa60-ad5c-47a2-bb91-e0e83c45d60b"	"CHECKLIST"	"true"	"0"	"231"	"286d31fd-2be5-4df7-be2d-20448e158c81"	"IPT_INSTALLATION"	"a30d7f59-d3d4-4e89-97dc-de9cf837f591"	"ASEAN Centre for Biodiversity (ACB)"	"ASEAN Centre for Biodiversity"	"Philippines"	"2016-07-13"	"DWC_ARCHIVE"	"http://bim-mirror.aseanbiodiversity.org:8080/ipt/archive.do?r=mt_hamiguitan_rws_avifauna"	"2017-06-07"	"ABORT"	"FALSE"	"YES"
