"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?(YES/NO)"	"orphaned?(YES/NO)"
"Eremaea"	"b05a19cf-dcf2-4ef9-bbbb-ad0ecbd2917c"	"OCCURRENCE"	"true"	"0"	"0"	"19893c10-381e-4534-9bb8-6c37d03ad29e"	"HTTP_INSTALLATION"	"633f217c-c007-48dc-86ed-f8fdae6fd0d8"	"Eremaea"	"Australia"	"Australia"	"2017-06-14"	"DWC_ARCHIVE"	"http://ala-starr.it.csiro.au/archives/dr350/dr350_ror_dwca.zip"	"2017-06-14"	"ABORT"	"FALSE"	"YES"
"Individual Sightings"	"84a649ce-ff81-420d-9c41-aa1de59e3766"	"OCCURRENCE"	"true"	"8684"	"0"	"19893c10-381e-4534-9bb8-6c37d03ad29e"	"HTTP_INSTALLATION"	"adc174cd-c752-4eee-9630-7c1209eb1c4a"	"Citizen Science - ALA Website"	"Australia"	"Australia"	"2012-03-26"	"DWC_ARCHIVE"	"http://biocache.ala.org.au/archives/dr364/dr364_ror_dwca.zip"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Phytoplankton samples - 2005/06 V3 BROKE-West"	"7f5da78e-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"708"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2011-07-08"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Phytoplankton samples - 2006/07 V3 SAZ-Sense"	"7f5c7c38-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"234"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2011-07-08"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Phytoplankton samples - 2001/02 V7 LOSS"	"7f5b699c-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"195"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2011-07-08"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Phytoplankton samples - 2001/02 V3 CLIVAR"	"7f5a4c74-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"337"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2011-07-08"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Cetacean Sightings Survey and Southern Ocean Cetacean Program - BROKE-West"	"7f56df30-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"228"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2011-06-22"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Squid collection from 1995/96 V4 BROKE"	"7d805628-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"53"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2011-01-03"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Annotated Atlas of the Vascular Flora of Macquarie Island - 1979"	"7d36731e-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"3005"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2010-12-15"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Biology and population studies of two endemic orchid species on sub-Antarctic Macquarie Island"	"7d2d674c-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"20"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2010-12-15"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Survey of benthic and other marine invertebrates of Prydz Bay, 1990/91 Voyage 6"	"7d08feb6-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"113"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2010-12-15"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"RMT Trawl catch from the 1990/91 V6 AAMBER2 voyage"	"7b7393c2-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"1212"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2010-08-10"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
