"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"orphaned?(YES/NO)"
"InboVeg - NICHE-Vlaanderen groundwater related vegetation relevés for Flanders, Belgium"	"3d1231e8-2554-45e6-b354-e590c56ce9a8"	"SAMPLING_EVENT"	"true"	"8611"	"0"	"9f25fd85-85dc-4dcd-a1b4-b31165442e2b"	"IPT_INSTALLATION"	"1cd669d0-80ea-11de-a9d0-f1765f95f18b"	"Research Institute for Nature and Forest (INBO)"	"Belgium"	"Belgium"	"2016-06-22"	"DWC_ARCHIVE"	"http://data.inbo.be/ipt/archive.do?r=inboveg-niche-vlaanderen-events"	"2016-10-04"	"NORMAL"	"YES"
"Zomerganzen - Summering geese management and population counts in Flanders, Belgium"	"2b2bf993-fc91-4d29-ae0b-9940b97e3232"	"SAMPLING_EVENT"	"true"	"20416"	"0"	"9f25fd85-85dc-4dcd-a1b4-b31165442e2b"	"IPT_INSTALLATION"	"1cd669d0-80ea-11de-a9d0-f1765f95f18b"	"Research Institute for Nature and Forest (INBO)"	"Belgium"	"Belgium"	"2016-01-22"	"DWC_ARCHIVE"	"http://data.inbo.be/ipt/archive.do?r=zomerganzen-events"	"2016-10-04"	"NORMAL"	"YES"
"Waterbirds of the Botanic Garden Meise"	"c0cc29de-f49f-4b66-b4ec-c83afbb7101d"	"OCCURRENCE"	"true"	"5666"	"0"	"4c5fccfd-c052-42ec-97ab-a4657ec27751"	"IPT_INSTALLATION"	"a344ee9f-f1b7-4761-be2c-58ee6d741395"	"Botanical Garden Meise"	"Belgium"	"Belgium"	"2015-04-20"	"DWC_ARCHIVE"	"http://apm-ipt.br.fgov.be:8080/ipt-2.3.2/archive.do?r=geese"	"2017-05-29"	"ABORT"	"YES"
"Saltabel - Orthoptera in Belgium"	"76cc7230-76b6-4763-9caf-22626b29c0a6"	"OCCURRENCE"	"true"	"46834"	"0"	"9f25fd85-85dc-4dcd-a1b4-b31165442e2b"	"IPT_INSTALLATION"	"1cd669d0-80ea-11de-a9d0-f1765f95f18b"	"Research Institute for Nature and Forest (INBO)"	"Belgium"	"Belgium"	"2013-09-12"	"DWC_ARCHIVE"	"http://data.inbo.be/ipt/archive.do?r=saltabel-occurrences"	"2017-05-29"	"ABORT"	"YES"
"orstom2_philippines"	"99f7df58-b668-4c3a-a7ef-dd30b698084c"	"OCCURRENCE"	"true"	"0"	"0"	"c2f1d0d3-c5dc-4995-835d-d04e4ec46d6e"	"IPT_INSTALLATION"	"37e82b90-1e21-11de-ab90-f72009d2669b"	"Belgium Biodiversity Platform"	"Belgium"	"Belgium"	"2013-08-13"	"DWC_ARCHIVE"	"http://ipt.biodiversity.be/archive.do?r=orstom2_philippines"	"2017-05-29"	"ABORT"	"YES"
"Royal Museum of Central Africa - Albertian Rift Birds (ENBI wp13)"	"f58465c4-27ff-11e2-85e3-00145eb45e9a"	"OCCURRENCE"	"true"	"43443"	"0"	"5fff1c6a-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"37e82b90-1e21-11de-ab90-f72009d2669b"	"Belgium Biodiversity Platform"	"Belgium"	"Belgium"	"2012-11-06"	"DIGIR"	"http://digir.bebif.be/main/DiGIR.php"	"2016-01-19"	"NORMAL"	"YES"
"Royal Museum of Central Africa - Albertian Rift Butterflies (ENBI wp13)"	"f5499142-27ff-11e2-85e3-00145eb45e9a"	"OCCURRENCE"	"true"	"25128"	"0"	"5fff1c6a-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"37e82b90-1e21-11de-ab90-f72009d2669b"	"Belgium Biodiversity Platform"	"Belgium"	"Belgium"	"2012-11-06"	"DIGIR"	"http://digir.bebif.be/main/DiGIR.php"	"2016-01-19"	"NORMAL"	"YES"
"Generic Taxonomic Database System on Mysida and Nematoda"	"860fc602-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"0"	"0"	"600d9538-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"05c249d0-dfa0-11d8-b22e-b8a03c50a862"	"Ghent University"	"Belgium"	"Belgium"	"2007-07-09"	"DIGIR"	"http://intramar.ugent.be/digir/DiGIR.php"	"2017-05-30"	"ABORT"	"YES"
"RMCA-HERP"	"85e8c69c-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"14285"	"0"	"6031eaf0-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"575c52b0-a742-11db-a6ff-b8a03c50a862"	"Royal Museum for Central Africa, Belgium"	"Belgium"	"Belgium"	"2007-05-31"					"YES"
"Royal Museum of Central Africa - Metafro-Infosys - Prelude"	"82f258ae-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"1510"	"0"	"5fff1c6a-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"37e82b90-1e21-11de-ab90-f72009d2669b"	"Belgium Biodiversity Platform"	"Belgium"	"Belgium"	"2007-04-03"	"DIGIR"	"http://digir.bebif.be/main/DiGIR.php"	"2016-01-19"	"NORMAL"	"YES"
"BCCM/IHEM - Biomedical Fungi and Yeasts Collection"	"82f603dc-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"4580"	"0"	"5fff1c6a-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"37e82b90-1e21-11de-ab90-f72009d2669b"	"Belgium Biodiversity Platform"	"Belgium"	"Belgium"	"2007-04-03"	"DIGIR"	"http://digir.bebif.be/main/DiGIR.php"	"2016-01-19"	"NORMAL"	"YES"
"BCCM/MUCL - (Agro)Industrial Fungi and Yeasts Collection"	"82f73af4-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"11781"	"0"	"5fff1c6a-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"37e82b90-1e21-11de-ab90-f72009d2669b"	"Belgium Biodiversity Platform"	"Belgium"	"Belgium"	"2007-04-03"	"DIGIR"	"http://digir.bebif.be/main/DiGIR.php"	"2016-01-19"	"NORMAL"	"YES"
