"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"orphaned?(YES/NO)"
"Some Plant Specimens from KUN, IBSC, NAS  Herbarium in China from 1900 to 1950"	"246ad1f8-e75c-419d-b97e-16dde697ae30"	"OCCURRENCE"	"true"	"346643"	"0"	"26706e39-4208-42b6-9d12-2b60b0acf1a3"	"IPT_INSTALLATION"	"a2fa5b68-3ebf-4845-abc5-f456d251386f"	"Chinese Academy of Sciences (CAS)"	"Chinese Academy of Sciences"	"China"	"2016-09-05"	"DWC_ARCHIVE"	"http://www.gbifchina.org:8080/gbifcas/archive.do?r=some_from_kun_ibsc_nas"	"2017-05-28"	"ABORT"	"YES"
"Some Plant Specimens from PE Herbarium in China from 1900 to 1950"	"f9336171-e9a9-4147-b9f6-2d6c133afffd"	"OCCURRENCE"	"true"	"224432"	"0"	"26706e39-4208-42b6-9d12-2b60b0acf1a3"	"IPT_INSTALLATION"	"a2fa5b68-3ebf-4845-abc5-f456d251386f"	"Chinese Academy of Sciences (CAS)"	"Chinese Academy of Sciences"	"China"	"2016-09-05"	"DWC_ARCHIVE"	"http://www.gbifchina.org:8080/gbifcas/archive.do?r=leftcvh1900-1950"	"2017-05-28"	"ABORT"	"YES"
"Plant Specimen from Herbarium (IBK) in China, Guangxi Institute of Botany, Chinese Academy of Sciences"	"b54a3b16-b648-41ab-bd6f-d3881895daac"	"OCCURRENCE"	"true"	"116772"	"0"	"26706e39-4208-42b6-9d12-2b60b0acf1a3"	"IPT_INSTALLATION"	"a2fa5b68-3ebf-4845-abc5-f456d251386f"	"Chinese Academy of Sciences (CAS)"	"Chinese Academy of Sciences"	"China"	"2014-10-22"	"DWC_ARCHIVE"	"http://www.gbifchina.org:8080/gbifcas/archive.do?r=ibk_data"	"2017-05-29"	"ABORT"	"YES"
"Plant Specimen from Herbarium (CDBI) in China, Chengdu Institute of Botany, Chinese Academy of Sciences"	"249ec6d9-ce13-4096-baf5-42130fc3d0b1"	"OCCURRENCE"	"true"	"103310"	"0"	"26706e39-4208-42b6-9d12-2b60b0acf1a3"	"IPT_INSTALLATION"	"a2fa5b68-3ebf-4845-abc5-f456d251386f"	"Chinese Academy of Sciences (CAS)"	"Chinese Academy of Sciences"	"China"	"2014-10-22"	"DWC_ARCHIVE"	"http://www.gbifchina.org:8080/gbifcas/archive.do?r=cdbi_data"	"2017-05-29"	"ABORT"	"YES"
"Plant Specimen from Herbarium (HIB) in China, Wuhan Botanical Garden, Chinese Academy of Sciences"	"196ac794-b2c2-40d4-8e6a-649d0abc324d"	"OCCURRENCE"	"true"	"59799"	"0"	"26706e39-4208-42b6-9d12-2b60b0acf1a3"	"IPT_INSTALLATION"	"a2fa5b68-3ebf-4845-abc5-f456d251386f"	"Chinese Academy of Sciences (CAS)"	"Chinese Academy of Sciences"	"China"	"2014-10-22"	"DWC_ARCHIVE"	"http://www.gbifchina.org:8080/gbifcas/archive.do?r=hib_data"	"2017-05-29"	"ABORT"	"YES"
"Plant Specimen from Herbarium (LBG) in China, Lushan Botanical Garden, Jiangxi and Chinese Academy of Sciences"	"af7d2594-6d4e-47e9-9f30-b7ebb3110f7b"	"OCCURRENCE"	"true"	"36657"	"0"	"26706e39-4208-42b6-9d12-2b60b0acf1a3"	"IPT_INSTALLATION"	"a2fa5b68-3ebf-4845-abc5-f456d251386f"	"Chinese Academy of Sciences (CAS)"	"Chinese Academy of Sciences"	"China"	"2014-10-22"	"DWC_ARCHIVE"	"http://www.gbifchina.org:8080/gbifcas/archive.do?r=lbg_data"	"2017-05-29"	"ABORT"	"YES"
"Plant Specimen from Herbarium (NAS) in China, Institute of Botany, Jiangsu Province and Chinese Academy of Sciences"	"614d7304-af7c-4613-81d8-488e81e28229"	"OCCURRENCE"	"true"	"50805"	"0"	"26706e39-4208-42b6-9d12-2b60b0acf1a3"	"IPT_INSTALLATION"	"a2fa5b68-3ebf-4845-abc5-f456d251386f"	"Chinese Academy of Sciences (CAS)"	"Chinese Academy of Sciences"	"China"	"2014-10-22"	"DWC_ARCHIVE"	"http://www.gbifchina.org:8080/gbifcas/archive.do?r=nas_data"	"2017-05-29"	"ABORT"	"YES"
"Plant Specimen in Yunnan, China from Herbarium (PE),Institute of Botany, Chinese Academy of Sciences"	"1b412457-43cf-4a6f-b5c2-7acf01be5977"	"OCCURRENCE"	"true"	"163199"	"0"	"26706e39-4208-42b6-9d12-2b60b0acf1a3"	"IPT_INSTALLATION"	"a2fa5b68-3ebf-4845-abc5-f456d251386f"	"Chinese Academy of Sciences (CAS)"	"Chinese Academy of Sciences"	"China"	"2014-06-15"	"DWC_ARCHIVE"	"http://www.gbifchina.org:8080/gbifcas/archive.do?r=pefirstdata"	"2017-05-29"	"ABORT"	"YES"
"NSII (China National Specimen Information Infrastructure,国家标本资源共享平台)"	"e70547f5-3192-401b-b216-33d6417295ec"	"METADATA"	"true"	"0"	"0"	"26706e39-4208-42b6-9d12-2b60b0acf1a3"	"IPT_INSTALLATION"	"a2fa5b68-3ebf-4845-abc5-f456d251386f"	"Chinese Academy of Sciences (CAS)"	"Chinese Academy of Sciences"	"China"	"2014-06-15"					"YES"
"Catalogue of Life China, 2013 Annual Checklist(Biodiversity Committee, Chinese Academy of Sciences)"	"3772da2f-daa1-4f07-a438-15a881a2142c"	"CHECKLIST"	"true"	"0"	"185376"	"26706e39-4208-42b6-9d12-2b60b0acf1a3"	"IPT_INSTALLATION"	"a2fa5b68-3ebf-4845-abc5-f456d251386f"	"Chinese Academy of Sciences (CAS)"	"Chinese Academy of Sciences"	"China"	"2014-06-15"	"DWC_ARCHIVE"	"http://www.gbifchina.org:8080/gbifcas/archive.do?r=species_2000_china_2013"	"2017-05-29"	"ABORT"	"YES"
"Diversity of invasive species in Shanghai(by Qingrou Zhang,Shang Jiang,Ruiting Ju, Xiaoyun Pan)"	"ba6574cf-5c47-4b62-bd26-e2d34f6034bb"	"CHECKLIST"	"true"	"0"	"303"	"26706e39-4208-42b6-9d12-2b60b0acf1a3"	"IPT_INSTALLATION"	"a2fa5b68-3ebf-4845-abc5-f456d251386f"	"Chinese Academy of Sciences (CAS)"	"Chinese Academy of Sciences"	"China"	"2014-04-16"	"DWC_ARCHIVE"	"http://www.gbifchina.org:8080/gbifcas/archive.do?r=shanghai_invasive"	"2017-05-29"	"ABORT"	"YES"
