"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"orphaned?(YES/NO)"
"Alien plant presence dataset from the point-radius plot surveys in 2010-2015 in Taiwan"	"e1f3be55-9f45-474c-8374-502b236e0ad0"	"SAMPLING_EVENT"	"true"	"63085"	"0"	"08eefeeb-e20f-4482-8e0f-f218547e2f50"	"IPT_INSTALLATION"	"898ba450-1627-11df-bd84-b8a03c50a862"	"Taiwan Forestry Research Institute"	"Chinese Taipei"	"Chinese Taipei"	"2016-09-06"	"DWC_ARCHIVE"	"http://ipt.taibif.tw/archive.do?r=tw_tfri_alien_plant_survey"	"2016-09-23"	"NOT_MODIFIED"	"YES"
"COA Wildlife Conservation List"	"86e2cb47-46df-4e40-ad76-cdc65a663bcf"	"CHECKLIST"	"true"	"0"	"530"	"08eefeeb-e20f-4482-8e0f-f218547e2f50"	"IPT_INSTALLATION"	"12b1df00-3f75-11d8-aa2d-b8a03c50a862"	"Taiwan Biodiversity Information Facility (TaiBIF)"	"Chinese Taipei"	"Chinese Taipei"	"2012-11-05"	"DWC_ARCHIVE"	"http://taibif.tw/ipt/archive.do?r=taibnet_coa_wildlife_consev"	"2017-05-29"	"ABORT"	"YES"
"The National Checklist of Taiwan"	"1ec61203-14fa-4fbd-8ee5-a4a80257b45a"	"CHECKLIST"	"true"	"0"	"0"	"08eefeeb-e20f-4482-8e0f-f218547e2f50"	"IPT_INSTALLATION"	"12b1df00-3f75-11d8-aa2d-b8a03c50a862"	"Taiwan Biodiversity Information Facility (TaiBIF)"	"Chinese Taipei"	"Chinese Taipei"	"2011-09-13"	"DWC_ARCHIVE"	"http://taibif.org.tw/ipt/archive.do?r=taibnet_com_all"	"2017-05-29"	"ABORT"	"YES"
"Taiwanese IUCN species list"	"99aaf1d4-6099-45a7-975e-324adc74036f"	"CHECKLIST"	"true"	"0"	"1215"	"08eefeeb-e20f-4482-8e0f-f218547e2f50"	"IPT_INSTALLATION"	"12b1df00-3f75-11d8-aa2d-b8a03c50a862"	"Taiwan Biodiversity Information Facility (TaiBIF)"	"Chinese Taipei"	"Chinese Taipei"	"2011-09-13"	"DWC_ARCHIVE"	"http://taibif.tw/ipt/archive.do?r=taibnet_iucn"	"2017-05-29"	"ABORT"	"YES"
"National Taiwan University"	"51947020-98a2-11de-b4da-b8a03c50a862"	"OCCURRENCE"	"true"	"8629"	"0"	"6054b3aa-f762-11e1-a439-00145eb45e9a"	"TAPIR_INSTALLATION"	"7050ce20-c75e-11dd-87ef-b8a03c50a862"	"TELDAP"	"Chinese Taipei"	"Chinese Taipei"	"2010-05-04"	"TAPIR"	"http://140.109.29.92/tapirlink/www/tapir.php/NTU"	"2017-05-29"	"ABORT"	"YES"
"National Museum Of Marine Science & Technology"	"5767f180-98a1-11de-b4da-b8a03c50a862"	"OCCURRENCE"	"true"	"1035"	"0"	"6054b3aa-f762-11e1-a439-00145eb45e9a"	"TAPIR_INSTALLATION"	"7050ce20-c75e-11dd-87ef-b8a03c50a862"	"TELDAP"	"Chinese Taipei"	"Chinese Taipei"	"2010-05-04"	"TAPIR"	"http://140.109.29.92/tapirlink/www/tapir.php/NMMST"	"2017-05-29"	"ABORT"	"YES"
"Actinomycetes Collection in BCRC"	"5d2edbd0-6091-11de-a447-b8a03c50a862"	"OCCURRENCE"	"true"	"1266"	"0"	"605c7680-f762-11e1-a439-00145eb45e9a"	"TAPIR_INSTALLATION"	"6b4fc310-4452-11de-87a1-b8a03c50a862"	"Bioresource Collection and Research Center (BCRC)"	"Chinese Taipei"	"Chinese Taipei"	"2010-05-04"	"TAPIR"	"http://gbif.bcrc.firdi.org.tw/tapir.php/ACTINOMYCETES"	"2015-06-16"	"ABORT"	"YES"
"Taiwan Forestry Research Institute"	"79ae93e0-a2b8-11de-9f79-b8a03c50a862"	"OCCURRENCE"	"true"	"26559"	"0"	"6054b3aa-f762-11e1-a439-00145eb45e9a"	"TAPIR_INSTALLATION"	"7050ce20-c75e-11dd-87ef-b8a03c50a862"	"TELDAP"	"Chinese Taipei"	"Chinese Taipei"	"2010-05-04"	"TAPIR"	"http://140.109.29.92/tapirlink/www/tapir.php/TFRI"	"2017-05-29"	"ABORT"	"YES"
"Plantae, TAIF (Taiwan e-Learning and Digital Archives Program, TELDAP)"	"8d7c4dd0-c75e-11dd-87ef-b8a03c50a862"	"OCCURRENCE"	"true"	"268160"	"0"	"6054b3aa-f762-11e1-a439-00145eb45e9a"	"TAPIR_INSTALLATION"	"7050ce20-c75e-11dd-87ef-b8a03c50a862"	"TELDAP"	"Chinese Taipei"	"Chinese Taipei"	"2010-05-04"	"TAPIR"	"http://140.109.29.92/tapirlink/www/tapir.php/TAIF"	"2017-05-29"	"ABORT"	"YES"
"Herbarium of Taiwan Forestry Research Institute"	"98b2bb30-1627-11df-bd84-b8a03c50a862"	"OCCURRENCE"	"true"	"161898"	"0"	"605c0510-f762-11e1-a439-00145eb45e9a"	"TAPIR_INSTALLATION"	"898ba450-1627-11df-bd84-b8a03c50a862"	"Taiwan Forestry Research Institute"	"Chinese Taipei"	"Chinese Taipei"	"2010-05-04"	"TAPIR"	"http://digir.tfri.gov.tw:81/tapirlink/tapir.php/taif"	"2016-01-19"	"NORMAL"	"YES"
