"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?(YES/NO)"	"orphaned?(YES/NO)"
"Hormigas de la transición matriz - borde - interior de bosque de Fragmentos de Bosque Seco Tropical del Valle del Cauca"	"78daa98f-8351-48ba-b9ae-8ffa0a8d9560"	"OCCURRENCE"	"true"	"2085"	"0"	"e3b3b47d-94d5-4f70-a1aa-c03de37b0c5f"	"IPT_INSTALLATION"	"85be57ed-f187-49c9-b7ff-eaa622e06217"	"Universidad del Valle"	"Colombia"	"Colombia"	"2015-11-24"	"DWC_ARCHIVE"	"http://data.biodiversidad.co/valle/archive.do?r=hormigasbordebosqueseco"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Herbario virtual bosques secos de Colombia - Sección herbario TULV (INCIVA)"	"e7753fee-b13d-4e6d-85c7-d85ddeeefef6"	"OCCURRENCE"	"true"	"2020"	"0"	"e3b3b47d-94d5-4f70-a1aa-c03de37b0c5f"	"IPT_INSTALLATION"	"a7e6d0ba-9e3d-4be2-b3ac-2c5e812e0a31"	"Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca - INCIVA"	"Colombia"	"Colombia"	"2015-03-04"	"DWC_ARCHIVE"	"http://data.biodiversidad.co/valle/archive.do?r=herbario-bs-tulv"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Composición florística y estructura de una parcela permanente en bosques secos tropicales del municipio de Tuluá, Valle del Cauca"	"f17944d0-0ea4-4106-aee7-d9860892e3a2"	"OCCURRENCE"	"true"	"1076"	"0"	"e3b3b47d-94d5-4f70-a1aa-c03de37b0c5f"	"IPT_INSTALLATION"	"a7e6d0ba-9e3d-4be2-b3ac-2c5e812e0a31"	"Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca - INCIVA"	"Colombia"	"Colombia"	"2014-11-14"	"DWC_ARCHIVE"	"http://data.biodiversidad.co/valle/archive.do?r=inciva-001"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Colección de mariposas del Museo de Entomología de la Universidad del Valle"	"4289b9cf-37e2-4cba-b00e-c0d3d94ad749"	"OCCURRENCE"	"true"	"15046"	"0"	"e3b3b47d-94d5-4f70-a1aa-c03de37b0c5f"	"IPT_INSTALLATION"	"85be57ed-f187-49c9-b7ff-eaa622e06217"	"Universidad del Valle"	"Colombia"	"Colombia"	"2014-08-22"	"DWC_ARCHIVE"	"http://data.biodiversidad.co/valle/archive.do?r=coleccion-mariposas-univalle"	"2015-12-09"	"NOT_MODIFIED"	"TRUE"	"YES"
"Moluscos de la Colección de Referencia de Biología Marina de la Universidad del Valle (CRM-UV)"	"f8f6714c-e846-4ce8-819e-7d39839c2bf7"	"OCCURRENCE"	"true"	"5046"	"0"	"e3b3b47d-94d5-4f70-a1aa-c03de37b0c5f"	"IPT_INSTALLATION"	"85be57ed-f187-49c9-b7ff-eaa622e06217"	"Universidad del Valle"	"Colombia"	"Colombia"	"2014-08-13"	"DWC_ARCHIVE"	"http://data.biodiversidad.co/valle/archive.do?r=mollusca_univalle"	"2015-12-09"	"NORMAL"	"TRUE"	"YES"
"Hormigas del Museo de Entomología de la Universidad del Valle"	"e2ef0827-8780-4bf2-b234-15911aebc641"	"OCCURRENCE"	"true"	"6862"	"0"	"e3b3b47d-94d5-4f70-a1aa-c03de37b0c5f"	"IPT_INSTALLATION"	"85be57ed-f187-49c9-b7ff-eaa622e06217"	"Universidad del Valle"	"Colombia"	"Colombia"	"2014-07-08"	"DWC_ARCHIVE"	"http://data.biodiversidad.co/valle/archive.do?r=formicidae_musenuv"	"2015-12-09"	"NORMAL"	"TRUE"	"YES"
"Monitoreo y morfometría de la avifauna de la Universidad del Valle 2011-2012"	"dcfda747-f43d-430c-aa48-94bf6fa32095"	"OCCURRENCE"	"true"	"1995"	"0"	"e3b3b47d-94d5-4f70-a1aa-c03de37b0c5f"	"IPT_INSTALLATION"	"85be57ed-f187-49c9-b7ff-eaa622e06217"	"Universidad del Valle"	"Colombia"	"Colombia"	"2014-04-01"					"TRUE"	"YES"
"A geographic distribution database of Mononychellus mites (Acari: Tetranychidae) on cassava (Manihot esculenta)"	"785cf038-7b79-4c2f-9e9e-eb940fcd4c0c"	"OCCURRENCE"	"true"	"1513"	"0"	"e3b3b47d-94d5-4f70-a1aa-c03de37b0c5f"	"IPT_INSTALLATION"	"fee3882f-5360-4f01-a1ca-767c48fa629c"	"Centro Internacional de Agricultura Tropical (CIAT)"	"Colombia"	"Colombia"	"2014-03-14"	"DWC_ARCHIVE"	"http://data.biodiversidad.co/valle/archive.do?r=ciat_001"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Inventarios de Fauna y Flora en Relictos de Bosque en el Enclave Seco del Río Amaime, Valle del Cauca"	"fdbbb939-ee0b-4c6e-8eb3-15ed92177306"	"OCCURRENCE"	"true"	"1186"	"0"	"e3b3b47d-94d5-4f70-a1aa-c03de37b0c5f"	"IPT_INSTALLATION"	"0c23482f-89f3-4efa-b6ed-7b25dadde4fc"	"WCS Colombia"	"Colombia"	"Colombia"	"2013-11-18"	"DWC_ARCHIVE"	"http://data.biodiversidad.co/valle/archive.do?r=fauna_flora_amaime"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"El Censo Neotropical de Aves Acuáticas en Colombia (CNAA): 2002 - 2011"	"6d5fced1-6e85-4d9e-88f4-e1459772d2fd"	"OCCURRENCE"	"true"	"11250"	"0"	"e9c9d2c1-0ae7-48c1-8cc2-b5a2c35f609a"	"IPT_INSTALLATION"	"dc282b9d-8f3b-4197-b174-ba5272721a6f"	"Red Nacional de Observadores de Aves (RNOA)"	"Colombia"	"Colombia"	"2013-11-05"	"DWC_ARCHIVE"	"http://data.biodiversidad.co/rnoa/archive.do?r=cnaa_colombia"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
