"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?(YES/NO)"	"orphaned?(YES/NO)"
"Fungi collection of the Botanical Museum of the University of Oulu"	"9d8ff248-3f6d-4180-a7f5-3570c489cf72"	"OCCURRENCE"	"true"	"1172"	"0"	"605ce908-f762-11e1-a439-00145eb45e9a"	"TAPIR_INSTALLATION"	"d1146fd8-35d2-4264-a569-8f88cc29d0c8"	"University of Oulu"	"Finland"	"Finland"	"2015-02-18"	"TAPIR"	"http://gbif.oulu.fi/tapirlink/tapir.php/fungi"	"2016-03-17"	"NORMAL"	"TRUE"	"YES"
"Distribution of vascular plants in Kyrgyzstan (Helsinki collections)"	"b12d913a-6fa7-46c6-9229-f8b6af125b99"	"OCCURRENCE"	"true"	"0"	"0"	"b4cce1a2-e458-49ed-884c-b6714258bba5"	"HTTP_INSTALLATION"	"e5585950-488e-11db-a1c2-b8a03c50a862"	"Finnish Museum of Natural History"	"Finland"	"Finland"	"2012-10-24"	"DWC_ARCHIVE"	"https://ia701504.us.archive.org/3/items/DistributionRecordsOfVascularPlantsInKyrgyzstan/50879bfa294aa.zip"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Invertebrate collection of University of Oulu Zoological Museum"	"4b5ccd8b-c137-4844-8e87-d681f48fc474"	"OCCURRENCE"	"true"	"6812"	"0"	"605ce908-f762-11e1-a439-00145eb45e9a"	"TAPIR_INSTALLATION"	"d1146fd8-35d2-4264-a569-8f88cc29d0c8"	"University of Oulu"	"Finland"	"Finland"	"2011-11-10"	"TAPIR"	"http://gbif.oulu.fi/tapirlink/tapir.php/oe-common"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Coleoptera collection of Uunio Saalas"	"68a8dad9-2229-4775-90d3-b90b6927e406"	"OCCURRENCE"	"true"	"16276"	"0"	"605ce908-f762-11e1-a439-00145eb45e9a"	"TAPIR_INSTALLATION"	"d1146fd8-35d2-4264-a569-8f88cc29d0c8"	"University of Oulu"	"Finland"	"Finland"	"2011-08-19"	"TAPIR"	"http://gbif.oulu.fi/tapirlink/tapir.php/coll-saalas"	"2016-01-19"	"NORMAL"	"TRUE"	"YES"
"Type specimens of invertebrate collection at University of Oulu Zoological Museum"	"4ee3ee64-8ca4-4d5e-871e-09f437ae86df"	"OCCURRENCE"	"true"	"92"	"0"	"605ce908-f762-11e1-a439-00145eb45e9a"	"TAPIR_INSTALLATION"	"d1146fd8-35d2-4264-a569-8f88cc29d0c8"	"University of Oulu"	"Finland"	"Finland"	"2011-04-20"	"TAPIR"	"http://gbif.oulu.fi/tapirlink/tapir.php/invertebrate-types"	"2016-01-19"	"NORMAL"	"TRUE"	"YES"
"Bryophyta collection of the Botanical Museum of the University of Oulu"	"135fe78c-6fbb-4586-8d43-214b503dc593"	"OCCURRENCE"	"true"	"35325"	"0"	"605ce908-f762-11e1-a439-00145eb45e9a"	"TAPIR_INSTALLATION"	"d1146fd8-35d2-4264-a569-8f88cc29d0c8"	"University of Oulu"	"Finland"	"Finland"	"2011-04-07"	"TAPIR"	"http://gbif.oulu.fi/tapirlink/tapir.php/bryophyta"	"2016-01-19"	"NORMAL"	"TRUE"	"YES"
"Finnish Entomological Database: Heteroptera"	"1eb5d9c0-2e4c-11de-909a-b8a03c50a862"	"OCCURRENCE"	"true"	"3182"	"0"	"605b9238-f762-11e1-a439-00145eb45e9a"	"TAPIR_INSTALLATION"	"e5585950-488e-11db-a1c2-b8a03c50a862"	"Finnish Museum of Natural History"	"Finland"	"Finland"	"2010-05-04"	"TAPIR"	"http://data1.gbif.fi/tapirlink/tapir.php/www_heteroptera"	"2016-01-19"	"NORMAL"	"TRUE"	"YES"
"Finnish Entomological Database: Hymenoptera"	"516bb920-2e4c-11de-909a-b8a03c50a862"	"OCCURRENCE"	"true"	"9787"	"0"	"605b9238-f762-11e1-a439-00145eb45e9a"	"TAPIR_INSTALLATION"	"e5585950-488e-11db-a1c2-b8a03c50a862"	"Finnish Museum of Natural History"	"Finland"	"Finland"	"2010-05-04"	"TAPIR"	"http://data1.gbif.fi/tapirlink/tapir.php/www_hymenoptera"	"2016-01-19"	"NORMAL"	"TRUE"	"YES"
"Finnish Entomological Database: Trichoptera"	"820177a0-2e4c-11de-909a-b8a03c50a862"	"OCCURRENCE"	"true"	"7602"	"0"	"605b9238-f762-11e1-a439-00145eb45e9a"	"TAPIR_INSTALLATION"	"e5585950-488e-11db-a1c2-b8a03c50a862"	"Finnish Museum of Natural History"	"Finland"	"Finland"	"2010-05-04"	"TAPIR"	"http://data1.gbif.fi/tapirlink/tapir.php/www_trichoptera"	"2016-01-19"	"NORMAL"	"TRUE"	"YES"
"Botanic Garden of the Finnish Museum of Natural History"	"83d36270-e4ac-11de-ad5c-e0ddf866799d"	"OCCURRENCE"	"true"	"7548"	"0"	"605f6750-f762-11e1-a439-00145eb45e9a"	"TAPIR_INSTALLATION"	"e5585950-488e-11db-a1c2-b8a03c50a862"	"Finnish Museum of Natural History"	"Finland"	"Finland"	"2010-05-04"	"DWC_ARCHIVE"	"http://seitikka.fmnh.helsinki.fi:8080/ipt/resource/85678644-d14e-46df-b5bf-e6327cb3f108/archive-dwc.zip"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
