"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?(YES/NO)"	"orphaned?(YES/NO)"
"Revision of the genus Bradyporus Charpentier, 1825 (Orthoptera: Tettigoniidae: Bradyporinae)"	"fdad74c1-1152-4b14-b3c7-a0e4a44955be"	"CHECKLIST"	"false"	"0"	"0"	"7ce8aef1-9e92-11dc-8740-b8a03c50a999"	"HTTP_INSTALLATION"	"7ce8aef0-9e92-11dc-8738-b8a03c50a862"	"Plazi.org taxonomic treatments database"	"Germany"	"Germany"	"2017-05-31"					"FALSE"	"YES"
"New records and description of two new species of carideans shrimps from Bahia Santa Maria-La Reforma lagoon, Gulf of California, Mexico (Crustacea, Caridea, Alpheidae and Processidae)"	"9b6d9f74-36b5-4d2c-a518-cee77fbeda7a"	"CHECKLIST"	"true"	"0"	"0"	"7ce8aef1-9e92-11dc-8740-b8a03c50a999"	"HTTP_INSTALLATION"	"7ce8aef0-9e92-11dc-8738-b8a03c50a862"	"Plazi.org taxonomic treatments database"	"Germany"	"Germany"	"2017-04-28"	"DWC_ARCHIVE"	"http://tb.plazi.org/GgServer/dwca/6D44FFF6FFADFFAD256BFFC2FFA9FF88.zip"	"2017-04-28"	"ABORT"	"FALSE"	"YES"
"SMNS Palaeontological collection - Invertebrates (Palaeozoic, Mesozoic)"	"deb76988-95ef-4682-bfed-f779e1734178"	"OCCURRENCE"	"true"	"3250"	"0"	"9bb895a0-3fe2-46e0-9cd2-02180db12a0c"	"BIOCASE_INSTALLATION"	"99ea0c90-61e5-11dc-a64c-b8a03c50a862"	"Staatliches Museum für Naturkunde Stuttgart"	"Germany"	"Germany"	"2016-01-28"	"BIOCASE"	"http://col.smns-bw.org/biocase/pywrapper.cgi?dsa=SMNS_Dept2"	"2016-03-16"	"NORMAL"	"TRUE"	"YES"
"SMNS Palaeontological collection - Fossil mammals"	"5e678e86-5338-4d2b-bf82-92aa17e8b7f5"	"OCCURRENCE"	"true"	"959"	"0"	"9bb895a0-3fe2-46e0-9cd2-02180db12a0c"	"BIOCASE_INSTALLATION"	"99ea0c90-61e5-11dc-a64c-b8a03c50a862"	"Staatliches Museum für Naturkunde Stuttgart"	"Germany"	"Germany"	"2016-01-28"	"BIOCASE"	"http://col.smns-bw.org/biocase/pywrapper.cgi?dsa=SMNS_Dept2"	"2016-03-16"	"NORMAL"	"TRUE"	"YES"
"SMNS Palaeontological collection - Fossil aquatic vertebrates"	"8e4ed6c0-1dac-436a-8afc-a1b10b046067"	"OCCURRENCE"	"true"	"3343"	"0"	"9bb895a0-3fe2-46e0-9cd2-02180db12a0c"	"BIOCASE_INSTALLATION"	"99ea0c90-61e5-11dc-a64c-b8a03c50a862"	"Staatliches Museum für Naturkunde Stuttgart"	"Germany"	"Germany"	"2016-01-28"	"BIOCASE"	"http://col.smns-bw.org/biocase/pywrapper.cgi?dsa=SMNS_Dept2"	"2017-04-26"	"ABORT"	"FALSE"	"YES"
"SMNS Palaeontological collection - Amphibians, reptiles (Palaeozoic, Mesozoic)"	"aec36f79-57bb-445b-b63e-1da581d810ff"	"OCCURRENCE"	"true"	"1070"	"0"	"9bb895a0-3fe2-46e0-9cd2-02180db12a0c"	"BIOCASE_INSTALLATION"	"99ea0c90-61e5-11dc-a64c-b8a03c50a862"	"Staatliches Museum für Naturkunde Stuttgart"	"Germany"	"Germany"	"2016-01-28"	"BIOCASE"	"http://col.smns-bw.org/biocase/pywrapper.cgi?dsa=SMNS_Dept2"	"2017-04-26"	"ABORT"	"FALSE"	"YES"
"SuLaMa yam occurence data"	"ee739f75-e7b3-4f21-be1f-062b1ff94c78"	"OCCURRENCE"	"true"	"63"	"0"	"603790d6-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"10980920-6dad-11da-ad13-b8a03c50a862"	"Museum für Naturkunde Berlin"	"Germany"	"Germany"	"2016-01-26"	"BIOCASE"	"http://biocase.naturkundemuseum-berlin.de/current/pywrapper.cgi?dsa=SuLaMa"	"2016-03-16"	"NORMAL"	"TRUE"	"YES"
"SuLaMa reptile survey II 2012"	"369913ee-c7a5-4371-a497-643e9d93bdfc"	"OCCURRENCE"	"true"	"260"	"0"	"603790d6-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"10980920-6dad-11da-ad13-b8a03c50a862"	"Museum für Naturkunde Berlin"	"Germany"	"Germany"	"2016-01-26"	"BIOCASE"	"http://biocase.naturkundemuseum-berlin.de/current/pywrapper.cgi?dsa=SuLaMa"	"2016-03-16"	"NORMAL"	"TRUE"	"YES"
"SuLaMa reptile survey I 2012"	"41c2febd-9dc8-4cd1-bfcd-038b7c7f550a"	"OCCURRENCE"	"true"	"411"	"0"	"603790d6-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"10980920-6dad-11da-ad13-b8a03c50a862"	"Museum für Naturkunde Berlin"	"Germany"	"Germany"	"2016-01-26"	"BIOCASE"	"http://biocase.naturkundemuseum-berlin.de/current/pywrapper.cgi?dsa=SuLaMa"	"2016-03-16"	"NORMAL"	"TRUE"	"YES"
"SuLaMa reptile monitoring"	"4f5c812c-ead7-4a8b-b270-c7bee01f12ae"	"OCCURRENCE"	"true"	"74"	"0"	"603790d6-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"10980920-6dad-11da-ad13-b8a03c50a862"	"Museum für Naturkunde Berlin"	"Germany"	"Germany"	"2016-01-26"	"BIOCASE"	"http://biocase.naturkundemuseum-berlin.de/current/pywrapper.cgi?dsa=SuLaMa"	"2016-03-16"	"NORMAL"	"TRUE"	"YES"
