"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?(YES/NO)"	"orphaned?(YES/NO)"
"Seed Plants of Toorsa Strict Nature Reserve"	"ce74131f-53ab-4554-8529-4632b654c29d"	"CHECKLIST"	"true"	"0"	"0"	"56dbb965-6bb0-4a50-aa1b-cab1f3856c21"	"IPT_INSTALLATION"	"d33a9c4e-e33c-4311-a2fe-88dbdff7b4b9"	"International Centre for Integrated Mountain Development"	"International Centre for Integrated Mountain Development"	"Nepal"	"2012-03-12"	"DWC_ARCHIVE"	"http://www.icimod.org:8080/hkh-bif/archive.do?r=toorsa_strict_nature_reserve"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Seed Plants of Singhalila National Park"	"d7f2602e-9f79-45e8-8399-08d0c5e43f5d"	"CHECKLIST"	"true"	"0"	"0"	"56dbb965-6bb0-4a50-aa1b-cab1f3856c21"	"IPT_INSTALLATION"	"d33a9c4e-e33c-4311-a2fe-88dbdff7b4b9"	"International Centre for Integrated Mountain Development"	"International Centre for Integrated Mountain Development"	"Nepal"	"2012-03-12"	"DWC_ARCHIVE"	"http://www.icimod.org:8080/hkh-bif/archive.do?r=singhalila_national_park"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Senchal Mahananda Corridor"	"a0c14d49-4e7a-482a-bcf3-1bb28caaea21"	"CHECKLIST"	"true"	"0"	"0"	"56dbb965-6bb0-4a50-aa1b-cab1f3856c21"	"IPT_INSTALLATION"	"d33a9c4e-e33c-4311-a2fe-88dbdff7b4b9"	"International Centre for Integrated Mountain Development"	"International Centre for Integrated Mountain Development"	"Nepal"	"2012-03-12"	"DWC_ARCHIVE"	"http://www.icimod.org:8080/hkh-bif/archive.do?r=senchal_mahananda_corridor"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Seed Plants of Senchal Wildlife Sanctuary"	"1d64f315-c38f-46d9-a7e8-af613ebc5f58"	"CHECKLIST"	"true"	"0"	"0"	"56dbb965-6bb0-4a50-aa1b-cab1f3856c21"	"IPT_INSTALLATION"	"d33a9c4e-e33c-4311-a2fe-88dbdff7b4b9"	"International Centre for Integrated Mountain Development"	"International Centre for Integrated Mountain Development"	"Nepal"	"2012-03-12"	"DWC_ARCHIVE"	"http://www.icimod.org:8080/hkh-bif/archive.do?r=senchal_wildlife_sanctuary"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Seed Plants of Mahananda Wildlife Sanctuary"	"7a0199c1-07e3-415c-8dd7-551ac5eca917"	"CHECKLIST"	"true"	"0"	"0"	"56dbb965-6bb0-4a50-aa1b-cab1f3856c21"	"IPT_INSTALLATION"	"d33a9c4e-e33c-4311-a2fe-88dbdff7b4b9"	"International Centre for Integrated Mountain Development"	"International Centre for Integrated Mountain Development"	"Nepal"	"2012-03-12"	"DWC_ARCHIVE"	"http://www.icimod.org:8080/hkh-bif/archive.do?r=mahananda_wildlife_sanctuary"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Neora Valley Toorsa Corridor"	"d504d2d4-24f0-4b6d-8dd5-e85677da393d"	"CHECKLIST"	"true"	"0"	"0"	"56dbb965-6bb0-4a50-aa1b-cab1f3856c21"	"IPT_INSTALLATION"	"d33a9c4e-e33c-4311-a2fe-88dbdff7b4b9"	"International Centre for Integrated Mountain Development"	"International Centre for Integrated Mountain Development"	"Nepal"	"2012-03-12"	"DWC_ARCHIVE"	"http://www.icimod.org:8080/hkh-bif/archive.do?r=neora_valley_toorsa_corridor"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Seed Plants of Barsey Rhododendron Sanctuary"	"00a0607f-fd7e-4268-9707-0f53aa265f1f"	"CHECKLIST"	"true"	"0"	"0"	"56dbb965-6bb0-4a50-aa1b-cab1f3856c21"	"IPT_INSTALLATION"	"d33a9c4e-e33c-4311-a2fe-88dbdff7b4b9"	"International Centre for Integrated Mountain Development"	"International Centre for Integrated Mountain Development"	"Nepal"	"2012-03-12"	"DWC_ARCHIVE"	"http://www.icimod.org:8080/hkh-bif/archive.do?r=seed_plants_of_barsey_rhododendron_sanctuary"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Kangchenjunga Corridor"	"2e38c085-1140-46b2-9fc3-c62fb18d56bf"	"CHECKLIST"	"true"	"0"	"0"	"56dbb965-6bb0-4a50-aa1b-cab1f3856c21"	"IPT_INSTALLATION"	"d33a9c4e-e33c-4311-a2fe-88dbdff7b4b9"	"International Centre for Integrated Mountain Development"	"International Centre for Integrated Mountain Development"	"Nepal"	"2012-03-12"	"DWC_ARCHIVE"	"http://www.icimod.org:8080/hkh-bif/archive.do?r=kangchenjunga_corridor"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Seed Plants of Neora Valley National Park"	"728db47b-d11e-44ed-a55e-08b1a559ee9b"	"CHECKLIST"	"true"	"0"	"0"	"56dbb965-6bb0-4a50-aa1b-cab1f3856c21"	"IPT_INSTALLATION"	"d33a9c4e-e33c-4311-a2fe-88dbdff7b4b9"	"International Centre for Integrated Mountain Development"	"International Centre for Integrated Mountain Development"	"Nepal"	"2012-03-12"	"DWC_ARCHIVE"	"http://www.icimod.org:8080/hkh-bif/archive.do?r=neora_valley_national_park"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Seed Plants of Kangchendzonga Biosphere Reserve"	"1c5087e8-5bb7-49ad-95f9-5f387150e5de"	"CHECKLIST"	"true"	"0"	"0"	"56dbb965-6bb0-4a50-aa1b-cab1f3856c21"	"IPT_INSTALLATION"	"d33a9c4e-e33c-4311-a2fe-88dbdff7b4b9"	"International Centre for Integrated Mountain Development"	"International Centre for Integrated Mountain Development"	"Nepal"	"2012-03-12"	"DWC_ARCHIVE"	"http://www.icimod.org:8080/hkh-bif/archive.do?r=kangchendzonga_biosphere_reserve"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
