"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?(YES/NO)"	"orphaned?(YES/NO)"
"Myriapoda collection of National Museum of Nature and Science"	"a49c6fa2-7e0d-4350-945c-cec9635f3920"	"OCCURRENCE"	"true"	"0"	"0"	"600a119c-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"4fd82480-ea1c-11da-8db4-b8a03c50a862"	"National Museum of Nature and Science, Japan"	"Japan"	"Japan"	"2013-11-27"	"DIGIR"	"http://gbif.science-net.kahaku.go.jp:8080/digir/DiGIR.php"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Other Arachnida collection of National Museum of Nature and Science"	"a799fd82-0b29-44d9-92e0-9fd71abd9d2a"	"OCCURRENCE"	"true"	"0"	"0"	"600a119c-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"4fd82480-ea1c-11da-8db4-b8a03c50a862"	"National Museum of Nature and Science, Japan"	"Japan"	"Japan"	"2013-11-27"	"DIGIR"	"http://gbif.science-net.kahaku.go.jp:8080/digir/DiGIR.php"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Acari collection of National Museum of Nature and Science"	"24168265-33c2-4342-a6d5-fad89ecf877b"	"OCCURRENCE"	"true"	"0"	"0"	"600a119c-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"4fd82480-ea1c-11da-8db4-b8a03c50a862"	"National Museum of Nature and Science, Japan"	"Japan"	"Japan"	"2013-11-27"	"DIGIR"	"http://gbif.science-net.kahaku.go.jp:8080/digir/DiGIR.php"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Arachnida collection of National Museum of Nature and Science"	"19c94964-189f-45f2-905a-d23747ec9652"	"OCCURRENCE"	"true"	"0"	"0"	"600a119c-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"4fd82480-ea1c-11da-8db4-b8a03c50a862"	"National Museum of Nature and Science, Japan"	"Japan"	"Japan"	"2013-11-27"	"DIGIR"	"http://gbif.science-net.kahaku.go.jp:8080/digir/DiGIR.php"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Hymenoptera collection of National Museum of Nature and Science"	"b63a7193-0c48-4648-a728-086157f26373"	"OCCURRENCE"	"true"	"0"	"0"	"600a119c-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"4fd82480-ea1c-11da-8db4-b8a03c50a862"	"National Museum of Nature and Science, Japan"	"Japan"	"Japan"	"2013-11-27"	"DIGIR"	"http://gbif.science-net.kahaku.go.jp:8080/digir/DiGIR.php"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Lepidoptera collection of National Museum of Nature and Science"	"6c4f18a9-1bb7-401b-902c-037d0ab6bb2a"	"OCCURRENCE"	"true"	"0"	"0"	"600a119c-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"4fd82480-ea1c-11da-8db4-b8a03c50a862"	"National Museum of Nature and Science, Japan"	"Japan"	"Japan"	"2013-11-27"	"DIGIR"	"http://gbif.science-net.kahaku.go.jp:8080/digir/DiGIR.php"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Diptera collection of National Museum of Nature and Science"	"6018941d-c361-456d-a615-c3d34a033f6f"	"OCCURRENCE"	"true"	"0"	"0"	"600a119c-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"4fd82480-ea1c-11da-8db4-b8a03c50a862"	"National Museum of Nature and Science, Japan"	"Japan"	"Japan"	"2013-11-27"	"DIGIR"	"http://gbif.science-net.kahaku.go.jp:8080/digir/DiGIR.php"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Coleoptera collection of National Museum of Nature and Science"	"b08b5ce4-b157-4fa5-b904-afa1ac982e1a"	"OCCURRENCE"	"true"	"10567"	"0"	"600a119c-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"4fd82480-ea1c-11da-8db4-b8a03c50a862"	"National Museum of Nature and Science, Japan"	"Japan"	"Japan"	"2013-11-27"	"DIGIR"	"http://gbif.science-net.kahaku.go.jp:8080/digir/DiGIR.php"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Hemiptera (Homoptera) collection of National Museum of Nature and Science"	"c81d08e2-e648-4ffc-aec9-35ca10e570bb"	"OCCURRENCE"	"true"	"2193"	"0"	"600a119c-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"4fd82480-ea1c-11da-8db4-b8a03c50a862"	"National Museum of Nature and Science, Japan"	"Japan"	"Japan"	"2013-11-27"	"DIGIR"	"http://gbif.science-net.kahaku.go.jp:8080/digir/DiGIR.php"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Mollusca collection of National Museum of Nature and Science"	"0991f9af-8ff9-4e34-a8b9-990bb522dc0c"	"OCCURRENCE"	"true"	"20043"	"0"	"600a119c-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"4fd82480-ea1c-11da-8db4-b8a03c50a862"	"National Museum of Nature and Science, Japan"	"Japan"	"Japan"	"2013-11-27"	"DIGIR"	"http://gbif.science-net.kahaku.go.jp:8080/digir/DiGIR.php"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
