"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"orphaned?(YES/NO)"
"Plant"	"961a5ce1-f843-4e75-86a6-51aa959fc12c"	"OCCURRENCE"	"true"	"607514"	"0"	"5febf7b6-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"ce3cfcc0-6d56-11db-a819-b8a03c50a862"	"Korea National Arboretum (Korea Forest Service)"	"Korea, Republic of"	"Korea, Republic of"	"2013-12-17"	"DIGIR"	"http://203.250.196.222:8080/KNA/DigirProvider/index_html"	"2016-01-19"	"NORMAL"	"YES"
"Wooseokheon Natural History Museum Shellfish"	"71f59c04-5a6b-4a09-bf32-11282253526e"	"OCCURRENCE"	"true"	"0"	"0"	"5ff3761c-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"f5c46d20-f1d2-11dd-b2d5-b8a03c50a862"	"Wooseokheon Natural History Museum"	"Korea, Republic of"	"Korea, Republic of"	"2012-10-24"	"DIGIR"	"http://210.219.32.3:20001/digir_ws/DiGIR.php"	"2017-05-29"	"ABORT"	"YES"
"Seodaemun Museum of Natural History Mammal"	"e83530dd-2124-4bf9-811a-e8e5a5d666f2"	"OCCURRENCE"	"true"	"3"	"0"	"5ff313fc-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"a2936bd0-b280-11db-b710-b8a03c50a862"	"Seodaemun Museum of Natural History"	"Korea, Republic of"	"Korea, Republic of"	"2012-10-23"	"DIGIR"	"http://210.219.32.3:20001/digir_sd/DiGIR.php"	"2017-05-29"	"ABORT"	"YES"
"Seodaemun Museum of Natural History Fossil"	"cecd0557-5f3d-4ca2-b0bd-89e84a89f0e5"	"OCCURRENCE"	"true"	"4"	"0"	"5ff313fc-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"a2936bd0-b280-11db-b710-b8a03c50a862"	"Seodaemun Museum of Natural History"	"Korea, Republic of"	"Korea, Republic of"	"2012-10-23"	"DIGIR"	"http://210.219.32.3:20001/digir_sd/DiGIR.php"	"2017-05-29"	"ABORT"	"YES"
"Folklore and Natural History Museum Fossil"	"9652886a-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"0"	"0"	"5ff0c69c-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"21074610-6c06-11db-a819-b8a03c50a862"	"Folklore and Natural History Museum"	"Korea, Republic of"	"Korea, Republic of"	"2009-03-30"	"DIGIR"	"http://210.219.32.3:20001/digir_jj/DiGIR.php"	"2017-05-30"	"ABORT"	"YES"
"Kunsan Passage Bird Research Institute Plant"	"9626be74-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"0"	"0"	"5fef3bd8-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"34829730-f1d3-11dd-b2d5-b8a03c50a862"	"Kunsan Passage Bird Research Institute"	"Korea, Republic of"	"Korea, Republic of"	"2009-02-03"	"DIGIR"	"http://210.219.32.3:20001/digir_gm/DiGIR.php"	"2017-05-30"	"ABORT"	"YES"
"Plant Systematics Laboratory, Ajou University, Korea"	"88dadc8c-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"2255"	"0"	"5ff66a3e-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"822ae110-d90e-11dc-8e3b-b8a03c50a862"	"Korean Aquatic Plant Resources and Information Bank"	"Korea, Republic of"	"Korea, Republic of"	"2008-02-13"	"DIGIR"	"http://aqua.ajou.ac.kr:150/digir/DiGIR.php"	"2017-05-30"	"ABORT"	"YES"
"Interactive Database of Biodiversity Studies on Terrestrial Arthropod Animals of Korea"	"82fd496c-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"2861"	"0"	"5ffe05dc-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"657b7bf0-766b-11d9-9f77-b8a03c50a862"	"Korea Institute of Science and Technology Information"	"Korea, Republic of"	"Korea, Republic of"	"2007-04-03"	"DIGIR"	"http://dataprovider.kisti.re.kr/DiGIRprov/www/DiGIR.php"	"2017-05-30"	"ABORT"	"YES"
"Korean Insect Database"	"8306a85e-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"1426"	"0"	"5ffe05dc-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"657b7bf0-766b-11d9-9f77-b8a03c50a862"	"Korea Institute of Science and Technology Information"	"Korea, Republic of"	"Korea, Republic of"	"2007-04-03"	"DIGIR"	"http://dataprovider.kisti.re.kr/DiGIRprov/www/DiGIR.php"	"2017-05-30"	"ABORT"	"YES"
"Folklore and Natural History Museum Mammal"	"83380a34-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"6"	"0"	"5ff0c69c-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"21074610-6c06-11db-a819-b8a03c50a862"	"Folklore and Natural History Museum"	"Korea, Republic of"	"Korea, Republic of"	"2007-04-03"	"DIGIR"	"http://210.219.32.3:20001/digir_jj/DiGIR.php"	"2017-05-30"	"ABORT"	"YES"
