"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"orphaned?(YES/NO)"
"CNIN/Colección de insectos del Bosque seco (LINBOS)"	"7b3bdc20-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"0"	"0"	"601d6198-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"b459e790-0d3c-11d9-8431-b8a03c50a862"	"UNIBIO, IBUNAM"	"Mexico"	"Mexico"	"2010-08-04"	"DIGIR"	"http://unibio.ibiologia.unam.mx:8081/digir/DiGIR.php"	"2017-05-29"	"ABORT"	"YES"
"MEXU/Opuntias Silvestres"	"7b3aaf44-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"0"	"0"	"601d6198-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"b459e790-0d3c-11d9-8431-b8a03c50a862"	"UNIBIO, IBUNAM"	"Mexico"	"Mexico"	"2010-08-04"	"DIGIR"	"http://unibio.ibiologia.unam.mx:8081/digir/DiGIR.php"	"2017-05-29"	"ABORT"	"YES"
"CNAN/Uropigy_Solifugae"	"7b3975ca-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"0"	"0"	"601d6198-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"b459e790-0d3c-11d9-8431-b8a03c50a862"	"UNIBIO, IBUNAM"	"Mexico"	"Mexico"	"2010-08-04"	"DIGIR"	"http://unibio.ibiologia.unam.mx:8081/digir/DiGIR.php"	"2017-05-29"	"ABORT"	"YES"
"CNMA/Colección de Mamíferos de la Estación de Biología Los Tuxtlas"	"96b2e606-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"440"	"0"	"601d6198-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"b459e790-0d3c-11d9-8431-b8a03c50a862"	"UNIBIO, IBUNAM"	"Mexico"	"Mexico"	"2009-06-09"	"DIGIR"	"http://unibio.ibiologia.unam.mx:8081/digir/DiGIR.php"	"2017-05-30"	"ABORT"	"YES"
"CNMA/Colección de Mamíferos de la Estación de Biología Chamela"	"96b422d2-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"234"	"0"	"601d6198-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"b459e790-0d3c-11d9-8431-b8a03c50a862"	"UNIBIO, IBUNAM"	"Mexico"	"Mexico"	"2009-06-09"	"DIGIR"	"http://unibio.ibiologia.unam.mx:8081/digir/DiGIR.php"	"2017-05-30"	"ABORT"	"YES"
"CNIN/Thysanoptera"	"96ab6f98-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"13292"	"0"	"601d6198-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"b459e790-0d3c-11d9-8431-b8a03c50a862"	"UNIBIO, IBUNAM"	"Mexico"	"Mexico"	"2009-06-09"	"DIGIR"	"http://unibio.ibiologia.unam.mx:8081/digir/DiGIR.php"	"2017-05-30"	"ABORT"	"YES"
"MEXU/Leguminosae"	"96acabd8-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"11955"	"0"	"601d6198-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"b459e790-0d3c-11d9-8431-b8a03c50a862"	"UNIBIO, IBUNAM"	"Mexico"	"Mexico"	"2009-06-09"	"DIGIR"	"http://unibio.ibiologia.unam.mx:8081/digir/DiGIR.php"	"2017-05-30"	"ABORT"	"YES"
"MEXU/Agavaceae"	"96adf006-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"2618"	"0"	"601d6198-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"b459e790-0d3c-11d9-8431-b8a03c50a862"	"UNIBIO, IBUNAM"	"Mexico"	"Mexico"	"2009-06-09"	"DIGIR"	"http://unibio.ibiologia.unam.mx:8081/digir/DiGIR.php"	"2017-05-30"	"ABORT"	"YES"
"MEXU/Flora de Oaxaca"	"96af2dd6-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"3439"	"0"	"601d6198-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"b459e790-0d3c-11d9-8431-b8a03c50a862"	"UNIBIO, IBUNAM"	"Mexico"	"Mexico"	"2009-06-09"	"DIGIR"	"http://unibio.ibiologia.unam.mx:8081/digir/DiGIR.php"	"2017-05-30"	"ABORT"	"YES"
"MEXU/Pinaceae"	"96b064a8-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"989"	"0"	"601d6198-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"b459e790-0d3c-11d9-8431-b8a03c50a862"	"UNIBIO, IBUNAM"	"Mexico"	"Mexico"	"2009-06-09"	"DIGIR"	"http://unibio.ibiologia.unam.mx:8081/digir/DiGIR.php"	"2017-05-30"	"ABORT"	"YES"
