"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"orphaned?(YES/NO)"
"Vlinderstichting (NL) - Lepidoptera observations 1995-1999"	"cb429b64-d789-47bb-a7d8-379657c5e407"	"OCCURRENCE"	"false"	"0"	"0"	"85ccfd1a-a837-48d6-9a87-96c99f6fe012"	"HTTP_INSTALLATION"	"21c07296-77a8-4adf-aba1-e1035429be3a"	"Dutch Butterfly Conservation"	"Netherlands"	"Netherlands"	"2017-04-25"					"YES"
"Dutch Centre For Field Ornithology (SOVON) - Night-roost counts- meta"	"590dfe47-a4d0-4c77-8c24-a56625b2cda6"	"METADATA"	"true"	"0"	"0"	"0478c046-53ff-410f-9a38-85e7c22c441a"	"IPT_INSTALLATION"	"1c51595e-f1e9-467f-94e5-e1b65d15b30f"	"Dutch Centre for Field Ornithology (Sovon)"	"Netherlands"	"Netherlands"	"2017-01-25"					"YES"
"Dutch Centre For Field Ornithology (SOVON) - Breeding Bird Atlas 1973-1977 - metadata"	"d44bbd60-6f80-49e4-94ed-539632f04045"	"METADATA"	"true"	"0"	"0"	"0478c046-53ff-410f-9a38-85e7c22c441a"	"IPT_INSTALLATION"	"1c51595e-f1e9-467f-94e5-e1b65d15b30f"	"Dutch Centre for Field Ornithology (Sovon)"	"Netherlands"	"Netherlands"	"2017-01-25"					"YES"
"Dutch Centre For Field Ornithology (SOVON) - Bird Atlas 1978-1983 - metadata"	"b72bd021-627c-4afe-9501-3bc62e280560"	"METADATA"	"true"	"0"	"0"	"0478c046-53ff-410f-9a38-85e7c22c441a"	"IPT_INSTALLATION"	"1c51595e-f1e9-467f-94e5-e1b65d15b30f"	"Dutch Centre for Field Ornithology (Sovon)"	"Netherlands"	"Netherlands"	"2017-01-25"					"YES"
"Dutch Centre For Field Ornithology (SOVON) - Breeding Bird Atlas 1998-2000 - metadata"	"fbf8a266-0ce3-4ef0-a4e0-df0601716299"	"METADATA"	"true"	"0"	"0"	"0478c046-53ff-410f-9a38-85e7c22c441a"	"IPT_INSTALLATION"	"1c51595e-f1e9-467f-94e5-e1b65d15b30f"	"Dutch Centre for Field Ornithology (Sovon)"	"Netherlands"	"Netherlands"	"2017-01-25"					"YES"
"Dutch Centre For Field Ornithology (SOVON) - Breeding Bird Monitoring Program - metadata"	"6f207673-04da-4561-a4bb-54af4cc8d07a"	"OCCURRENCE"	"true"	"0"	"0"	"0478c046-53ff-410f-9a38-85e7c22c441a"	"IPT_INSTALLATION"	"1c51595e-f1e9-467f-94e5-e1b65d15b30f"	"Dutch Centre for Field Ornithology (Sovon)"	"Netherlands"	"Netherlands"	"2017-01-25"	"DWC_ARCHIVE"	"http://ipt.sovon.nl/archive.do?r=bmpmeta"	"2017-05-28"	"ABORT"	"YES"
"Ebba second breeding bird atlas on Observation.org"	"b47074e3-c116-461a-b2a1-0bf87da80bfb"	"METADATA"	"true"	"0"	"0"	"97dfec69-b198-43ba-a8fa-c5edbc04e324"	"IPT_INSTALLATION"	"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f"	"Observation.org"	"Netherlands"	"Netherlands"	"2016-01-05"					"YES"
"EBCC Atlas of European Breeding Birds"	"c779b049-28f3-4daf-bbf4-0a40830819b6"	"OCCURRENCE"	"true"	"356315"	"0"	"0478c046-53ff-410f-9a38-85e7c22c441a"	"IPT_INSTALLATION"	"d3f94e8a-bb06-4d2b-89a6-6cd66abfa66c"	"European Bird Census Council (EBCC)"	"Netherlands"	"Netherlands"	"2015-12-18"	"DWC_ARCHIVE"	"http://ipt.sovon.nl/archive.do?r=eoa1997"	"2017-05-29"	"ABORT"	"YES"
"Dutch Centre For Field Ornithology (SOVON) - Breeding Bird Monitoring Program"	"19c50cd5-d538-43ce-a794-467da1130330"	"OCCURRENCE"	"true"	"94696"	"0"	"0478c046-53ff-410f-9a38-85e7c22c441a"	"IPT_INSTALLATION"	"1c51595e-f1e9-467f-94e5-e1b65d15b30f"	"Dutch Centre for Field Ornithology (Sovon)"	"Netherlands"	"Netherlands"	"2015-06-12"	"DWC_ARCHIVE"	"http://ipt.sovon.nl/archive.do?r=bmp_data"	"2017-05-29"	"ABORT"	"YES"
"RAVON (NL) - Fish observations extracted from historic reports 1860-1907"	"494ceb90-924c-483d-ae58-9dd89efb85a1"	"OCCURRENCE"	"true"	"19700"	"0"	"ff6265bf-d5d8-408a-9a48-17c19d6b0837"	"IPT_INSTALLATION"	"8629d002-c1cf-4c61-9895-55ca7cd0e149"	"Reptile, Amphibian and Fish Conservation Netherlands (RAVON)"	"Netherlands"	"Netherlands"	"2015-04-29"	"DWC_ARCHIVE"	"http://ipt.ravon.nl/archive.do?r=ravon-fish-digitized-historic-reports-1860-1907"	"2017-05-29"	"ABORT"	"YES"
"Naturalis Biodiversity Center (NL) - Micropaleontology"	"64ed2b22-713a-4494-b4e7-45aada16697d"	"OCCURRENCE"	"true"	"97343"	"0"	"65eb93af-41b8-4917-a5fc-cfe2a45aa4bf"	"HTTP_INSTALLATION"	"396d5f30-dea9-11db-8ab4-b8a03c50a862"	"Naturalis Biodiversity Center"	"Netherlands"	"Netherlands"	"2014-03-26"	"DWC_ARCHIVE"	"http://api.biodiversitydata.nl/v0/specimen/search/dwca/?collection=micropaleontology"	"2016-02-25"	"NORMAL"	"YES"
"Naturalis Biodiversity Center (NL) - Collembola"	"4f8de55f-5967-46c4-b689-31de17090ed4"	"OCCURRENCE"	"true"	"29171"	"0"	"65eb93af-41b8-4917-a5fc-cfe2a45aa4bf"	"HTTP_INSTALLATION"	"396d5f30-dea9-11db-8ab4-b8a03c50a862"	"Naturalis Biodiversity Center"	"Netherlands"	"Netherlands"	"2014-03-26"	"DWC_ARCHIVE"	"http://api.biodiversitydata.nl/v0/specimen/search/dwca/?collection=collembola"	"2016-02-25"	"NORMAL"	"YES"
"Naturalis Biodiversity Center (NL) - Paleontology Invertebrates"	"4fe47a52-2b8e-4a5a-aa08-498cab9858a1"	"OCCURRENCE"	"true"	"192907"	"0"	"65eb93af-41b8-4917-a5fc-cfe2a45aa4bf"	"HTTP_INSTALLATION"	"396d5f30-dea9-11db-8ab4-b8a03c50a862"	"Naturalis Biodiversity Center"	"Netherlands"	"Netherlands"	"2014-03-26"	"DWC_ARCHIVE"	"http://api.biodiversitydata.nl/v0/specimen/search/dwca/?collection=paleontology_invertebrates"	"2016-02-25"	"NORMAL"	"YES"
"Naturalis Biodiversity Center (NL) - Mammalia"	"4b7f1713-7011-4083-8f78-c5502228f0a5"	"OCCURRENCE"	"true"	"57401"	"0"	"65eb93af-41b8-4917-a5fc-cfe2a45aa4bf"	"HTTP_INSTALLATION"	"396d5f30-dea9-11db-8ab4-b8a03c50a862"	"Naturalis Biodiversity Center"	"Netherlands"	"Netherlands"	"2013-12-06"	"DWC_ARCHIVE"	"http://api.biodiversitydata.nl/v0/specimen/search/dwca/?collection=mammalia"	"2016-02-25"	"NORMAL"	"YES"
"Naturalis Biodiversity Center (NL) - Cainozoic Mollusca"	"a57e6526-54c6-465a-baa9-904979bbc93f"	"OCCURRENCE"	"true"	"88808"	"0"	"65eb93af-41b8-4917-a5fc-cfe2a45aa4bf"	"HTTP_INSTALLATION"	"396d5f30-dea9-11db-8ab4-b8a03c50a862"	"Naturalis Biodiversity Center"	"Netherlands"	"Netherlands"	"2013-12-06"	"DWC_ARCHIVE"	"http://api.biodiversitydata.nl/v0/specimen/search/dwca/?collection=cainozoic_mollusca"	"2016-02-25"	"NORMAL"	"YES"
"RAVON (NL) - Fish observations extracted from Hoek (1890) and Redeke (1921)"	"87fca6a4-11ec-4799-a668-8461a554f86b"	"OCCURRENCE"	"true"	"783"	"0"	"ff6265bf-d5d8-408a-9a48-17c19d6b0837"	"IPT_INSTALLATION"	"8629d002-c1cf-4c61-9895-55ca7cd0e149"	"Reptile, Amphibian and Fish Conservation Netherlands (RAVON)"	"Netherlands"	"Netherlands"	"2013-07-01"	"DWC_ARCHIVE"	"http://ipt.ravon.nl/archive.do?r=ravon-fish-hoek1890-redeke1921"	"2017-05-29"	"ABORT"	"YES"
"RAVON (NL) - Fish observations extracted from Redeke (1907)"	"0e7bd6f7-7fc6-4150-a531-2209f7156a91"	"OCCURRENCE"	"true"	"1654"	"0"	"ff6265bf-d5d8-408a-9a48-17c19d6b0837"	"IPT_INSTALLATION"	"8629d002-c1cf-4c61-9895-55ca7cd0e149"	"Reptile, Amphibian and Fish Conservation Netherlands (RAVON)"	"Netherlands"	"Netherlands"	"2013-06-06"	"DWC_ARCHIVE"	"http://ipt.ravon.nl/archive.do?r=ravon-fish-redeke1907"	"2017-05-29"	"ABORT"	"YES"
"RAVON (NL) - Fish observations extracted from Hoek (1888) and Hoek (1897)"	"32ab1d81-9131-45e3-ae74-69dd696341ea"	"OCCURRENCE"	"true"	"1287"	"0"	"ff6265bf-d5d8-408a-9a48-17c19d6b0837"	"IPT_INSTALLATION"	"8629d002-c1cf-4c61-9895-55ca7cd0e149"	"Reptile, Amphibian and Fish Conservation Netherlands (RAVON)"	"Netherlands"	"Netherlands"	"2013-06-06"	"DWC_ARCHIVE"	"http://ipt.ravon.nl/archive.do?r=ravon-fish-digitizedreports"	"2017-05-29"	"ABORT"	"YES"
"University of Amsterdam (NL) - Páramo vegetation research, Talamanca Cordillera, Costa Rica"	"4a837446-cdcd-411b-8d51-5b8184890bcc"	"OCCURRENCE"	"true"	"724"	"0"	"b7d930f2-c52f-48d8-8161-3263784e9f63"	"IPT_INSTALLATION"	"1f55bd0a-6ebe-49a1-8a9c-9258702b6f46"	"University of Amsterdam / IBED"	"Netherlands"	"Netherlands"	"2013-04-15"	"DWC_ARCHIVE"	"http://localhost/ipt/archive.do?r=paramo-veg-costa-rica"	"2017-05-29"	"ABORT"	"YES"
"University of Amsterdam (NL) - Páramo vegetation research, Santa Marta and Perijá, Colombia"	"aa53b19b-ee49-4ff6-963d-2d9499808b72"	"OCCURRENCE"	"true"	"1506"	"0"	"b7d930f2-c52f-48d8-8161-3263784e9f63"	"IPT_INSTALLATION"	"1f55bd0a-6ebe-49a1-8a9c-9258702b6f46"	"University of Amsterdam / IBED"	"Netherlands"	"Netherlands"	"2013-04-15"	"DWC_ARCHIVE"	"http://localhost/ipt/archive.do?r=paramo-veg-smr-perija"	"2017-05-29"	"ABORT"	"YES"
"University of Amsterdam (NL) - Páramo Vegetation Research, Chingaza - Cruz Verde - Monserrate -Guasca, Colombia"	"5e50896f-8bbd-43e7-9ba5-ef7ed7b3e865"	"OCCURRENCE"	"true"	"13949"	"0"	"b7d930f2-c52f-48d8-8161-3263784e9f63"	"IPT_INSTALLATION"	"1f55bd0a-6ebe-49a1-8a9c-9258702b6f46"	"University of Amsterdam / IBED"	"Netherlands"	"Netherlands"	"2013-04-15"	"DWC_ARCHIVE"	"http://localhost/ipt/archive.do?r=paramo-veg-csb"	"2017-05-29"	"ABORT"	"YES"
