"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"orphaned?(YES/NO)"
"Lichens from a study of primary producer traits across an altitudinal gradient in alpine Finse"	"cf999616-58f0-43af-8dba-164c0323f19d"	"METADATA"	"true"	"0"	"0"	"c4e83f8a-f24c-4573-a197-f085ca242917"	"IPT_INSTALLATION"	"8256e897-3a17-4a2d-8bf8-54cf22b624bd"	"Norwegian University of Life Sciences (NMBU), Faculty of Environmental Sciences and Natural Resource Management"	"Norway"	"Norway"	"2017-02-27"					"YES"
"Effects of vegetation clearing and dead wood on beetles in power line clearings southeast Norway"	"c5fe763f-6851-4610-bdc3-67143540be67"	"METADATA"	"true"	"0"	"0"	"c4e83f8a-f24c-4573-a197-f085ca242917"	"IPT_INSTALLATION"	"8256e897-3a17-4a2d-8bf8-54cf22b624bd"	"Norwegian University of Life Sciences (NMBU), Faculty of Environmental Sciences and Natural Resource Management"	"Norway"	"Norway"	"2017-02-27"					"YES"
"Redlisted beetles found in oak grove near Lake Østensjø"	"c6fe2d03-eeb2-4af7-bd7f-f2e5bfef02b3"	"SAMPLING_EVENT"	"true"	"96"	"0"	"c4e83f8a-f24c-4573-a197-f085ca242917"	"IPT_INSTALLATION"	"8256e897-3a17-4a2d-8bf8-54cf22b624bd"	"Norwegian University of Life Sciences (NMBU), Faculty of Environmental Sciences and Natural Resource Management"	"Norway"	"Norway"	"2016-11-02"	"DWC_ARCHIVE"	"http://data.gbif.no/ipt/archive.do?r=ostensjobiller"	"2016-11-04"	"NOT_MODIFIED"	"YES"
"Priority effects of early successional insects influence late successional fungi in dead wood"	"3b778b3e-c784-4df6-bd89-364e0ab503ed"	"SAMPLING_EVENT"	"true"	"381"	"0"	"c4e83f8a-f24c-4573-a197-f085ca242917"	"IPT_INSTALLATION"	"8256e897-3a17-4a2d-8bf8-54cf22b624bd"	"Norwegian University of Life Sciences (NMBU), Faculty of Environmental Sciences and Natural Resource Management"	"Norway"	"Norway"	"2016-11-01"	"DWC_ARCHIVE"	"http://data.gbif.no/ipt/archive.do?r=fungiaspen"	"2016-11-01"	"NOT_MODIFIED"	"YES"
"Saproxylic insects caught in window traps and hatched from polypores in small and large old forests in southern Norway"	"04930329-93ce-4f80-8d67-423a526a736b"	"SAMPLING_EVENT"	"true"	"1189"	"0"	"c4e83f8a-f24c-4573-a197-f085ca242917"	"IPT_INSTALLATION"	"8256e897-3a17-4a2d-8bf8-54cf22b624bd"	"Norwegian University of Life Sciences (NMBU), Faculty of Environmental Sciences and Natural Resource Management"	"Norway"	"Norway"	"2016-06-22"	"DWC_ARCHIVE"	"http://data.gbif.no/ipt/archive.do?r=saproxylic-insects"	"2016-06-23"	"NORMAL"	"YES"
"The importance of host tree age, size and growth rate as determinants of epiphytic lichen diversity in boreal spruce forest."	"39a80c99-56c2-482c-beef-fa960a8eec4d"	"OCCURRENCE"	"true"	"3947"	"0"	"c4e83f8a-f24c-4573-a197-f085ca242917"	"IPT_INSTALLATION"	"8256e897-3a17-4a2d-8bf8-54cf22b624bd"	"Norwegian University of Life Sciences (NMBU), Faculty of Environmental Sciences and Natural Resource Management"	"Norway"	"Norway"	"2016-04-13"					"YES"
"Vegetation data from long term sheep grazing experiment in Setesdal, Norway"	"418a6571-b6c1-4db0-b90e-8f36bde4c80e"	"SAMPLING_EVENT"	"true"	"11961"	"0"	"f54ed5ce-9755-46c8-b6e7-67bc3a46ed5b"	"IPT_INSTALLATION"	"a8144f37-5ff7-4137-9400-94b5b2ea4ec4"	"NTNU University Museum"	"Norway"	"Norway"	"2016-02-29"	"DWC_ARCHIVE"	"http://gbif.vm.ntnu.no/ipt/archive.do?r=setesdal_veg_data"	"2016-02-29"	"NORMAL"	"YES"
"Vegetation data from sheep grazing experiment at alpine site in Hol, Norway"	"57d403f4-9d00-4651-8e26-1f4e81a21181"	"SAMPLING_EVENT"	"true"	"15973"	"0"	"f54ed5ce-9755-46c8-b6e7-67bc3a46ed5b"	"IPT_INSTALLATION"	"a8144f37-5ff7-4137-9400-94b5b2ea4ec4"	"NTNU University Museum"	"Norway"	"Norway"	"2016-01-11"	"DWC_ARCHIVE"	"http://gbif.vm.ntnu.no/ipt/archive.do?r=norway_hol_vegetation_data_2001_to_2003"	"2016-01-13"	"NORMAL"	"YES"
"Drobak-collections"	"6c71e42e-a320-44b2-8bc7-f48846556de2"	"SAMPLING_EVENT"	"true"	"0"	"0"	"c4e83f8a-f24c-4573-a197-f085ca242917"	"IPT_INSTALLATION"	"f314b0b0-e3dc-11d9-8d81-b8a03c50a862"	"Natural History Museum, University of Oslo"	"Norway"	"Norway"	"2015-12-15"	"DWC_ARCHIVE"	"http://data.gbif.no/ipt/archive.do?r=drobak"	"2015-12-17"	"NOT_MODIFIED"	"YES"
"BIOSKAG-collections"	"c013532f-c30a-4832-97da-7323e2c1533c"	"SAMPLING_EVENT"	"true"	"0"	"0"	"c4e83f8a-f24c-4573-a197-f085ca242917"	"IPT_INSTALLATION"	"f314b0b0-e3dc-11d9-8d81-b8a03c50a862"	"Natural History Museum, University of Oslo"	"Norway"	"Norway"	"2015-12-15"	"DWC_ARCHIVE"	"http://data.gbif.no/ipt/archive.do?r=bioskag"	"2015-12-17"	"NOT_MODIFIED"	"YES"
