"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"orphaned?(YES/NO)"
"Schellenberg A. 1936. The fishery grounds near Alexandria. 10. Amphipoda Benthonica. Notes and memoirs no 11"	"350e81e8-ff86-41bb-8c71-5a6875fe9144"	"SAMPLING_EVENT"	"true"	"133"	"0"	"21c0f0d1-6791-42db-af8e-556dcabca9b1"	"IPT_INSTALLATION"	"96d7ceab-ce9f-4c8a-8d3a-448a5637094a"	"Hellenic Center for Marine Research"	"Ocean Biogeographic Information System"	"Belgium"	"2016-07-11"	"DWC_ARCHIVE"	"http://ipt.medobis.eu/archive.do?r=egyptexpeditionamphipoda"	"2016-07-11"	"NOT_MODIFIED"	"YES"
"Mortensen Th. And Steuer Ad. 1937. The fishery grounds near Alexandria. XIII Echinoderma. Notes and Memoirs No 21. Hydrobiology and Fisheries Directorate, Egypt"	"0428bd0e-3066-4e48-b65d-52cbbff24b73"	"SAMPLING_EVENT"	"true"	"165"	"0"	"21c0f0d1-6791-42db-af8e-556dcabca9b1"	"IPT_INSTALLATION"	"96d7ceab-ce9f-4c8a-8d3a-448a5637094a"	"Hellenic Center for Marine Research"	"Ocean Biogeographic Information System"	"Belgium"	"2016-06-05"	"DWC_ARCHIVE"	"http://ipt.medobis.eu/archive.do?r=egyptexpeditionechinoderma"	"2016-07-11"	"NOT_MODIFIED"	"YES"
"Steuer A. 1939. The fishery grounds near Alexandria. XIX Mollusca. Notes and Memoirs No 33"	"f85dc597-d683-4038-8a09-cad4efd9804d"	"SAMPLING_EVENT"	"true"	"882"	"0"	"21c0f0d1-6791-42db-af8e-556dcabca9b1"	"IPT_INSTALLATION"	"96d7ceab-ce9f-4c8a-8d3a-448a5637094a"	"Hellenic Center for Marine Research"	"Ocean Biogeographic Information System"	"Belgium"	"2016-06-05"	"DWC_ARCHIVE"	"http://ipt.medobis.eu/archive.do?r=egyptexpeditionmollusca"	"2016-07-11"	"NOT_MODIFIED"	"YES"
"Vatova A., 1935. The fishery grounds near Alexandria, II. A bottom sample taken at Alexandria, Notes and Memoirs No 9. Fisheries Research Directorate, Egypt"	"4a65dba1-ff0d-4e72-aa3c-e76e48856930"	"METADATA"	"true"	"0"	"0"	"21c0f0d1-6791-42db-af8e-556dcabca9b1"	"IPT_INSTALLATION"	"96d7ceab-ce9f-4c8a-8d3a-448a5637094a"	"Hellenic Center for Marine Research"	"Ocean Biogeographic Information System"	"Belgium"	"2016-06-05"					"YES"
"Spatial and seasonal variability of the molluscan macrofauna at the marine-lagoonal environmental gradient at Kalloni saltworks (Lesvos Island, NE Aegean Sea, Greece)"	"dc529695-b67e-4cf5-ad45-9fd6dd63902e"	"SAMPLING_EVENT"	"true"	"421"	"0"	"21c0f0d1-6791-42db-af8e-556dcabca9b1"	"IPT_INSTALLATION"	"96d7ceab-ce9f-4c8a-8d3a-448a5637094a"	"Hellenic Center for Marine Research"	"Ocean Biogeographic Information System"	"Belgium"	"2016-06-03"	"DWC_ARCHIVE"	"http://ipt.medobis.eu/archive.do?r=kalloni_saltworks_phd"	"2016-06-20"	"NORMAL"	"YES"
"kyklades"	"43524467-3aab-4074-8b2d-5c600f79c85e"	"SAMPLING_EVENT"	"true"	"898"	"0"	"21c0f0d1-6791-42db-af8e-556dcabca9b1"	"IPT_INSTALLATION"	"96d7ceab-ce9f-4c8a-8d3a-448a5637094a"	"Hellenic Center for Marine Research"	"Ocean Biogeographic Information System"	"Belgium"	"2016-06-01"	"DWC_ARCHIVE"	"http://ipt.medobis.eu/archive.do?r=kyklades"	"2016-06-01"	"NOT_MODIFIED"	"YES"
"Introduction. Report on the Danish Oceanographical Expeditions 1908-1910 to the Mediterranean and adjacent seas"	"06a0baa1-f98c-47df-9980-4d29fc6f1ca1"	"SAMPLING_EVENT"	"true"	"0"	"0"	"21c0f0d1-6791-42db-af8e-556dcabca9b1"	"IPT_INSTALLATION"	"96d7ceab-ce9f-4c8a-8d3a-448a5637094a"	"Hellenic Center for Marine Research"	"Ocean Biogeographic Information System"	"Belgium"	"2016-05-24"	"DWC_ARCHIVE"	"http://ipt.medobis.eu/archive.do?r=thorexpeditionintroduction"	"2016-06-06"	"NORMAL"	"YES"
"A.Vedel Taning 1918. A.7 Mediterranean Scopelidae (Saurus, Aulopus, Chlorophthalmus and Myctophum). Report on the Danish oceanographical expeditions 1908-10 to the Mediterranean and adjacent seas. Vol.II.Biology"	"d92e7617-616e-4928-9051-3d19cfb2ff0a"	"METADATA"	"true"	"0"	"0"	"21c0f0d1-6791-42db-af8e-556dcabca9b1"	"IPT_INSTALLATION"	"96d7ceab-ce9f-4c8a-8d3a-448a5637094a"	"Hellenic Center for Marine Research"	"Ocean Biogeographic Information System"	"Belgium"	"2016-05-24"					"YES"
"Harant H. 1939. Les fonds de peche pres d'Alexandrie. Ascidiacea (Cartes 1-5). Notes et Memoirs No 28. Institut fouad 1er d' Hydrobiologie et de peche, Egypt"	"45adf020-a40b-4530-bbc0-0242daa4bd6c"	"SAMPLING_EVENT"	"true"	"38"	"0"	"21c0f0d1-6791-42db-af8e-556dcabca9b1"	"IPT_INSTALLATION"	"96d7ceab-ce9f-4c8a-8d3a-448a5637094a"	"Hellenic Center for Marine Research"	"Ocean Biogeographic Information System"	"Belgium"	"2016-05-24"	"DWC_ARCHIVE"	"http://ipt.medobis.eu/archive.do?r=egyptexpeditionascidiacea"	"2016-07-11"	"NOT_MODIFIED"	"YES"
"Engraulidae-Clupeidae. Report on the Danish Oceanographical Expeditions 1908-1910 to the Mediterranean and adjacent seas"	"8aa1297b-dbc2-4818-8af5-2040e81876f2"	"SAMPLING_EVENT"	"true"	"646"	"0"	"21c0f0d1-6791-42db-af8e-556dcabca9b1"	"IPT_INSTALLATION"	"96d7ceab-ce9f-4c8a-8d3a-448a5637094a"	"Hellenic Center for Marine Research"	"Ocean Biogeographic Information System"	"Belgium"	"2016-05-23"	"DWC_ARCHIVE"	"http://ipt.medobis.eu/archive.do?r=thorexpedition_engraulidaeclupeidae"	"2016-06-21"	"NORMAL"	"YES"
"Danish Oceanographical expeditions 1908-1910 to the Mediterranean and adjacent seas-PelagicPolychaetes"	"f4620c32-cada-461f-9f33-73db78fdb712"	"SAMPLING_EVENT"	"true"	"883"	"0"	"21c0f0d1-6791-42db-af8e-556dcabca9b1"	"IPT_INSTALLATION"	"96d7ceab-ce9f-4c8a-8d3a-448a5637094a"	"Hellenic Center for Marine Research"	"Ocean Biogeographic Information System"	"Belgium"	"2016-05-22"	"DWC_ARCHIVE"	"http://ipt.medobis.eu/archive.do?r=thorexpedition_pelagicpolychaetes"	"2016-06-23"	"NORMAL"	"YES"
"Calcareous Algae. Report on the Danish Oceanographical Expeditions 1908-10 to the Mediterranean and adjacent seas"	"f7c73da5-09c4-49cb-9efa-3dda387a1373"	"SAMPLING_EVENT"	"true"	"59"	"0"	"21c0f0d1-6791-42db-af8e-556dcabca9b1"	"IPT_INSTALLATION"	"96d7ceab-ce9f-4c8a-8d3a-448a5637094a"	"Hellenic Center for Marine Research"	"Ocean Biogeographic Information System"	"Belgium"	"2016-05-22"	"DWC_ARCHIVE"	"http://ipt.medobis.eu/archive.do?r=thorexpedition_k1_calcareous_algae"	"2016-06-21"	"NORMAL"	"YES"
"The Fishery Grounds near Alexandria.VII.Decapoda.By Heinrich Balss.(1936)"	"9737046d-84e9-4e7d-8f11-5cbc0741da77"	"SAMPLING_EVENT"	"true"	"310"	"0"	"21c0f0d1-6791-42db-af8e-556dcabca9b1"	"IPT_INSTALLATION"	"96d7ceab-ce9f-4c8a-8d3a-448a5637094a"	"Hellenic Center for Marine Research"	"Ocean Biogeographic Information System"	"Belgium"	"2016-05-21"	"DWC_ARCHIVE"	"http://ipt.medobis.eu/archive.do?r=egyptexpeditiondecapoda"	"2016-07-11"	"NOT_MODIFIED"	"YES"
"The fishery ground near Alexandria. XXI. Tanaidacea and Isopoda by H.J. Larwood (1940)"	"7677de14-fdde-44fa-b673-d335c571b084"	"SAMPLING_EVENT"	"true"	"94"	"0"	"21c0f0d1-6791-42db-af8e-556dcabca9b1"	"IPT_INSTALLATION"	"96d7ceab-ce9f-4c8a-8d3a-448a5637094a"	"Hellenic Center for Marine Research"	"Ocean Biogeographic Information System"	"Belgium"	"2016-05-17"	"DWC_ARCHIVE"	"http://ipt.medobis.eu/archive.do?r=egyptexpeditiontanaidaceaisopoda"	"2016-07-11"	"NOT_MODIFIED"	"YES"
"Steuer Ad., 1939. The fishery grounds near Alexandria. XVIII Sipunculoidea, Phoronidea, Brachiopoda, Enteropneusta and Acrania. Notes and Memoirs No. 30. Fouad I Institute of Hydrobioloy and Fisheries, Egypt"	"7b0b3928-76bd-4b4b-b11b-c5f858e294d8"	"SAMPLING_EVENT"	"true"	"60"	"0"	"21c0f0d1-6791-42db-af8e-556dcabca9b1"	"IPT_INSTALLATION"	"96d7ceab-ce9f-4c8a-8d3a-448a5637094a"	"Hellenic Center for Marine Research"	"Ocean Biogeographic Information System"	"Belgium"	"2016-05-16"	"DWC_ARCHIVE"	"http://ipt.medobis.eu/archive.do?r=egyptexpeditionsipunculoideaphoronidaebrachiopodaenteropneustaacrania"	"2016-07-11"	"NOT_MODIFIED"	"YES"
"Steuer Ad., 1935. The fishery grounds near Alexandria. I Preliminary report. Notes and Memoirs No 8, Fisheries Research Directorate, Egypt"	"b030387f-25c8-4b9e-92f9-a7146566f36a"	"METADATA"	"true"	"0"	"0"	"21c0f0d1-6791-42db-af8e-556dcabca9b1"	"IPT_INSTALLATION"	"96d7ceab-ce9f-4c8a-8d3a-448a5637094a"	"Hellenic Center for Marine Research"	"Ocean Biogeographic Information System"	"Belgium"	"2016-05-15"					"YES"
"Broch H. 1935. The fishery grounds near Alexandria. III Cirripeds. Notes et Memoires No 10."	"57835641-1a48-49b9-8486-0d798f03d869"	"SAMPLING_EVENT"	"true"	"17"	"0"	"21c0f0d1-6791-42db-af8e-556dcabca9b1"	"IPT_INSTALLATION"	"96d7ceab-ce9f-4c8a-8d3a-448a5637094a"	"Hellenic Center for Marine Research"	"Ocean Biogeographic Information System"	"Belgium"	"2016-05-15"	"DWC_ARCHIVE"	"http://ipt.medobis.eu/archive.do?r=egyptexpeditioncirripeds"	"2016-07-11"	"NOT_MODIFIED"	"YES"
"Helfer H. 1936. The fishery grounds near Alexandria. VIII Pantopoda. Notes et memoires No 16"	"1ac031ba-8792-4c27-aac7-3e283043400d"	"SAMPLING_EVENT"	"true"	"8"	"0"	"21c0f0d1-6791-42db-af8e-556dcabca9b1"	"IPT_INSTALLATION"	"96d7ceab-ce9f-4c8a-8d3a-448a5637094a"	"Hellenic Center for Marine Research"	"Ocean Biogeographic Information System"	"Belgium"	"2016-05-12"	"DWC_ARCHIVE"	"http://ipt.medobis.eu/archive.do?r=egyptexpeditionpantopoda"	"2016-07-11"	"NOT_MODIFIED"	"YES"
"The fishery ground near Alexandria. XVI. Cumacea, stomatopoda, leptostraca by Adolf Steuer (1938)"	"740af3ba-80c8-42fd-a424-6e34513fa754"	"SAMPLING_EVENT"	"true"	"22"	"0"	"21c0f0d1-6791-42db-af8e-556dcabca9b1"	"IPT_INSTALLATION"	"96d7ceab-ce9f-4c8a-8d3a-448a5637094a"	"Hellenic Center for Marine Research"	"Ocean Biogeographic Information System"	"Belgium"	"2016-05-12"	"DWC_ARCHIVE"	"http://ipt.medobis.eu/archive.do?r=egyptexpeditioncumaceastomatopodaleptostacaea"	"2016-07-11"	"NOT_MODIFIED"	"YES"
"Fauvel P. 1937. Les fonds de pèche près d'Alexandrie. XI.Annélides Polychètes. Notes et memoires No 19"	"db9ab2e6-9e9b-41d9-88ab-5abf254bd5b2"	"SAMPLING_EVENT"	"true"	"303"	"0"	"21c0f0d1-6791-42db-af8e-556dcabca9b1"	"IPT_INSTALLATION"	"96d7ceab-ce9f-4c8a-8d3a-448a5637094a"	"Hellenic Center for Marine Research"	"Ocean Biogeographic Information System"	"Belgium"	"2016-05-12"	"DWC_ARCHIVE"	"http://ipt.medobis.eu/archive.do?r=egyptexpeditionpolychaeta"	"2016-07-11"	"NOT_MODIFIED"	"YES"
"Billards A. 1936. Les fonds de peches pres d Alexandrie. VI Hydroidea. Notes et memoires No 24"	"e4e19dc5-9d2a-427e-be9f-9632864d67d3"	"SAMPLING_EVENT"	"true"	"32"	"0"	"21c0f0d1-6791-42db-af8e-556dcabca9b1"	"IPT_INSTALLATION"	"96d7ceab-ce9f-4c8a-8d3a-448a5637094a"	"Hellenic Center for Marine Research"	"Ocean Biogeographic Information System"	"Belgium"	"2016-05-12"	"DWC_ARCHIVE"	"http://ipt.medobis.eu/archive.do?r=egyptexpeditionhydroidea"	"2016-07-11"	"NOT_MODIFIED"	"YES"
"kerkyra"	"5f04cc93-43ce-4ee2-8fe7-93a0bf5b8702"	"SAMPLING_EVENT"	"true"	"1189"	"0"	"21c0f0d1-6791-42db-af8e-556dcabca9b1"	"IPT_INSTALLATION"	"96d7ceab-ce9f-4c8a-8d3a-448a5637094a"	"Hellenic Center for Marine Research"	"Ocean Biogeographic Information System"	"Belgium"	"2016-04-07"	"DWC_ARCHIVE"	"http://ipt.medobis.eu/archive.do?r=kerkyra"	"2016-05-24"	"NOT_MODIFIED"	"YES"
"Polychaetes from two subtidal rocky shores of the North coast of Crete, collected for the NaGISA project 2007-2008"	"2aa6f6ad-515b-4aac-87cb-d3a60321b9f4"	"SAMPLING_EVENT"	"true"	"1359"	"0"	"21c0f0d1-6791-42db-af8e-556dcabca9b1"	"IPT_INSTALLATION"	"96d7ceab-ce9f-4c8a-8d3a-448a5637094a"	"Hellenic Center for Marine Research"	"Ocean Biogeographic Information System"	"Belgium"	"2016-04-07"	"DWC_ARCHIVE"	"http://ipt.medobis.eu/archive.do?r=nagisa_species_2007_2008"	"2016-04-07"	"NORMAL"	"YES"
"Eastern Mediterranean Syllidae from three locations, in Crete and Israel."	"da2f316a-7329-4115-89d9-825f8125963b"	"SAMPLING_EVENT"	"true"	"997"	"0"	"21c0f0d1-6791-42db-af8e-556dcabca9b1"	"IPT_INSTALLATION"	"96d7ceab-ce9f-4c8a-8d3a-448a5637094a"	"Hellenic Center for Marine Research"	"Ocean Biogeographic Information System"	"Belgium"	"2016-04-07"	"DWC_ARCHIVE"	"http://ipt.medobis.eu/archive.do?r=easternmedsyllids"	"2016-05-09"	"NOT_MODIFIED"	"YES"
"Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 – July 2011)"	"83ea4307-fd04-467c-af87-271a963841fc"	"SAMPLING_EVENT"	"true"	"1482"	"0"	"21c0f0d1-6791-42db-af8e-556dcabca9b1"	"IPT_INSTALLATION"	"96d7ceab-ce9f-4c8a-8d3a-448a5637094a"	"Hellenic Center for Marine Research"	"Ocean Biogeographic Information System"	"Belgium"	"2016-03-29"	"DWC_ARCHIVE"	"http://ipt.medobis.eu/archive.do?r=zoobenthos_in_amvrakikos_wetlands"	"2016-07-22"	"NORMAL"	"YES"
