"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"orphaned?(YES/NO)"
"FALO classification"	"8067e0a2-a26d-4831-8a1e-21b9118a299c"	"CHECKLIST"	"true"	"0"	"0"	"5a914de7-822f-414c-b6ef-9a4874d717bb"	"HTTP_INSTALLATION"	"fbca90e3-8aed-48b1-84e3-369afbd000ce"	"GBIF Secretariat"		"Denmark"	"2016-04-20"	"DWC_ARCHIVE"	"https://github.com/mdoering/ggi-families/archive/master.zip"	"2017-05-28"	"ABORT"	"YES"
"Prime Hoverfly (Insecta: Diptera: Syrphidae) Areas (PHA) as a conservation tool in Serbia"	"9060319d-ceb2-44ac-9423-efaa4a88214f"	"OCCURRENCE"	"true"	"2166"	"0"	"ebd6701c-52c3-47cf-97d5-6119b0ac67c2"	"IPT_INSTALLATION"	"088741fa-d695-4cec-ae3b-9c6dc4539ca1"	"Department of Biology and Ecology, Faculty of Sciences, University of Novi Sad, Serbia"		"unknown or invalid"	"2016-03-15"	"DWC_ARCHIVE"	"http://hoverf-biosense.rhcloud.com/archive.do?r=hfdata"	"2017-05-29"	"ABORT"	"YES"
"Rare vascular plant species in North-West of Kostroma region, Russia"	"f3466a0c-a211-4453-b4bc-7d6bb3438d54"	"OCCURRENCE"	"true"	"106"	"0"	"ab965317-0cb8-4b30-81fc-7609e05ea494"	"IPT_INSTALLATION"	"fcb15579-e732-4e2d-aa74-796787ef8c27"	"Institute of Mathematical Problems of Biology, Russian Academy of Sciences"		"unknown or invalid"	"2015-08-03"	"DWC_ARCHIVE"	"http://gbif.ru:8080/ipt-2.2.1/archive.do?r=rare_species_in_kostroma_region"	"2017-05-29"	"ABORT"	"YES"
"Report on the occurrence of synanthropic derived form of Chrysomya megacephala (Diptera: Calliphoridae) from Royapuram fishing harbour, Chennai, Tamil Nadu, India"	"41e719e4-15f2-4e25-9d97-647811680e08"	"CHECKLIST"	"true"	"1"	"3"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-07-01"	"DWC_ARCHIVE"	"http://bdj.pensoft.net/lib/ajax_srv/archive_download.php?archive_type=2&document_id=1111"	"2016-01-15"	"NORMAL"	"YES"
"The high alpine bee fauna (Hymenoptera: Apoidea) of the Zillertal Alps, Austria"	"bb6113e0-9d52-4828-b9a8-4a37c2d6e95d"	"CHECKLIST"	"true"	"47"	"49"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-06-24"	"DWC_ARCHIVE"	"http://bdj.pensoft.net/lib/ajax_srv/archive_download.php?archive_type=2&document_id=1115"	"2016-01-15"	"NORMAL"	"YES"
"Checklist of British and Irish Hymenoptera - Evanioidea"	"8521681e-f693-47b3-9197-75f98c9c8e89"	"CHECKLIST"	"true"	"0"	"23"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-06-24"	"DWC_ARCHIVE"	"http://bdj.pensoft.net/lib/ajax_srv/archive_download.php?archive_type=2&document_id=1116"	"2016-01-15"	"NORMAL"	"YES"
"Redescription of Platynaspis flavoguttata (Gorham) (Coleoptera, Coccinellidae) and notes on nomenclature of Platynaspis kapuri Chakraborty & Biswas"	"1bb01740-9d11-42b4-9536-9de9a87c8c5c"	"CHECKLIST"	"true"	"3"	"8"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-06-24"	"DWC_ARCHIVE"	"http://bdj.pensoft.net/lib/ajax_srv/archive_download.php?archive_type=2&document_id=1096"	"2016-01-15"	"NORMAL"	"YES"
"Guide to the Vascular Flora of the Savannas and Flatwoods of Shaken Creek Preserve and Vicinity (Pender & Onslow Counties, North Carolina, U.S.A.)"	"cdd9d4c9-6eb1-4616-8693-727e4fb1f407"	"CHECKLIST"	"true"	"0"	"787"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-06-24"	"DWC_ARCHIVE"	"http://bdj.pensoft.net/lib/ajax_srv/archive_download.php?archive_type=2&document_id=1099"	"2016-01-15"	"NORMAL"	"YES"
"Sphodromantis viridis (Forskal, 1775): New for Portugal and new records of the rare and small mantids Apteromantis aptera (Fuente, 1894) and Perlamantis allibertii Guérin-Méneville, 1843 in the country (Mantodea: Mantidae and Amorphoscelidae)"	"e0971ffe-6108-4a29-9007-d68a8eaa5b26"	"CHECKLIST"	"true"	"24"	"10"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-06-24"	"DWC_ARCHIVE"	"http://bdj.pensoft.net/lib/ajax_srv/archive_download.php?archive_type=2&document_id=1037"	"2016-01-15"	"NORMAL"	"YES"
"Tettigettalna josei (Boulard, 1982) (Hemiptera: Cicadoidea): first record in Spain, with notes on the distribution, genetic variation and behaviour of the species"	"88ce1fb7-0566-4486-bd63-9c1fbc422b30"	"CHECKLIST"	"true"	"16"	"3"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-06-24"	"DWC_ARCHIVE"	"http://bdj.pensoft.net/lib/ajax_srv/archive_download.php?archive_type=2&document_id=1045"	"2016-01-15"	"NORMAL"	"YES"
