"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"orphaned?(YES/NO)"
"Mammals in MZNA-VERT: project Loza"	"95ff948b-2f19-4c17-8057-a21bd58df93c"	"OCCURRENCE"	"true"	"220"	"0"	"2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6"	"IPT_INSTALLATION"	"2f390a80-56f3-11da-880b-b8a03c50a862"	"University of Navarra, Museum of Zoology"	"Spain"	"Spain"	"2016-04-06"	"DWC_ARCHIVE"	"http://www.gbif.es/ipt/archive.do?r=mzna_vert_mast_bdlz"	"2016-04-06"	"NORMAL"	"YES"
"Mammals in MZNA-VERT: project Human impacts in rivers of Navarra"	"d436cc89-f949-436a-a4c9-4b12552f760d"	"OCCURRENCE"	"true"	"2278"	"0"	"2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6"	"IPT_INSTALLATION"	"2f390a80-56f3-11da-880b-b8a03c50a862"	"University of Navarra, Museum of Zoology"	"Spain"	"Spain"	"2016-03-22"	"DWC_ARCHIVE"	"http://www.gbif.es/ipt/archive.do?r=mzna_vert_mast_aher"	"2016-03-29"	"NOT_MODIFIED"	"YES"
"Mammals in MZNA-VERT: project CAS"	"b1b5147c-0ff8-4c3c-aff0-c5d78aff44db"	"OCCURRENCE"	"true"	"201"	"0"	"2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6"	"IPT_INSTALLATION"	"2f390a80-56f3-11da-880b-b8a03c50a862"	"University of Navarra, Museum of Zoology"	"Spain"	"Spain"	"2016-03-22"	"DWC_ARCHIVE"	"http://www.gbif.es/ipt/archive.do?r=mzna_vert_mast_cas"	"2016-03-29"	"NOT_MODIFIED"	"YES"
"Bird census at the beach of Doñana Natural Space"	"9a57e938-3616-4f8c-985a-c9b66e7a1347"	"SAMPLING_EVENT"	"true"	"888"	"0"	"2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6"	"IPT_INSTALLATION"	"6b8da9ca-0648-4df3-9f0a-d43ab20a9412"	"Biological Station of Doñana (CSIC)"	"Spain"	"Spain"	"2016-01-15"	"DWC_ARCHIVE"	"http://www.gbif.es/ipt/archive.do?r=donana"	"2016-02-17"	"NORMAL"	"YES"
"Banco de Germoplasma del Jardín Botánico Atlántico"	"4e843bf6-3528-43c7-82b9-6f3df6fc9c0d"	"METADATA"	"true"	"2087"	"0"	"09b8b1f4-0b79-4867-aab8-7e45e77c28e5"	"IPT_INSTALLATION"	"7a646477-bd22-4832-902c-19d9671f3ab1"	"Asociación Ibero-macaronésica de Jardines Botánicos"	"Spain"	"Spain"	"2015-03-02"	"DWC_ARCHIVE"	"http://www.aimjb.net:8080/ipt/archive.do?r=jba_germplasmbank"	"2016-03-23"	"NOT_MODIFIED"	"YES"
"Colección de Artrópodos de la Asociación BIGA para el estudio del patrimonio natural de Galicia: ABIGA"	"87903da9-cd4e-4d72-9518-e9b6f5b0a0fb"	"OCCURRENCE"	"true"	"8038"	"0"	"2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6"	"IPT_INSTALLATION"	"d251a33c-5e57-4e2e-b1d0-6beb0adf369d"	"Colecciones naturales de la Asociación BIGA para el estudio del patrimonio natural de Galicia: FBIGA y ABIGA."	"Spain"	"Spain"	"2014-07-31"	"DWC_ARCHIVE"	"http://www.gbif.es/ipt/archive.do?r=biga-arthropoda"	"2016-02-05"	"NORMAL"	"YES"
"BOS Arthropod Collection of University of Oviedo (Spain): Opiliones unplanned collection events subset"	"7cebf715-c3b0-4477-99e7-f6f3aca27bbe"	"METADATA"	"true"	"0"	"0"	"2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6"	"IPT_INSTALLATION"	"95cb537c-74c5-4c1e-ae24-32e7ea08f380"	"Department of Organisms and Systems Biology. University of Oviedo"	"Spain"	"Spain"	"2014-02-10"					"YES"
"Fishes in MZNA-VERT: freshwater fishes of Hidalgo state (Mexico)"	"28c1c18b-64d8-4691-acdb-73e5653292f8"	"OCCURRENCE"	"true"	"7403"	"0"	"2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6"	"IPT_INSTALLATION"	"2f390a80-56f3-11da-880b-b8a03c50a862"	"University of Navarra, Museum of Zoology"	"Spain"	"Spain"	"2013-11-25"	"DWC_ARCHIVE"	"http://www.gbif.es/ipt/archive.do?r=pemx_mzna"	"2017-05-29"	"ABORT"	"YES"
"Iberian Peninsula and Balearic Island Bathynellacea (Crustacea, Syncarida) database"	"21934821-38c4-496f-a17b-e8dafd29eabf"	"OCCURRENCE"	"true"	"409"	"0"	"2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6"	"IPT_INSTALLATION"	"3059a14b-7b43-41ce-beef-873999911dfe"	"Spanish National Museum of Natural Sciences (CSIC)"	"Spain"	"Spain"	"2013-09-24"	"DWC_ARCHIVE"	"http://www.gbif.es/ipt/archive.do?r=mncn-aic"	"2017-05-29"	"ABORT"	"YES"
"Antarctic Porifera database from the Spanish benthic expeditions: Bentart, Gebrap and Ciemar"	"2f58500b-b776-4fe6-b2b9-cbb32e8cd615"	"OCCURRENCE"	"true"	"766"	"0"	"2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6"	"IPT_INSTALLATION"	"e3837372-dfa4-450c-af2f-ce7a91ce135c"	"Oceanographic Center of Gijon, Spanish Institute of Oceanography (IEO)"	"Spain"	"Spain"	"2013-09-23"	"DWC_ARCHIVE"	"http://www.gbif.es:8080/ipt/archive.do?r=poriferabentart"	"2017-05-29"	"ABORT"	"YES"
"Banco de Germoplasma de la Universidad Rey Juan Carlos"	"59bf2c83-1e3c-40c8-9437-39ce3d3d462c"	"OCCURRENCE"	"true"	"371"	"0"	"2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6"	"IPT_INSTALLATION"	"88dc5c67-b496-4dec-a361-3deee558a552"	"Universidad Rey Juan Carlos"	"Spain"	"Spain"	"2013-09-20"	"DWC_ARCHIVE"	"http://www.gbif.es/ipt/archive.do?r=germoplasma-urjc"	"2017-05-29"	"ABORT"	"YES"
"Sinfonevada: Dataset of Floristic diversity in Sierra Nevada forest (SE Spain)"	"db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472"	"OCCURRENCE"	"true"	"7920"	"0"	"2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6"	"IPT_INSTALLATION"	"4b4b2111-ee51-45f5-bf5e-f535f4a1c9dc"	"Sierra Nevada Global Change Observatory. Andalusian Environmental Center, University of Granada, Regional Government of Andalusia"	"Spain"	"Spain"	"2013-09-19"	"DWC_ARCHIVE"	"http://www.gbif.es:8080/ipt/archive.do?r=sinfonevada"	"2017-05-29"	"ABORT"	"YES"
"Entocytheridae (Ostracoda) World Database"	"05d46db0-71db-42c0-b5cb-b81120093f1d"	"OCCURRENCE"	"true"	"3509"	"0"	"2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6"	"IPT_INSTALLATION"	"bd79995f-0fc1-4ce8-a6e6-8eb75be35e7d"	"Ecology Unit, Department of Microbiology and Ecology, University of Valencia"	"Spain"	"Spain"	"2013-09-19"	"DWC_ARCHIVE"	"http://www.gbif.es:8080/ipt/archive.do?r=entocytheridae"	"2017-05-29"	"ABORT"	"YES"
"BOS Arthropod Collection of University of Oviedo (Spain): Opiliones"	"cc0e6535-6bb4-4703-a32c-077f5e1176cd"	"OCCURRENCE"	"true"	"3772"	"0"	"2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6"	"IPT_INSTALLATION"	"95cb537c-74c5-4c1e-ae24-32e7ea08f380"	"Department of Organisms and Systems Biology. University of Oviedo"	"Spain"	"Spain"	"2013-08-20"	"DWC_ARCHIVE"	"http://www.gbif.es/ipt/archive.do?r=bos-opi"	"2017-05-29"	"ABORT"	"YES"
"Base de datos de plantas vasculares del País Vasco: ARAN-EH"	"90ae13f0-288f-4108-b741-ac8a0f9e0878"	"OCCURRENCE"	"true"	"182790"	"0"	"99720c5a-f762-11e1-a439-00145eb45e9a"	"HTTP_INSTALLATION"	"823818f6-0696-4e29-bc4c-b6f3817535a7"	"Aranzadi Science Society"	"Spain"	"Spain"	"2013-02-18"	"DWC_ARCHIVE"	"http://www.gbif.es/ficheros/Data_Resource/ARAN-EH/DwCArchive.zip"	"2015-06-26"	"NOT_MODIFIED"	"YES"
"Institut Menorquí d'Estudis. Herbarium Generale Minoricae: HGM"	"3485d98d-3769-473f-b5f1-2ddc2ffb7708"	"OCCURRENCE"	"true"	"1470"	"0"	"99720c5a-f762-11e1-a439-00145eb45e9a"	"HTTP_INSTALLATION"	"6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862"	"GBIF-Spain"	"Spain"	"Spain"	"2013-02-18"	"DWC_ARCHIVE"	"http://www.gbif.es/ficheros/Data_Resource/HGM/DwCArchive.zip"	"2015-06-26"	"NOT_MODIFIED"	"YES"
"Institut Menorquí d'Estudis. Colección Histórica de Rodríguez Femenías, Herbarium Generale Minoricae: HGM-Femenias"	"cd47c589-73a4-4a89-b478-e6a2568f397a"	"OCCURRENCE"	"true"	"3947"	"0"	"99720c5a-f762-11e1-a439-00145eb45e9a"	"HTTP_INSTALLATION"	"6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862"	"GBIF-Spain"	"Spain"	"Spain"	"2013-02-18"	"DWC_ARCHIVE"	"http://www.gbif.es/ficheros/Data_Resource/HGM-Femenias/DwCArchive.zip"	"2015-06-26"	"NOT_MODIFIED"	"YES"
"Herbario del Jardín Botánico-Histórico La Concepción: HBC"	"bd2be1e9-f2fc-404a-8246-783af0055829"	"OCCURRENCE"	"true"	"4153"	"0"	"99720c5a-f762-11e1-a439-00145eb45e9a"	"HTTP_INSTALLATION"	"6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862"	"GBIF-Spain"	"Spain"	"Spain"	"2013-02-18"	"DWC_ARCHIVE"	"http://www.gbif.es/ficheros/Data_Resource/HBC/DwCArchive.zip"	"2015-06-26"	"NOT_MODIFIED"	"YES"
"Herbario de la Universidad de Granada: GDA"	"6a7575fa-ae03-4ba3-b322-2da15b5033e2"	"OCCURRENCE"	"true"	"55232"	"0"	"99720c5a-f762-11e1-a439-00145eb45e9a"	"HTTP_INSTALLATION"	"6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862"	"GBIF-Spain"	"Spain"	"Spain"	"2013-02-15"	"DWC_ARCHIVE"	"http://www.gbif.es/ficheros/Data_Resource/GDA/DwCArchive.zip"	"2015-06-26"	"NOT_MODIFIED"	"YES"
"Tercer Inventario Forestal Nacional. Ministerio de Agricultura, Alimentación y Medio Ambiente (España/Spain)"	"fab4c599-802a-4bfc-8a59-fc7515001bfa"	"OCCURRENCE"	"true"	"540150"	"0"	"99720c5a-f762-11e1-a439-00145eb45e9a"	"HTTP_INSTALLATION"	"6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862"	"GBIF-Spain"	"Spain"	"Spain"	"2012-12-19"	"DWC_ARCHIVE"	"http://www.gbif.es/ficheros/Data_Resource/IFN3/DwCArchive.zip"	"2015-06-26"	"NOT_MODIFIED"	"YES"
