"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"orphaned?(YES/NO)"
"Geneva Herbarium – General Collection (G)"	"f577c9f3-ae71-4278-b6bf-512ba1dfaa21"	"OCCURRENCE"	"true"	"188801"	"0"	"6040a0d6-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"43a26bbf-466a-4335-96cc-01d0656c614a"	"Conservatoire et Jardin botaniques de la Ville de Genève - G"	"Switzerland"	"Switzerland"	"2015-10-20"	"BIOCASE"	"http://provider.gbif.ch/biocase/pywrapper.cgi?dsa=Gbif_ch_CJB"	"2016-01-28"	"NORMAL"	"YES"
"Geneva Herbarium – De Candolle's Prodromus (G-DC)"	"63e9e22d-a649-4087-b39e-acb1651af077"	"OCCURRENCE"	"true"	"60102"	"0"	"6040a0d6-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"43a26bbf-466a-4335-96cc-01d0656c614a"	"Conservatoire et Jardin botaniques de la Ville de Genève - G"	"Switzerland"	"Switzerland"	"2015-10-20"	"BIOCASE"	"http://provider.gbif.ch/biocase/pywrapper.cgi?dsa=Gbif_ch_CJB"	"2016-01-19"	"NORMAL"	"YES"
"Geneva Herbarium – Burnat Herbarium (G-BU)"	"4b0ccaf3-36eb-4dc8-acba-6d08fb9004bb"	"OCCURRENCE"	"true"	"2954"	"0"	"6040a0d6-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"43a26bbf-466a-4335-96cc-01d0656c614a"	"Conservatoire et Jardin botaniques de la Ville de Genève - G"	"Switzerland"	"Switzerland"	"2015-10-20"	"BIOCASE"	"http://provider.gbif.ch/biocase/pywrapper.cgi?dsa=Gbif_ch_CJB"	"2016-01-19"	"NORMAL"	"YES"
"Herbarium of the University and ETH Zurich"	"db504a46-955f-45a6-bdc9-d9a7ebc85668"	"OCCURRENCE"	"true"	"0"	"0"	"fc86cd01-21d5-4960-ba38-5756c6e62fc5"	"IPT_INSTALLATION"	"605e7170-1123-11d9-8433-b8a03c50a862"	"Herbaria of the University and ETH Zürich (Z+ZT)"	"Switzerland"	"Switzerland"	"2013-12-09"	"DWC_ARCHIVE"	"http://www.herbarien.uzh.ch/ipt/archive.do?r=z_zt"	"2017-06-05"	"ABORT"	"YES"
"Parasitic Platyhelminthes Collections"	"82bb6da8-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"14830"	"0"	"60416b42-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"23539a57-1347-4dd3-af2a-cf9478563baa"	"Muséum d'histoire naturelle de la Ville de Genève - MHNG"	"Switzerland"	"Switzerland"	"2012-06-08"	"BIOCASE"	"http://provider.gbif.ch/biocase/pywrapper.cgi?dsa=Gbif_ch_MHNG"	"2016-01-19"	"NORMAL"	"YES"
"Invertebrate collection"	"82b0f51c-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"366"	"0"	"60427eba-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"593527a0-d2e9-4365-a583-cc683125dbb7"	"Naturhistorisches Museum Bern - NMBE"	"Switzerland"	"Switzerland"	"2012-05-29"	"BIOCASE"	"http://provider.gbif.ch/biocase/pywrapper.cgi?dsa=Gbif_ch_NMBE"	"2016-01-19"	"NORMAL"	"YES"
"Swiss National Orthoptera Databank"	"82afb86e-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"248680"	"0"	"604043ac-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"dc8aab12-94a0-47ce-b188-8fe30b91bb23"	"Centre Suisse de Cartographie de la Faune - CSCF"	"Switzerland"	"Switzerland"	"2012-05-29"	"BIOCASE"	"http://provider.gbif.ch/biocase/pywrapper.cgi?dsa=Gbif_ch_CSCF"	"2016-01-19"	"NORMAL"	"YES"
"Swiss National Dragonflies Databank"	"82ae8174-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"203976"	"0"	"604043ac-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"dc8aab12-94a0-47ce-b188-8fe30b91bb23"	"Centre Suisse de Cartographie de la Faune - CSCF"	"Switzerland"	"Switzerland"	"2012-05-29"	"BIOCASE"	"http://provider.gbif.ch/biocase/pywrapper.cgi?dsa=Gbif_ch_CSCF"	"2016-01-28"	"NORMAL"	"YES"
"Swiss National Butterflies Databank"	"82ad4e4e-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"581051"	"0"	"604043ac-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"dc8aab12-94a0-47ce-b188-8fe30b91bb23"	"Centre Suisse de Cartographie de la Faune - CSCF"	"Switzerland"	"Switzerland"	"2012-05-29"	"BIOCASE"	"http://provider.gbif.ch/biocase/pywrapper.cgi?dsa=Gbif_ch_CSCF"	"2016-01-29"	"NORMAL"	"YES"
"Swiss Psyllid (Hemiptera) Collections - Basel"	"82ac3414-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"2656"	"0"	"6042244c-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"6505c875-003c-472d-879f-2624c00070e5"	"Naturhistorisches Museum Basel - NMB"	"Switzerland"	"Switzerland"	"2012-05-29"	"BIOCASE"	"http://provider.gbif.ch/biocase/pywrapper.cgi?dsa=Gbif_ch_NMB"	"2016-01-19"	"NORMAL"	"YES"
