"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?(YES/NO)"	"orphaned?(YES/NO)"
"University of Dar es Salaam, Botany Department Plant Species"	"9bf16572-a62e-4a87-80b5-4847ca7ff31f"	"OCCURRENCE"	"true"	"0"	"0"	"47149b31-0645-43dd-b4db-bc652d9329c2"	"IPT_INSTALLATION"	"00aa4e95-ff37-445f-99a8-636afe047a59"	"University of Dar es Salaam, Department of Zoology"	"Tanzania, United Republic of"	"Tanzania, United Republic of"	"2012-04-02"	"DWC_ARCHIVE"	"http://www.tanbif.or.tz/ipt/archive.do?r=udsm_botany_plant_data"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"tanzania_plant_sepecimens"	"ac7b4266-e725-4088-a767-bb6d33c2c631"	"CHECKLIST"	"true"	"0"	"0"	"47149b31-0645-43dd-b4db-bc652d9329c2"	"IPT_INSTALLATION"	"76905ca0-1e21-11de-9ca0-cd203b273f5d"	"TanBIF"	"Tanzania, United Republic of"	"Tanzania, United Republic of"	"2011-10-12"	"DWC_ARCHIVE"	"http://www.tanbif.or.tz/ipt/archive.do?r=tanzania_plant_sepecimens"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Specie List of Mammals in Tanzania"	"d3a00072-72b7-4894-96c4-ecd008892eb4"	"OCCURRENCE"	"true"	"0"	"0"	"47149b31-0645-43dd-b4db-bc652d9329c2"	"IPT_INSTALLATION"	"76905ca0-1e21-11de-9ca0-cd203b273f5d"	"TanBIF"	"Tanzania, United Republic of"	"Tanzania, United Republic of"	"2011-10-06"	"DWC_ARCHIVE"	"http://www.tanbif.or.tz/ipt/archive.do?r=specie_list_of_mammals_in_tanzania"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"birds_of_tanzania"	"39131abf-97ea-41f2-9649-2e2e9c1a5d50"	"CHECKLIST"	"true"	"0"	"0"	"47149b31-0645-43dd-b4db-bc652d9329c2"	"IPT_INSTALLATION"	"76905ca0-1e21-11de-9ca0-cd203b273f5d"	"TanBIF"	"Tanzania, United Republic of"	"Tanzania, United Republic of"	"2011-08-15"	"DWC_ARCHIVE"	"http://www.tanbif.or.tz/ipt/archive.do?r=birds_of_tanzania"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"NHT flora"	"9860811e-94c0-4afd-8150-d0dee6d6fc06"	"OCCURRENCE"	"true"	"599"	"0"	"606533ce-f762-11e1-a439-00145eb45e9a"	"TAPIR_INSTALLATION"	"76905ca0-1e21-11de-9ca0-cd203b273f5d"	"TanBIF"	"Tanzania, United Republic of"	"Tanzania, United Republic of"	"2010-05-07"	"DWC_ARCHIVE"	"http://www.tanbif.or.tz/ipt/resource/5e13cb8e-6725-42b2-8ee4-e4950246434c/archive-dwc.zip"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"Botany"	"997d9dc7-2aaf-45cc-a26c-9626a061a6ae"	"OCCURRENCE"	"true"	"0"	"0"	"606533ce-f762-11e1-a439-00145eb45e9a"	"TAPIR_INSTALLATION"	"76905ca0-1e21-11de-9ca0-cd203b273f5d"	"TanBIF"	"Tanzania, United Republic of"	"Tanzania, United Republic of"	"2010-05-07"	"DWC_ARCHIVE"	"http://www.tanbif.or.tz/ipt/resource/2ea503c2-3766-4986-bd1f-1a11489fdd62/archive-dwc.zip"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"Flora of tanzania"	"3b675090-f91c-11dd-af50-b8a03c50a862"	"OCCURRENCE"	"true"	"1803"	"0"	"60657028-f762-11e1-a439-00145eb45e9a"	"TAPIR_INSTALLATION"	"76905ca0-1e21-11de-9ca0-cd203b273f5d"	"TanBIF"	"Tanzania, United Republic of"	"Tanzania, United Republic of"	"2010-05-04"	"TAPIR"	"http://www.tanbif.or.tz/tapir//tapir.php/tzflora"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"Amaranthaceae Observations Tanzania and Kenia"	"dab43f30-58ba-11dd-89f0-b8a03c50a862"	"OCCURRENCE"	"true"	"72"	"0"	"47149b31-0645-43dd-b4db-bc652d9329c2"	"IPT_INSTALLATION"	"76905ca0-1e21-11de-9ca0-cd203b273f5d"	"TanBIF"	"Tanzania, United Republic of"	"Tanzania, United Republic of"	"2010-05-04"					"FALSE"	"YES"
"FTEA"	"71cd955c-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"false"	"1"	"0"	"47149b31-0645-43dd-b4db-bc652d9329c2"	"IPT_INSTALLATION"	"76905ca0-1e21-11de-9ca0-cd203b273f5d"	"TanBIF"	"Tanzania, United Republic of"	"Tanzania, United Republic of"	"2009-08-27"					"FALSE"	"YES"
"NHT_flora"	"96879172-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"false"	"3538"	"0"	"47149b31-0645-43dd-b4db-bc652d9329c2"	"IPT_INSTALLATION"	"76905ca0-1e21-11de-9ca0-cd203b273f5d"	"TanBIF"	"Tanzania, United Republic of"	"Tanzania, United Republic of"	"2009-05-04"					"FALSE"	"YES"
