"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?"	"orphaned?"	"numImages"	"online?"
"INPN - Données flore des CBN agrégées par la FCBN"	"75956ee6-1a2b-4fa3-b3e8-ccda64ce6c2d"	"OCCURRENCE"	"true"	"20999334"	"0"	"791e3715-7452-4dd0-a906-db21a3852427"	"IPT_INSTALLATION"	"1928bdf0-f5d2-11dc-8c12-b8a03c50a862"	"SPN - Service du Patrimoine naturel, Muséum national d'Histoire naturelle, Paris"	"France"	"France"	"2015-07-17"	"DWC_ARCHIVE"	"http://ipt.gbif.fr/archive.do?r=inpn_fcbn_flora"	"2016-06-28"	"NORMAL"	"FALSE"	"YES"	"0"	"FALSE"
"French Grapevine Genetic Resources Center"	"8647fbe0-3ba4-4ff3-91b7-1ccd2c9cc7bc"	"OCCURRENCE"	"true"	"11622"	"0"	"791e3715-7452-4dd0-a906-db21a3852427"	"IPT_INSTALLATION"	"7c4f3b54-fc4b-42f3-a664-3ca93d12e10f"	"Institut National de la Recherche Agronomique (INRA)"	"France"	"France"	"2014-10-21"	"DWC_ARCHIVE"	"http://www.gbif.fr/ipt/archive.do?r=french_grapevine_genetic_resources_center"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Collection Paleobotanique de l'Universite Paris 6"	"81880628-c616-417e-8d1a-d519577c2087"	"OCCURRENCE"	"true"	"880"	"0"	"791e3715-7452-4dd0-a906-db21a3852427"	"IPT_INSTALLATION"	"9c6afd40-4d63-11db-9eae-b8a03c50a862"	"Laboratoire de Paléobotanique et Paléoécologie"	"France"	"France"	"2014-08-25"	"DWC_ARCHIVE"	"http://www.gbif.fr/ipt/archive.do?r=palbot"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Vegetatively propagated Allium collection"	"8e7b1108-29c4-4af6-8109-d02a00610c1c"	"OCCURRENCE"	"true"	"150"	"0"	"791e3715-7452-4dd0-a906-db21a3852427"	"IPT_INSTALLATION"	"7c4f3b54-fc4b-42f3-a664-3ca93d12e10f"	"Institut National de la Recherche Agronomique (INRA)"	"France"	"France"	"2014-08-08"	"DWC_ARCHIVE"	"http://www.gbif.fr/ipt/archive.do?r=inra_aillum"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Centre de Ressources Biologiques de l'Institut Pasteur"	"f03cf033-66d8-4562-bace-f0417532c110"	"OCCURRENCE"	"true"	"9329"	"0"	"791e3715-7452-4dd0-a906-db21a3852427"	"IPT_INSTALLATION"	"30d2bd90-12aa-11dc-80c8-b8a03c50a862"	"Centre de Ressources Biologiques de l Institut Pasteur"	"France"	"France"	"2014-08-05"	"DWC_ARCHIVE"	"http://www.gbif.fr/ipt/archive.do?r=crbip"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Microbial Observatory of the Laboratoire Arago"	"06767399-de21-42de-90ef-2d29e5e301fb"	"OCCURRENCE"	"true"	"457"	"0"	"791e3715-7452-4dd0-a906-db21a3852427"	"IPT_INSTALLATION"	"3857ca00-7aaa-11de-927e-b8a03c50a862"	"Observatoire Océanologique de Banyuls sur mer"	"France"	"France"	"2014-08-05"	"DWC_ARCHIVE"	"http://www.gbif.fr/ipt/archive.do?r=mola"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Herbier de Nouvelle-Calédonie"	"4443b1f2-231b-4e60-b343-8c93fba93982"	"OCCURRENCE"	"true"	"32109"	"0"	"791e3715-7452-4dd0-a906-db21a3852427"	"IPT_INSTALLATION"	"a6de8f30-d931-11db-973c-b8a03c50a862"	"Université de Strasbourg"	"France"	"France"	"2014-07-30"	"DWC_ARCHIVE"	"http://www.gbif.fr/ipt/archive.do?r=cal"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"The French Collection of Medicago truncatula"	"d74a4963-4f71-45a5-82ca-1d81d1ce4321"	"OCCURRENCE"	"true"	"2387"	"0"	"791e3715-7452-4dd0-a906-db21a3852427"	"IPT_INSTALLATION"	"7c4f3b54-fc4b-42f3-a664-3ca93d12e10f"	"Institut National de la Recherche Agronomique (INRA)"	"France"	"France"	"2014-02-17"	"DWC_ARCHIVE"	"http://www.gbif.fr:8080/ipt/archive.do?r=medicago_truncatula_inra-montpellier"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"The French National Collection of forage and turf species (grasses and legumes)."	"59d46416-34e8-4da6-8d6f-1e3fc7b1b88b"	"OCCURRENCE"	"true"	"537"	"0"	"791e3715-7452-4dd0-a906-db21a3852427"	"IPT_INSTALLATION"	"0b5846f7-20b5-410a-93c5-5de83b522deb"	"BRC Forage and turf, INRA Lusignan"	"France"	"France"	"2012-03-12"	"DWC_ARCHIVE"	"http://www.gbif.fr:8080/ipt/archive.do?r=brcforageturf"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Observations du Conservatoire botanique national du Bassin parisien."	"857aa892-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"4697245"	"0"	"603b8e02-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"6bcc0290-6e76-11db-bcd5-b8a03c50a862"	"Conservatoire botanique national du Bassin parisien"	"France"	"France"	"2007-03-13"					"FALSE"	"YES"	"0"	"FALSE"
