"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?"	"orphaned?"	"numImages"	"online?"
"Trichoptera of the UNESCO biosphere reserve of the Palatinate forest / North Vosges (Germany, France)"	"0ebf1f88-0b36-4600-8806-d32c36928b8e"	"OCCURRENCE"	"true"	"897"	"0"	"f0bbf5b6-82be-4867-bede-4714d3d08b48"	"HTTP_INSTALLATION"	"041203aa-ec0f-4125-8553-10ebc00b4357"	"University of Kaiserslautern"	"Germany"	"Germany"	"2015-09-14"	"DWC_ARCHIVE"	"http://www-user.rhrk.uni-kl.de/~kusch/Trichoptera_Kaiserslautern.zip"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Lepidoptera of the UNESCO biosphere reserve of the Palatinate forest / North Vosges (Germany, France)"	"7106d2ff-f04d-436f-91b5-ff96b0d44fc5"	"OCCURRENCE"	"true"	"2303"	"0"	"f0bbf5b6-82be-4867-bede-4714d3d08b48"	"HTTP_INSTALLATION"	"041203aa-ec0f-4125-8553-10ebc00b4357"	"University of Kaiserslautern"	"Germany"	"Germany"	"2015-09-14"	"DWC_ARCHIVE"	"http://www-user.rhrk.uni-kl.de/~kusch/Lepidoptera_Kaiserslautern.zip"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Herbarium Erlangense"	"ec81f6d4-e92f-480c-a73a-a4b71ba435cc"	"OCCURRENCE"	"true"	"16246"	"0"	"38290c67-22d0-4582-b288-641c29e913a2"	"BIOCASE_INSTALLATION"	"833f0d81-717d-4f11-95b0-0f738545adad"	"Friedrich-Alexander University of Erlangen-Nürnberg"	"Germany"	"Germany"	"2015-06-09"	"BIOCASE"	"http://sammlung.pal.uni-erlangen.de/biocase/pywrapper.cgi?dsa=herbariumerlangense"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"2151"	"FALSE"
"Palaeobiology collection, FAU Erlangen"	"11a9393f-2fe9-4404-ad1d-3f2f6c1a6376"	"OCCURRENCE"	"true"	"2007"	"0"	"38290c67-22d0-4582-b288-641c29e913a2"	"BIOCASE_INSTALLATION"	"833f0d81-717d-4f11-95b0-0f738545adad"	"Friedrich-Alexander University of Erlangen-Nürnberg"	"Germany"	"Germany"	"2014-03-19"	"BIOCASE"	"http://sammlung.pal.uni-erlangen.de/biocase/pywrapper.cgi?dsa=collectionpalaeobiology"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"VegetWeb - Repositorium von Vegetationsaufnahmen a"	"ad0d1a24-e952-11e2-961f-00145eb45e9a"	"OCCURRENCE"	"true"	"763412"	"0"	"60489688-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"43cab2b0-0653-11d9-acb2-b8a03c50a862"	"Bundesamt für Naturschutz / Netzwerk Phytodiversität Deutschland"	"Germany"	"Germany"	"2013-07-10"					"FALSE"	"YES"	"0"	"FALSE"
"Bryophyte herbarium, Göttingen (GOET)"	"cce04086-6c7c-11e2-90ce-00145eb45e9a"	"OCCURRENCE"	"true"	"34603"	"0"	"60448304-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"59c81290-df0e-11d8-b22e-b8a03c50a862"	"Georg-August-Universität Göttingen, Albrecht-von-Haller-Institut für Pflanzenwissenschaften, Abteilung Systematische Botanik"	"Germany"	"Germany"	"2013-02-01"					"FALSE"	"YES"	"0"	"FALSE"
"Type herbarium, Göttingen (GOET)"	"c40738de-6c7c-11e2-90ce-00145eb45e9a"	"OCCURRENCE"	"true"	"10395"	"0"	"6044df48-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"59c81290-df0e-11d8-b22e-b8a03c50a862"	"Georg-August-Universität Göttingen, Albrecht-von-Haller-Institut für Pflanzenwissenschaften, Abteilung Systematische Botanik"	"Germany"	"Germany"	"2013-02-01"					"FALSE"	"YES"	"0"	"FALSE"
"Forster herbarium, Göttingen (GOET)"	"c18ebb72-6c7c-11e2-90ce-00145eb45e9a"	"OCCURRENCE"	"true"	"332"	"0"	"60442558-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"59c81290-df0e-11d8-b22e-b8a03c50a862"	"Georg-August-Universität Göttingen, Albrecht-von-Haller-Institut für Pflanzenwissenschaften, Abteilung Systematische Botanik"	"Germany"	"Germany"	"2013-02-01"					"FALSE"	"YES"	"0"	"FALSE"
"MfN Fish Collection, Zoology"	"86417f58-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"1684"	"0"	"602fd5ee-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"10980920-6dad-11da-ad13-b8a03c50a862"	"Museum für Naturkunde Berlin"	"Germany"	"Germany"	"2007-07-25"					"FALSE"	"YES"	"0"	"FALSE"
"Visual Plants (144.41.33.158) - Plants from Costa Rica; Annette Wolter"	"863dd268-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"4"	"0"	"6030c314-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"5353b120-c0bc-11db-b2dd-b8a03c50a862"	"Institute of Botany, University of Hohenheim"	"Germany"	"Germany"	"2007-07-17"					"FALSE"	"YES"	"0"	"FALSE"
"Visual Plants (144.41.33.158) - Herbarium specimens from "LOJA" Ecuador"	"863cbacc-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"11"	"0"	"6030c314-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"5353b120-c0bc-11db-b2dd-b8a03c50a862"	"Institute of Botany, University of Hohenheim"	"Germany"	"Germany"	"2007-07-17"					"FALSE"	"YES"	"0"	"FALSE"
"Visual Plants (144.41.33.158) - Herbarium specimen from "BIEL", Germany"	"863ba0d8-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"138"	"0"	"6030c314-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"5353b120-c0bc-11db-b2dd-b8a03c50a862"	"Institute of Botany, University of Hohenheim"	"Germany"	"Germany"	"2007-07-17"					"FALSE"	"YES"	"0"	"FALSE"
"Visual Plants (144.41.33.158) - Herbarium specimen from "USJ", Costa Rica"	"863a8ee6-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"504"	"0"	"6030c314-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"5353b120-c0bc-11db-b2dd-b8a03c50a862"	"Institute of Botany, University of Hohenheim"	"Germany"	"Germany"	"2007-07-17"					"FALSE"	"YES"	"0"	"FALSE"
"Visual Plants (144.41.33.158) - Botanical garden, University of Hohenheim, Germany"	"86397e70-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"836"	"0"	"6030c314-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"5353b120-c0bc-11db-b2dd-b8a03c50a862"	"Institute of Botany, University of Hohenheim"	"Germany"	"Germany"	"2007-07-17"					"FALSE"	"YES"	"0"	"FALSE"
"Visual Plants (144.41.33.158) - Herbarium specimen from "EA", Kenya"	"863844d8-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"1251"	"0"	"6030c314-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"5353b120-c0bc-11db-b2dd-b8a03c50a862"	"Institute of Botany, University of Hohenheim"	"Germany"	"Germany"	"2007-07-17"					"FALSE"	"YES"	"0"	"FALSE"
"Visual Plants (144.41.33.158) - Plants from Costa Rica; Helmut Dalitz"	"86372972-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"235"	"0"	"6030c314-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"5353b120-c0bc-11db-b2dd-b8a03c50a862"	"Institute of Botany, University of Hohenheim"	"Germany"	"Germany"	"2007-07-17"					"FALSE"	"YES"	"0"	"FALSE"
