"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?"	"orphaned?"	"numImages"	"online?"
"BioGIS - Hamaarag"	"70575325-3566-40cd-95d2-7747822170ad"	"OCCURRENCE"	"true"	"7774"	"0"	"85db39a3-e80c-43a9-8b68-2b64429ecbdc"	"IPT_INSTALLATION"	"4f160e00-329d-11d9-8439-b8a03c50a862"	"Israel Nature and Parks Authority"	"Israel"	"Israel"	"2014-09-21"	"DWC_ARCHIVE"	"http://132.64.68.168:8080/ipt-2.1.1/archive.do?r=ds63"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"BioGIS - Bats - SPNI"	"9c76ffd1-36b0-47ab-baf9-d4ec14202872"	"OCCURRENCE"	"true"	"3786"	"0"	"85db39a3-e80c-43a9-8b68-2b64429ecbdc"	"IPT_INSTALLATION"	"4f160e00-329d-11d9-8439-b8a03c50a862"	"Israel Nature and Parks Authority"	"Israel"	"Israel"	"2014-09-21"	"DWC_ARCHIVE"	"http://132.64.68.168:8080/ipt-2.1.1/archive.do?r=ds53"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"BioGIS - Israeli Lepidopterists Society"	"9f113fae-1666-4bdc-99af-4d0c94beb936"	"OCCURRENCE"	"true"	"3554"	"0"	"85db39a3-e80c-43a9-8b68-2b64429ecbdc"	"IPT_INSTALLATION"	"4f160e00-329d-11d9-8439-b8a03c50a862"	"Israel Nature and Parks Authority"	"Israel"	"Israel"	"2014-09-21"	"DWC_ARCHIVE"	"http://132.64.68.168:8080/ipt-2.1.1/archive.do?r=ds50"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"BioGIS - Mammals - SPNI"	"5f20e856-9c2d-424f-b2c7-7092c1d6908f"	"OCCURRENCE"	"true"	"3327"	"0"	"85db39a3-e80c-43a9-8b68-2b64429ecbdc"	"IPT_INSTALLATION"	"4f160e00-329d-11d9-8439-b8a03c50a862"	"Israel Nature and Parks Authority"	"Israel"	"Israel"	"2014-09-21"	"DWC_ARCHIVE"	"http://132.64.68.168:8080/ipt-2.1.1/archive.do?r=ds49"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"BioGIS - Vascular plants - SPNI"	"efb9eac6-38c2-4c49-a4a3-598fd2a9f982"	"OCCURRENCE"	"true"	"9459"	"0"	"85db39a3-e80c-43a9-8b68-2b64429ecbdc"	"IPT_INSTALLATION"	"4f160e00-329d-11d9-8439-b8a03c50a862"	"Israel Nature and Parks Authority"	"Israel"	"Israel"	"2014-09-21"	"DWC_ARCHIVE"	"http://132.64.68.168:8080/ipt-2.1.1/archive.do?r=ds47"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"BioGIS - Vascular plants - Israeli Gene Bank"	"25314346-645c-4197-8339-607c3ef4e273"	"OCCURRENCE"	"true"	"7479"	"0"	"85db39a3-e80c-43a9-8b68-2b64429ecbdc"	"IPT_INSTALLATION"	"4f160e00-329d-11d9-8439-b8a03c50a862"	"Israel Nature and Parks Authority"	"Israel"	"Israel"	"2014-09-21"	"DWC_ARCHIVE"	"http://132.64.68.168:8080/ipt-2.1.1/archive.do?r=ds46"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"BioGIS - Bats - Asaf Tsoar database"	"2ea221ef-6fa8-4bac-b23e-be2a2e7feb7d"	"OCCURRENCE"	"true"	"767"	"0"	"85db39a3-e80c-43a9-8b68-2b64429ecbdc"	"IPT_INSTALLATION"	"4f160e00-329d-11d9-8439-b8a03c50a862"	"Israel Nature and Parks Authority"	"Israel"	"Israel"	"2014-09-21"	"DWC_ARCHIVE"	"http://132.64.68.168:8080/ipt-2.1.1/archive.do?r=ds33"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"BioGIS - Vascular plants - A. Danin's point database"	"5f4c1155-2025-4e96-9ba0-896b712f6841"	"OCCURRENCE"	"true"	"39766"	"0"	"85db39a3-e80c-43a9-8b68-2b64429ecbdc"	"IPT_INSTALLATION"	"4f160e00-329d-11d9-8439-b8a03c50a862"	"Israel Nature and Parks Authority"	"Israel"	"Israel"	"2014-09-21"	"DWC_ARCHIVE"	"http://132.64.68.168:8080/ipt-2.1.1/archive.do?r=ds5"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"BioGIS - Vascular plants - A. Danin's grid database"	"863c1269-5f38-4862-a161-ea3a50654d4f"	"OCCURRENCE"	"true"	"125449"	"0"	"85db39a3-e80c-43a9-8b68-2b64429ecbdc"	"IPT_INSTALLATION"	"4f160e00-329d-11d9-8439-b8a03c50a862"	"Israel Nature and Parks Authority"	"Israel"	"Israel"	"2014-09-21"	"DWC_ARCHIVE"	"http://132.64.68.168:8080/ipt-2.1.1/archive.do?r=ds4"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"BioGIS - Vascular plants - INPA database"	"5a6b5bd4-cf31-4d5f-9a85-a331b7178a77"	"OCCURRENCE"	"true"	"84521"	"0"	"85db39a3-e80c-43a9-8b68-2b64429ecbdc"	"IPT_INSTALLATION"	"4f160e00-329d-11d9-8439-b8a03c50a862"	"Israel Nature and Parks Authority"	"Israel"	"Israel"	"2014-09-14"	"DWC_ARCHIVE"	"http://132.64.68.168:8080/ipt-2.1.1/archive.do?r=ds3"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
