"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?"	"orphaned?"	"numImages"	"online?"
"Prime Hoverfly (Insecta: Diptera: Syrphidae) Areas (PHA) as a conservation tool in Serbia"	"9060319d-ceb2-44ac-9423-efaa4a88214f"	"OCCURRENCE"	"true"	"2166"	"0"	"ebd6701c-52c3-47cf-97d5-6119b0ac67c2"	"IPT_INSTALLATION"	"088741fa-d695-4cec-ae3b-9c6dc4539ca1"	"Department of Biology and Ecology, Faculty of Sciences, University of Novi Sad, Serbia"		"unknown or invalid"	"2016-03-15"	"DWC_ARCHIVE"	"http://hoverf-biosense.rhcloud.com/archive.do?r=hfdata"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Rare vascular plant species in North-West of Kostroma region, Russia"	"f3466a0c-a211-4453-b4bc-7d6bb3438d54"	"OCCURRENCE"	"true"	"106"	"0"	"ab965317-0cb8-4b30-81fc-7609e05ea494"	"IPT_INSTALLATION"	"fcb15579-e732-4e2d-aa74-796787ef8c27"	"Institute of Mathematical Problems of Biology, Russian Academy of Sciences"		"unknown or invalid"	"2015-08-03"	"DWC_ARCHIVE"	"http://gbif.ru:8080/ipt-2.2.1/archive.do?r=rare_species_in_kostroma_region"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Checklist of Fishes from Madagascar Reef, Campeche Bank, México"	"8743becd-77f2-4982-a115-02f167f52cae"	"CHECKLIST"	"true"	"49"	"99"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-05-08"	"DWC_ARCHIVE"	"http://pensoft.net/dwc/bdj/checklist_1100.zip"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"A review of the subfamily Acaenitinae Förster, 1869 (Hymenoptera, Ichneumonidae) from Ukrainian Carpathians"	"15f4cb28-ede1-422c-a2d6-efbd43682c61"	"CHECKLIST"	"true"	"32"	"14"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-05-08"	"DWC_ARCHIVE"	"http://pensoft.net/dwc/bdj/checklist_1008.zip"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Studies in Hawaiian Diptera I: New Distributional Records for Endemic Asteia (Asteiidae)"	"2fad476b-71d3-4743-9ab5-b782693974f8"	"CHECKLIST"	"true"	"108"	"15"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-05-08"	"DWC_ARCHIVE"	"http://pensoft.net/dwc/bdj/checklist_1010.zip"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Postia alni Niemelä & Vampola (Basidiomycota, Polyporales) – member of the problematic Postia caesia complex – has been found for the first time in Hungary"	"1372b1bf-9c86-401e-ae32-d37d5a019652"	"CHECKLIST"	"true"	"2"	"3"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-05-08"	"DWC_ARCHIVE"	"http://pensoft.net/dwc/bdj/checklist_1034.zip"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"New records of Microgaster deductor Nixon, 1968 (Hymenoptera: Braconidae: Microgastrinae) for the Holarctic region, with comments on its historical distribution"	"3b6eb0c3-6695-4869-80b8-910ac0fd6537"	"CHECKLIST"	"true"	"10"	"7"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-05-08"	"DWC_ARCHIVE"	"http://pensoft.net/dwc/bdj/checklist_1040.zip"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"First record of Orobdella kawakatsuorum (Hirudinida: Arhynchobdellida: Erpobdelliformes) from Kunashir Island, Kuril Islands"	"c21fb84e-d228-46ec-a3a0-d90beedd3ea3"	"CHECKLIST"	"true"	"2"	"7"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-05-08"	"DWC_ARCHIVE"	"http://pensoft.net/dwc/bdj/checklist_1058.zip"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"First record of the genus Echthronomas Forster, 1869 (Hymenoptera, Ichneumonidae, Campopleginae) for the fauna of Ukraine"	"da38edde-3b90-4d0e-8b46-e733c0ba1fe2"	"CHECKLIST"	"true"	"3"	"8"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-05-08"	"DWC_ARCHIVE"	"http://pensoft.net/dwc/bdj/checklist_1006.zip"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"First record of Eggplant Mealybug, Coccidohystrix insolita (Hemiptera: Pseudococcidae), on Guam: Potentially a major pest"	"a5262686-e9bc-45b4-8b4f-ec2d2321bb3b"	"CHECKLIST"	"true"	"1"	"7"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-05-08"	"DWC_ARCHIVE"	"http://pensoft.net/dwc/bdj/checklist_1042.zip"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
