"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?"	"orphaned?"	"numImages"	"online?"
"Centre d'Estudis Avançats de Blanes. Limnological Observatory of the Pyrenees - Diatomeas de lagos pirenaícos"	"8119a2da-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"10789"	"0"	"f81f20ec-786f-413f-9c17-61cc0010d138"	"TAPIR_INSTALLATION"	"cf88ad28-d04c-4dd6-9d4f-7b137fbecd15"	"Centre for Advanced Studies of Blanes, CSIC"	"Spain"	"Spain"	"2011-08-18"					"FALSE"	"YES"	"0"	"FALSE"
"Centre d'Estudis Avançats de Blanes. Limnological Observatory of the Pyrenees - Rotíferos y crustáceos en lagos pirenaicos"	"81165620-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"202"	"0"	"f81f20ec-786f-413f-9c17-61cc0010d138"	"TAPIR_INSTALLATION"	"cf88ad28-d04c-4dd6-9d4f-7b137fbecd15"	"Centre for Advanced Studies of Blanes, CSIC"	"Spain"	"Spain"	"2011-08-18"					"FALSE"	"YES"	"0"	"FALSE"
"Universidad de Barcelona. Grup dInvestigació Geobotánica i Cartografia de la Vegetació"	"8112b722-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"4688"	"0"	"f81f20ec-786f-413f-9c17-61cc0010d138"	"TAPIR_INSTALLATION"	"4baf4e1d-f960-49d1-b09a-8012bd38eb20"	"Faculty of Biology, University of Barcelona"	"Spain"	"Spain"	"2011-08-18"					"FALSE"	"YES"	"0"	"FALSE"
"Centre d'Estudis Avançats de Blanes. Macròfits Pirineu"	"81119a40-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"117"	"0"	"f81f20ec-786f-413f-9c17-61cc0010d138"	"TAPIR_INSTALLATION"	"cf88ad28-d04c-4dd6-9d4f-7b137fbecd15"	"Centre for Advanced Studies of Blanes, CSIC"	"Spain"	"Spain"	"2011-08-18"					"FALSE"	"YES"	"0"	"FALSE"
"Centre d'Estudis Avançats de Blanes. Limnological Observatory of the Pyrenees - Fitoplancton de lagos pirenaicos"	"811076f6-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"764"	"0"	"f81f20ec-786f-413f-9c17-61cc0010d138"	"TAPIR_INSTALLATION"	"cf88ad28-d04c-4dd6-9d4f-7b137fbecd15"	"Centre for Advanced Studies of Blanes, CSIC"	"Spain"	"Spain"	"2011-08-18"					"FALSE"	"YES"	"0"	"FALSE"
"Centre d'Estudis Avançats de Blanes, Macroinvertebrados Limno"	"810f3e62-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"362"	"0"	"f81f20ec-786f-413f-9c17-61cc0010d138"	"TAPIR_INSTALLATION"	"cf88ad28-d04c-4dd6-9d4f-7b137fbecd15"	"Centre for Advanced Studies of Blanes, CSIC"	"Spain"	"Spain"	"2011-08-18"					"FALSE"	"YES"	"0"	"FALSE"
"Inventario de Flora y Vegetación del Municipio de Enguídanos (Cuenca), 2010. Asociación de Desarrollo Integral de la Manchuela Conquense (ADIMAN)"	"7f57f884-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"5291"	"0"	"f81f20ec-786f-413f-9c17-61cc0010d138"	"TAPIR_INSTALLATION"	"ea28f930-aa50-4bee-b702-76ead24cabbb"	"Association for the Integral Development of the Manchuela Conquense area"	"Spain"	"Spain"	"2011-07-08"					"FALSE"	"YES"	"0"	"FALSE"
"Inventario Fauna Vertebrada de la Manchuela Conquense (CUENCA), 2007. Asociación de Desarrollo Integral de la Manchuela Conquense (ADIMAN)"	"7f50181c-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"2790"	"0"	"f81f20ec-786f-413f-9c17-61cc0010d138"	"TAPIR_INSTALLATION"	"ea28f930-aa50-4bee-b702-76ead24cabbb"	"Association for the Integral Development of the Manchuela Conquense area"	"Spain"	"Spain"	"2011-05-10"					"FALSE"	"YES"	"0"	"FALSE"
"Catálogo Florístico Histórico de Navarra. Gobierno de Navarra"	"7f24aff6-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"105523"	"0"	"f81f20ec-786f-413f-9c17-61cc0010d138"	"TAPIR_INSTALLATION"	"487a39c4-f5c0-4dbe-8e11-54b743d6f735"	"Directorate General of Environment and Water, Dept. of Rural Development and Environment, Government of Navarre"	"Spain"	"Spain"	"2011-05-03"					"FALSE"	"YES"	"0"	"FALSE"
"Museo Nacional de Ciencias Naturales. CSIC, Madrid: MNCN-Nemata"	"7e331736-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"9900"	"0"	"f81f20ec-786f-413f-9c17-61cc0010d138"	"TAPIR_INSTALLATION"	"3059a14b-7b43-41ce-beef-873999911dfe"	"Spanish National Museum of Natural Sciences (CSIC)"	"Spain"	"Spain"	"2011-03-30"					"FALSE"	"YES"	"0"	"FALSE"
"CeDoc de Biodiversitat Vegetal: BCN- Algues de J. Rodríguez Femenías"	"7e2c0bb2-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"2775"	"0"	"f81f20ec-786f-413f-9c17-61cc0010d138"	"TAPIR_INSTALLATION"	"cb202839-87c6-456a-821c-dc5b268a200f"	"CeDoc of Plant Biodiversity (CeDocBIV), Univ. Barcelona"	"Spain"	"Spain"	"2011-02-03"					"FALSE"	"YES"	"0"	"FALSE"
"Estación Experimental de Zonas Áridas (CSIC), Almería: EEZA-Ungulados"	"7d515e86-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"1323"	"0"	"f81f20ec-786f-413f-9c17-61cc0010d138"	"TAPIR_INSTALLATION"	"ce5a9e85-93f6-43fd-b993-b76064456b1b"	"Experimental Station of Arid Areas (CSIC)"	"Spain"	"Spain"	"2011-01-03"					"FALSE"	"YES"	"0"	"FALSE"
"Universidad Autónoma de Madrid, Biología, Acalypha"	"7bac0ff4-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"7829"	"0"	"f81f20ec-786f-413f-9c17-61cc0010d138"	"TAPIR_INSTALLATION"	"6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862"	"GBIF-Spain"	"Spain"	"Spain"	"2010-11-30"					"FALSE"	"YES"	"0"	"FALSE"
"Estación Experimental de Zonas Áridas (CSIC) EEZA - Aves"	"7bad7786-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"2072"	"0"	"f81f20ec-786f-413f-9c17-61cc0010d138"	"TAPIR_INSTALLATION"	"ce5a9e85-93f6-43fd-b993-b76064456b1b"	"Experimental Station of Arid Areas (CSIC)"	"Spain"	"Spain"	"2010-11-30"					"FALSE"	"YES"	"0"	"FALSE"
"BANDASCA, BAse de DAtos sobre SCArabaeidae"	"7b8f1304-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"15918"	"0"	"f81f20ec-786f-413f-9c17-61cc0010d138"	"TAPIR_INSTALLATION"	"3059a14b-7b43-41ce-beef-873999911dfe"	"Spanish National Museum of Natural Sciences (CSIC)"	"Spain"	"Spain"	"2010-10-06"					"FALSE"	"YES"	"0"	"FALSE"
"Estación Experimental de Zonas Áridas (CSIC) EEZA-Mamif"	"7b75fe0a-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"753"	"0"	"f81f20ec-786f-413f-9c17-61cc0010d138"	"TAPIR_INSTALLATION"	"ce5a9e85-93f6-43fd-b993-b76064456b1b"	"Experimental Station of Arid Areas (CSIC)"	"Spain"	"Spain"	"2010-08-10"					"FALSE"	"YES"	"0"	"FALSE"
"Colección Alberto Tinaut (Formicidae)"	"7a5996ee-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"5538"	"0"	"f81f20ec-786f-413f-9c17-61cc0010d138"	"TAPIR_INSTALLATION"	"cc69bc8a-3015-45af-971b-af69fe82ab2f"	"Dept. of Zoology, Faculty of Science, University of Granada"	"Spain"	"Spain"	"2010-05-27"					"FALSE"	"YES"	"0"	"FALSE"
