"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?"	"orphaned?"	"numImages"	"online?"
"Condon Fossil Collection"	"bda5b6f2-a910-48c7-8dce-6aa24ae96470"	"OCCURRENCE"	"true"	"137639"	"0"	"fa552163-ec60-49ff-8e49-6da48335058e"	"IPT_INSTALLATION"	"0ba220e1-77cf-487a-8d91-494167240f5d"	"Museum of Natural and Cultural History - University of Oregon"	"United States"	"United States"	"2016-02-10"	"DWC_ARCHIVE"	"http://paleo.uoregon.edu/ipt/archive.do?r=condoncollection"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"4037"	"FALSE"
"UCDavis - Western USA - Monarch Butterflies - 1892-2005"	"fab6edb3-9311-4219-9d32-6114125f86a1"	"OCCURRENCE"	"true"	"3007"	"0"	"394c0f8e-8b5e-4fbc-b942-568a4a267032"	"IPT_INSTALLATION"	"c3ad790a-d426-4ac1-8e32-da61f81f0117"	"United States Geological Survey"	"United States"	"United States"	"2015-12-10"	"DWC_ARCHIVE"	"http://bison.ornl.gov/ipt/archive.do?r=ucdavis_western_usa_monarchs"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"The New York Botanical Garden Herbarium (NY) - Vascular Plant Collection"	"d415c253-4d61-4459-9d25-4015b9084fb0"	"OCCURRENCE"	"true"	"1432587"	"0"	"f38014da-d3e9-4de7-b8c0-a32ceeb8728a"	"IPT_INSTALLATION"	"ae447c50-b8a8-11d8-92a4-b8a03c50a862"	"The New York Botanical Garden"	"United States"	"United States"	"2015-06-18"	"DWC_ARCHIVE"	"http://sweetgum.nybg.org:8080/ipt/archive.do?r=idigbio_mysql"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Mammal specimens"	"8411c274-49e8-4871-8ddd-9244ab7ae5d2"	"OCCURRENCE"	"true"	"19614"	"0"	"5fecae54-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"8a471700-4ce8-11db-b80e-b8a03c50a862"	"San Diego Natural History Museum"	"United States"	"United States"	"2013-02-08"					"FALSE"	"YES"	"0"	"FALSE"
"Patterns of widespread decline in North American bumble bees"	"8c04889e-a0ad-4f39-8623-06aa9cf0131d"	"OCCURRENCE"	"true"	"67725"	"0"	"204c83e6-0b88-4e5b-bb2b-47f6f0e611c0"	"IPT_INSTALLATION"	"1e26a630-7203-11dc-a0d8-b8a03c50a862"	"USDA-ARS Bee Biology and Systematics Laboratory"	"United States"	"United States"	"2012-10-23"	"DWC_ARCHIVE"	"http://129.123.16.223:7001/ipt/archive.do?r=PNAS_Bombus"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"CMC_ornithology_GRC"	"ae47ecf0-f506-4abc-9e08-9c1c2766c7ad"	"OCCURRENCE"	"true"	"1258"	"0"	"735e1edd-964f-4cc3-a44a-d3a76c1412ef"	"IPT_INSTALLATION"	"1afc3a83-38f8-4282-90ae-d377ded4b628"	"Cincinnati Museum Center"	"United States"	"United States"	"2012-01-06"	"DWC_ARCHIVE"	"http://specify.thomasmore.edu:8080/ipt/archive.do?r=cmc_ornithology_grc"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"CMC_herpetology_vouchers"	"81a975b3-d86f-434e-ad9e-16bc43f68a36"	"OCCURRENCE"	"true"	"7873"	"0"	"735e1edd-964f-4cc3-a44a-d3a76c1412ef"	"IPT_INSTALLATION"	"1afc3a83-38f8-4282-90ae-d377ded4b628"	"Cincinnati Museum Center"	"United States"	"United States"	"2011-11-23"	"DWC_ARCHIVE"	"http://specify.thomasmore.edu:8080/ipt/archive.do?r=cmc_herpetology_vouchers"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Bee Biology and Systematics Laboratory"	"10e44c48-0839-4a20-86d5-f0e23ae2e366"	"OCCURRENCE"	"true"	"561820"	"0"	"204c83e6-0b88-4e5b-bb2b-47f6f0e611c0"	"IPT_INSTALLATION"	"1e26a630-7203-11dc-a0d8-b8a03c50a862"	"USDA-ARS Bee Biology and Systematics Laboratory"	"United States"	"United States"	"2011-11-22"	"DWC_ARCHIVE"	"http://129.123.16.223:7001/ipt/archive.do?r=bbsl_ipt"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"CONN"	"5288946d-5fcf-4b53-8fd3-74f4cc6b53fc"	"OCCURRENCE"	"true"	"172098"	"0"	"c32878eb-e69c-440c-9b4a-ab76987499d5"	"IPT_INSTALLATION"	"1ef55060-54da-11dd-9d47-b8a03c50a862"	"University of Connecticut"	"United States"	"United States"	"2011-09-08"	"DWC_ARCHIVE"	"http://gbifdata.eeb.uconn.edu:7001/ipt/archive.do?r=conn"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Harold W. Manter Laboratory of Parasitology Collection"	"8117733e-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"26111"	"0"	"5fe0e056-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3988de20-0560-11d8-b851-b8a03c50a862"	"Arctos"	"United States"	"United States"	"2011-08-18"	"DIGIR_MANIS"	"http://129.237.201.204/arctosdigir//DiGIR.php"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"KNWR Entomology Collection"	"81152052-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"8200"	"0"	"5fe0e056-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3988de20-0560-11d8-b851-b8a03c50a862"	"Arctos"	"United States"	"United States"	"2011-08-18"	"DIGIR_MANIS"	"http://129.237.201.204/arctosdigir//DiGIR.php"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
