"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?"	"orphaned?"	"numImages"	"online?"
"database_orthoptera"	"940ae027-9d82-4a5f-ab28-bffac221f2af"	"OCCURRENCE"	"true"	"0"	"0"	"7b1a0765-a289-49df-8091-52861d4d2746"	"IPT_INSTALLATION"	"8feb568b-f026-4d58-93b7-a2b56dc946f8"	"Madagascar Biodiversity Center, Parc Botanique et Zoologique des Tsimbazaza"	"Madagascar"	"Madagascar"	"2017-11-04"	"DWC_ARCHIVE"	"http://ipt.madbif.mg/archive.do?r=database_orthoptera"	"2017-11-04"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"Wikiplantbase #Toscana"	"5445131a-b491-44d8-9974-3ec52bde0c47"	"OCCURRENCE"	"true"	"8021"	"0"	"f90451b7-1ce7-4105-96f3-29c0ae779a23"	"BIOCASE_INSTALLATION"	"c1b1455b-18ec-4637-9e0f-18cb0524b7ed"	"Dipartimento di Biologia, Università di Pisa"	"Consortium of European Taxonomic Facilities"	"Germany"	"2017-10-11"	"BIOCASE"	"http://bot.biologia.unipi.it/biocase/pywrapper.cgi?dsa=wikiplantbase"	"2017-10-31"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"Wikiplantbase #Sardegna"	"ea04653c-58f5-4f14-9ed0-39f85871f1db"	"OCCURRENCE"	"true"	"20577"	"0"	"f90451b7-1ce7-4105-96f3-29c0ae779a23"	"BIOCASE_INSTALLATION"	"c1b1455b-18ec-4637-9e0f-18cb0524b7ed"	"Dipartimento di Biologia, Università di Pisa"	"Consortium of European Taxonomic Facilities"	"Germany"	"2017-10-11"	"BIOCASE"	"http://bot.biologia.unipi.it/biocase/pywrapper.cgi?dsa=wikiplantbase"	"2017-10-31"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"Vulnerable marine ecosystems in the South Pacific Ocean region"	"be62fffc-d0e7-45f2-9404-d4bc4322bc57"	"OCCURRENCE"	"true"	"0"	"0"	"f0d34585-ddcb-4915-9332-6043585e831a"	"IPT_INSTALLATION"	"c58ac019-b413-4613-8772-39e57acbeb8e"	"The National Institute of Water and Atmospheric Research (NIWA)"	"New Zealand"	"New Zealand"	"2017-02-02"	"DWC_ARCHIVE"	"https://nzobisipt.niwa.co.nz/archive.do?r=vme_inverts"	"2017-10-31"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"SMNS Palaeontological collection - Fossil aquatic vertebrates"	"8e4ed6c0-1dac-436a-8afc-a1b10b046067"	"OCCURRENCE"	"true"	"3343"	"0"	"9bb895a0-3fe2-46e0-9cd2-02180db12a0c"	"BIOCASE_INSTALLATION"	"99ea0c90-61e5-11dc-a64c-b8a03c50a862"	"Staatliches Museum für Naturkunde Stuttgart"	"Germany"	"Germany"	"2016-01-28"	"BIOCASE"	"http://col.smns-bw.org/biocase/pywrapper.cgi?dsa=SMNS_Dept2"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"SMNS Palaeontological collection - Amphibians, reptiles (Palaeozoic, Mesozoic)"	"aec36f79-57bb-445b-b63e-1da581d810ff"	"OCCURRENCE"	"true"	"1070"	"0"	"9bb895a0-3fe2-46e0-9cd2-02180db12a0c"	"BIOCASE_INSTALLATION"	"99ea0c90-61e5-11dc-a64c-b8a03c50a862"	"Staatliches Museum für Naturkunde Stuttgart"	"Germany"	"Germany"	"2016-01-28"	"BIOCASE"	"http://col.smns-bw.org/biocase/pywrapper.cgi?dsa=SMNS_Dept2"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"RAVON (NL) - Fish observations extracted from historic reports 1860-1907"	"494ceb90-924c-483d-ae58-9dd89efb85a1"	"OCCURRENCE"	"true"	"0"	"0"	"97dfec69-b198-43ba-a8fa-c5edbc04e324"	"IPT_INSTALLATION"	"8629d002-c1cf-4c61-9895-55ca7cd0e149"	"Reptile, Amphibian and Fish Conservation Netherlands (RAVON)"	"Netherlands"	"Netherlands"	"2015-04-29"	"DWC_ARCHIVE"	"http://ipt.nlbif.nl/ipt/archive.do?r=ravon-fish-digitized-historic-reports-1860-1907"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"Herbarium Bogoriense - Research Center for Biology"	"1c714c57-da3e-457e-9752-edd1cd5e0463"	"OCCURRENCE"	"true"	"0"	"0"	"e42f2858-cc48-4c9d-8796-0d73c20519d0"	"IPT_INSTALLATION"	"07acecfd-5994-47a7-bd1b-ccdbf534973b"	"Research Center For Biology - Indonesian Institute of Sciences (LIPI)"	"Indonesia"	"Indonesia"	"2015-04-15"	"DWC_ARCHIVE"	"http://ipt.biologi.lipi.go.id/archive.do?r=hb-rcb"	"2017-10-30"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"Colección Herpetológica del Museo Nacional de Historia Natural de Chile"	"22ff7ed6-d446-4566-9d21-587d3cae360e"	"OCCURRENCE"	"true"	"4490"	"0"	"70d271a4-b6af-456e-8fc3-3ca479f6641f"	"IPT_INSTALLATION"	"bf0d80b3-46da-4e60-b1cf-39f2320acb43"	"Ministerio del Medio Ambiente de Chile"	"Chile"	"Chile"	"2014-05-20"	"DWC_ARCHIVE"	"http://gbif-chile.mma.gob.cl/ipt/archive.do?r=mnhn-cl4"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"Colección de Platyhelminthes del Museo Nacional de Historia Natural de Chile"	"4df78074-af75-4604-a24a-303c00fdccc0"	"OCCURRENCE"	"true"	"55"	"0"	"70d271a4-b6af-456e-8fc3-3ca479f6641f"	"IPT_INSTALLATION"	"bf0d80b3-46da-4e60-b1cf-39f2320acb43"	"Ministerio del Medio Ambiente de Chile"	"Chile"	"Chile"	"2014-05-20"	"DWC_ARCHIVE"	"http://gbif-chile.mma.gob.cl/ipt/archive.do?r=mnhn-cl3"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
